Created as New Dataset,3.2 Jute cord
cm-1,%T
2891.00,96.14
2890.00,96.17
2889.00,96.20
2888.00,96.23
2887.00,96.25
2886.00,96.28
2885.00,96.29
2884.00,96.31
2883.00,96.33
2882.00,96.34
2881.00,96.35
2880.00,96.36
2879.00,96.36
2878.00,96.36
2877.00,96.36
2876.00,96.38
2875.00,96.40
2874.00,96.43
2873.00,96.45
2872.00,96.46
2871.00,96.47
2870.00,96.48
2869.00,96.49
2868.00,96.52
2867.00,96.55
2866.00,96.57
2865.00,96.58
2864.00,96.57
2863.00,96.57
2862.00,96.57
2861.00,96.57
2860.00,96.58
2859.00,96.60
2858.00,96.60
2857.00,96.58
2856.00,96.56
2855.00,96.54
2854.00,96.53
2853.00,96.54
2852.00,96.57
2851.00,96.61
2850.00,96.66
2849.00,96.71
2848.00,96.76
2847.00,96.83
2846.00,96.90
2845.00,96.97
2844.00,97.03
2843.00,97.07
2842.00,97.09
2841.00,97.10
2840.00,97.13
2839.00,97.17
2838.00,97.24
2837.00,97.31
2836.00,97.37
2835.00,97.42
2834.00,97.46
2833.00,97.49
2832.00,97.51
2831.00,97.53
2830.00,97.56
2829.00,97.59
2828.00,97.62
2827.00,97.65
2826.00,97.67
2825.00,97.70
2824.00,97.73
2823.00,97.76
2822.00,97.80
2821.00,97.83
2820.00,97.85
2819.00,97.85
2818.00,97.85
2817.00,97.85
2816.00,97.86
2815.00,97.88
2814.00,97.90
2813.00,97.92
2812.00,97.93
2811.00,97.95
2810.00,97.96
2809.00,97.97
2808.00,97.97
2807.00,97.98
2806.00,97.98
2805.00,98.00
2804.00,98.02
2803.00,98.04
2802.00,98.05
2801.00,98.06
2800.00,98.07
2799.00,98.07
2798.00,98.07
2797.00,98.08
2796.00,98.10
2795.00,98.11
2794.00,98.12
2793.00,98.12
2792.00,98.12
2791.00,98.12
2790.00,98.12
2789.00,98.11
2788.00,98.11
2787.00,98.11
2786.00,98.13
2785.00,98.15
2784.00,98.17
2783.00,98.19
2782.00,98.20
2781.00,98.20
2780.00,98.20
2779.00,98.19
2778.00,98.19
2777.00,98.21
2776.00,98.22
2775.00,98.23
2774.00,98.24
2773.00,98.24
2772.00,98.24
2771.00,98.23
2770.00,98.22
2769.00,98.21
2768.00,98.21
2767.00,98.22
2766.00,98.23
2765.00,98.24
2764.00,98.25
2763.00,98.26
2762.00,98.27
2761.00,98.29
2760.00,98.31
2759.00,98.32
2758.00,98.32
2757.00,98.32
2756.00,98.31
2755.00,98.31
2754.00,98.30
2753.00,98.29
2752.00,98.28
2751.00,98.27
2750.00,98.27
2749.00,98.27
2748.00,98.28
2747.00,98.30
2746.00,98.31
2745.00,98.32
2744.00,98.31
2743.00,98.30
2742.00,98.29
2741.00,98.28
2740.00,98.29
2739.00,98.29
2738.00,98.29
2737.00,98.28
2736.00,98.28
2735.00,98.28
2734.00,98.28
2733.00,98.28
2732.00,98.29
2731.00,98.31
2730.00,98.32
2729.00,98.34
2728.00,98.35
2727.00,98.36
2726.00,98.36
2725.00,98.35
2724.00,98.34
2723.00,98.33
2722.00,98.33
2721.00,98.34
2720.00,98.35
2719.00,98.35
2718.00,98.35
2717.00,98.36
2716.00,98.38
2715.00,98.39
2714.00,98.39
2713.00,98.39
2712.00,98.38
2711.00,98.38
2710.00,98.39
2709.00,98.41
2708.00,98.42
2707.00,98.42
2706.00,98.43
2705.00,98.42
2704.00,98.42
2703.00,98.41
2702.00,98.41
2701.00,98.43
2700.00,98.45
2699.00,98.46
2698.00,98.47
2697.00,98.47
2696.00,98.46
2695.00,98.45
2694.00,98.44
2693.00,98.44
2692.00,98.44
2691.00,98.45
2690.00,98.46
2689.00,98.46
2688.00,98.47
2687.00,98.48
2686.00,98.49
2685.00,98.49
2684.00,98.50
2683.00,98.50
2682.00,98.49
2681.00,98.49
2680.00,98.49
2679.00,98.48
2678.00,98.48
2677.00,98.49
2676.00,98.51
2675.00,98.54
2674.00,98.55
2673.00,98.55
2672.00,98.54
2671.00,98.52
2670.00,98.50
2669.00,98.49
2668.00,98.48
2667.00,98.49
2666.00,98.51
2665.00,98.52
2664.00,98.52
2663.00,98.51
2662.00,98.50
2661.00,98.50
2660.00,98.51
2659.00,98.51
2658.00,98.50
2657.00,98.49
2656.00,98.48
2655.00,98.48
2654.00,98.48
2653.00,98.48
2652.00,98.46
2651.00,98.45
2650.00,98.44
2649.00,98.43
2648.00,98.42
2647.00,98.42
2646.00,98.43
2645.00,98.44
2644.00,98.44
2643.00,98.42
2642.00,98.40
2641.00,98.39
2640.00,98.39
2639.00,98.40
2638.00,98.41
2637.00,98.41
2636.00,98.40
2635.00,98.39
2634.00,98.38
2633.00,98.37
2632.00,98.36
2631.00,98.34
2630.00,98.33
2629.00,98.32
2628.00,98.32
2627.00,98.32
2626.00,98.32
2625.00,98.33
2624.00,98.32
2623.00,98.32
2622.00,98.32
2621.00,98.31
2620.00,98.31
2619.00,98.30
2618.00,98.31
2617.00,98.31
2616.00,98.32
2615.00,98.33
2614.00,98.34
2613.00,98.35
2612.00,98.35
2611.00,98.34
2610.00,98.32
2609.00,98.31
2608.00,98.30
2607.00,98.31
2606.00,98.32
2605.00,98.33
2604.00,98.34
2603.00,98.35
2602.00,98.35
2601.00,98.36
2600.00,98.37
2599.00,98.37
2598.00,98.37
2597.00,98.36
2596.00,98.35
2595.00,98.34
2594.00,98.33
2593.00,98.31
2592.00,98.28
2591.00,98.26
2590.00,98.26
2589.00,98.27
2588.00,98.28
2587.00,98.28
2586.00,98.28
2585.00,98.27
2584.00,98.27
2583.00,98.27
2582.00,98.28
2581.00,98.29
2580.00,98.28
2579.00,98.27
2578.00,98.26
2577.00,98.26
2576.00,98.26
2575.00,98.26
