Created as New Dataset,94. Du Pont
cm-1,%T
2647.00,97.90
2646.00,97.89
2645.00,97.89
2644.00,97.88
2643.00,97.88
2642.00,97.88
2641.00,97.89
2640.00,97.90
2639.00,97.89
2638.00,97.88
2637.00,97.85
2636.00,97.83
2635.00,97.82
2634.00,97.81
2633.00,97.82
2632.00,97.83
2631.00,97.84
2630.00,97.83
2629.00,97.81
2628.00,97.79
2627.00,97.78
2626.00,97.76
2625.00,97.76
2624.00,97.76
2623.00,97.76
2622.00,97.76
2621.00,97.76
2620.00,97.75
2619.00,97.75
2618.00,97.74
2617.00,97.73
2616.00,97.72
2615.00,97.73
2614.00,97.73
2613.00,97.73
2612.00,97.72
2611.00,97.71
2610.00,97.70
2609.00,97.69
2608.00,97.68
2607.00,97.66
2606.00,97.64
2605.00,97.62
2604.00,97.61
2603.00,97.61
2602.00,97.62
2601.00,97.64
2600.00,97.66
2599.00,97.66
2598.00,97.65
2597.00,97.62
2596.00,97.61
2595.00,97.60
2594.00,97.61
2593.00,97.60
2592.00,97.59
2591.00,97.58
2590.00,97.57
2589.00,97.56
2588.00,97.55
2587.00,97.55
2586.00,97.56
2585.00,97.57
2584.00,97.58
2583.00,97.57
2582.00,97.56
2581.00,97.54
2580.00,97.53
2579.00,97.52
2578.00,97.52
2577.00,97.52
2576.00,97.53
2575.00,97.52
2574.00,97.52
2573.00,97.51
2572.00,97.53
2571.00,97.54
2570.00,97.54
2569.00,97.52
2568.00,97.50
2567.00,97.49
2566.00,97.48
2565.00,97.47
2564.00,97.49
2563.00,97.52
2562.00,97.56
2561.00,97.58
2560.00,97.59
2559.00,97.59
2558.00,97.60
2557.00,97.60
2556.00,97.60
2555.00,97.60
2554.00,97.59
2553.00,97.59
2552.00,97.58
2551.00,97.58
2550.00,97.59
2549.00,97.60
2548.00,97.60
2547.00,97.59
2546.00,97.57
2545.00,97.54
2544.00,97.53
2543.00,97.54
2542.00,97.56
2541.00,97.58
2540.00,97.60
2539.00,97.62
2538.00,97.63
2537.00,97.63
2536.00,97.62
2535.00,97.61
2534.00,97.60
2533.00,97.59
2532.00,97.59
2531.00,97.59
2530.00,97.59
2529.00,97.60
2528.00,97.60
2527.00,97.59
2526.00,97.58
2525.00,97.57
2524.00,97.56
2523.00,97.56
2522.00,97.58
2521.00,97.59
2520.00,97.60
2519.00,97.59
2518.00,97.57
2517.00,97.56
2516.00,97.56
2515.00,97.57
2514.00,97.57
2513.00,97.56
2512.00,97.54
2511.00,97.54
2510.00,97.54
2509.00,97.56
2508.00,97.57
2507.00,97.58
2506.00,97.58
2505.00,97.57
2504.00,97.57
2503.00,97.59
2502.00,97.59
2501.00,97.59
2500.00,97.59
2499.00,97.59
2498.00,97.61
2497.00,97.63
2496.00,97.63
2495.00,97.61
2494.00,97.59
2493.00,97.57
2492.00,97.56
2491.00,97.56
2490.00,97.58
2489.00,97.60
2488.00,97.62
2487.00,97.62
2486.00,97.61
2485.00,97.62
2484.00,97.63
2483.00,97.65
2482.00,97.66
2481.00,97.66
2480.00,97.66
2479.00,97.65
2478.00,97.63
2477.00,97.61
2476.00,97.60
2475.00,97.61
2474.00,97.63
2473.00,97.65
2472.00,97.65
2471.00,97.66
2470.00,97.66
2469.00,97.66
2468.00,97.65
2467.00,97.63
2466.00,97.62
2465.00,97.61
2464.00,97.61
2463.00,97.62
2462.00,97.62
2461.00,97.62
2460.00,97.62
