Created as New Dataset,Linen Hand supun thread
cm-1,%T
2952.00,97.12
2951.00,97.11
2950.00,97.09
2949.00,97.05
2948.00,97.00
2947.00,96.94
2946.00,96.88
2945.00,96.82
2944.00,96.75
2943.00,96.68
2942.00,96.62
2941.00,96.56
2940.00,96.50
2939.00,96.42
2938.00,96.33
2937.00,96.22
2936.00,96.12
2935.00,96.03
2934.00,95.94
2933.00,95.85
2932.00,95.73
2931.00,95.59
2930.00,95.44
2929.00,95.27
2928.00,95.08
2927.00,94.87
2926.00,94.66
2925.00,94.42
2924.00,94.15
2923.00,93.86
2922.00,93.60
2921.00,93.36
2920.00,93.15
2919.00,92.98
2918.00,92.87
2917.00,92.85
2916.00,92.92
2915.00,93.07
2914.00,93.28
2913.00,93.52
2912.00,93.76
2911.00,93.99
2910.00,94.19
2909.00,94.35
2908.00,94.48
2907.00,94.58
2906.00,94.66
2905.00,94.72
2904.00,94.78
2903.00,94.84
2902.00,94.89
2901.00,94.95
2900.00,95.00
2899.00,95.06
2898.00,95.10
2897.00,95.15
2896.00,95.20
2895.00,95.25
2894.00,95.30
2893.00,95.34
2892.00,95.39
2891.00,95.44
2890.00,95.49
2889.00,95.55
2888.00,95.62
2887.00,95.68
2886.00,95.75
2885.00,95.80
2884.00,95.85
2883.00,95.91
2882.00,95.96
2881.00,96.01
2880.00,96.05
2879.00,96.08
2878.00,96.09
2877.00,96.11
2876.00,96.12
2875.00,96.13
2874.00,96.14
2873.00,96.16
2872.00,96.17
2871.00,96.20
2870.00,96.21
2869.00,96.22
2868.00,96.20
2867.00,96.17
2866.00,96.13
2865.00,96.10
2864.00,96.06
2863.00,96.03
2862.00,96.00
2861.00,95.96
2860.00,95.90
2859.00,95.81
2858.00,95.70
2857.00,95.55
2856.00,95.36
2855.00,95.12
2854.00,94.84
2853.00,94.51
2852.00,94.19
2851.00,93.92
2850.00,93.77
2849.00,93.79
2848.00,94.00
2847.00,94.35
2846.00,94.78
2845.00,95.22
2844.00,95.61
2843.00,95.95
2842.00,96.22
2841.00,96.44
2840.00,96.64
2839.00,96.81
2838.00,96.94
2837.00,97.04
2836.00,97.11
2835.00,97.18
2834.00,97.25
2833.00,97.33
2832.00,97.39
2831.00,97.44
2830.00,97.47
2829.00,97.51
2828.00,97.54
2827.00,97.58
2826.00,97.62
2825.00,97.66
2824.00,97.70
2823.00,97.74
2822.00,97.76
2821.00,97.77
2820.00,97.79
2819.00,97.81
2818.00,97.85
2817.00,97.89
2816.00,97.93
2815.00,97.96
2814.00,97.97
2813.00,97.99
2812.00,97.99
2811.00,98.00
2810.00,98.02
2809.00,98.05
2808.00,98.08
2807.00,98.10
2806.00,98.10
2805.00,98.10
2804.00,98.10
2803.00,98.11
2802.00,98.13
2801.00,98.16
2800.00,98.18
2799.00,98.20
2798.00,98.22
2797.00,98.23
2796.00,98.24
2795.00,98.25
2794.00,98.27
2793.00,98.28
2792.00,98.29
2791.00,98.30
2790.00,98.29
2789.00,98.28
2788.00,98.28
2787.00,98.28
2786.00,98.30
2785.00,98.33
2784.00,98.35
2783.00,98.37
2782.00,98.37
2781.00,98.37
2780.00,98.37
2779.00,98.37
2778.00,98.39
2777.00,98.40
2776.00,98.41
2775.00,98.42
2774.00,98.42
2773.00,98.42
2772.00,98.43
2771.00,98.44
2770.00,98.44
2769.00,98.45
2768.00,98.46
2767.00,98.46
2766.00,98.47
2765.00,98.47
2764.00,98.47
2763.00,98.47
2762.00,98.47
2761.00,98.47
2760.00,98.47
2759.00,98.46
2758.00,98.46
2757.00,98.46
2756.00,98.46
2755.00,98.47
2754.00,98.49
2753.00,98.50
2752.00,98.50
2751.00,98.50
2750.00,98.51
2749.00,98.51
2748.00,98.52
2747.00,98.52
2746.00,98.53
2745.00,98.53
2744.00,98.53
2743.00,98.52
2742.00,98.50
2741.00,98.48
2740.00,98.48
2739.00,98.50
2738.00,98.51
2737.00,98.51
2736.00,98.50
2735.00,98.49
2734.00,98.49
2733.00,98.50
2732.00,98.51
2731.00,98.52
2730.00,98.53
2729.00,98.54
2728.00,98.55
2727.00,98.56
2726.00,98.56
2725.00,98.57
2724.00,98.58
2723.00,98.59
2722.00,98.61
2721.00,98.62
2720.00,98.63
2719.00,98.63
2718.00,98.62
2717.00,98.61
2716.00,98.61
2715.00,98.61
2714.00,98.61
2713.00,98.61
2712.00,98.61
2711.00,98.61
2710.00,98.62
2709.00,98.63
2708.00,98.64
2707.00,98.65
2706.00,98.66
2705.00,98.66
2704.00,98.65
2703.00,98.64
2702.00,98.65
2701.00,98.67
2700.00,98.69
2699.00,98.69
2698.00,98.68
2697.00,98.67
2696.00,98.67
2695.00,98.67
2694.00,98.68
2693.00,98.70
2692.00,98.70
2691.00,98.70
2690.00,98.69
2689.00,98.69
2688.00,98.69
2687.00,98.70
2686.00,98.71
2685.00,98.72
2684.00,98.72
2683.00,98.71
2682.00,98.70
2681.00,98.69
2680.00,98.69
2679.00,98.69
2678.00,98.70
2677.00,98.72
2676.00,98.74
2675.00,98.75
2674.00,98.75
2673.00,98.74
2672.00,98.74
2671.00,98.73
2670.00,98.73
2669.00,98.73
2668.00,98.74
2667.00,98.75
2666.00,98.77
2665.00,98.78
2664.00,98.78
2663.00,98.78
2662.00,98.78
2661.00,98.78
2660.00,98.78
2659.00,98.77
2658.00,98.76
2657.00,98.76
2656.00,98.76
2655.00,98.76
2654.00,98.75
2653.00,98.75
2652.00,98.74
2651.00,98.75
2650.00,98.76
2649.00,98.77
2648.00,98.76
2647.00,98.74
2646.00,98.73
2645.00,98.73
2644.00,98.74
2643.00,98.74
2642.00,98.74
2641.00,98.73
2640.00,98.72
2639.00,98.71
2638.00,98.71
2637.00,98.72
2636.00,98.74
2635.00,98.75
2634.00,98.76
2633.00,98.77
2632.00,98.76
2631.00,98.75
2630.00,98.74
2629.00,98.74
2628.00,98.75
2627.00,98.77
2626.00,98.78
2625.00,98.77
2624.00,98.75
2623.00,98.74
2622.00,98.75
2621.00,98.76
2620.00,98.77
2619.00,98.77
2618.00,98.76
2617.00,98.76
2616.00,98.77
2615.00,98.77
2614.00,98.77
2613.00,98.76
2612.00,98.77
2611.00,98.78
2610.00,98.78
2609.00,98.79
2608.00,98.79
2607.00,98.79
2606.00,98.79
2605.00,98.79
2604.00,98.78
2603.00,98.77
2602.00,98.77
2601.00,98.79
2600.00,98.80
2599.00,98.81
2598.00,98.80
2597.00,98.78
2596.00,98.76
2595.00,98.75
2594.00,98.74
2593.00,98.74
2592.00,98.74
2591.00,98.74
2590.00,98.75
2589.00,98.77
2588.00,98.79
2587.00,98.80
2586.00,98.80
2585.00,98.80
2584.00,98.80
2583.00,98.81
2582.00,98.81
2581.00,98.79
2580.00,98.76
2579.00,98.74
2578.00,98.74
2577.00,98.73
2576.00,98.73
2575.00,98.72
2574.00,98.72
2573.00,98.73
2572.00,98.76
2571.00,98.78
2570.00,98.81
2569.00,98.83
2568.00,98.85
2567.00,98.85
2566.00,98.82
2565.00,98.78
2564.00,98.74
2563.00,98.73
2562.00,98.74
