Created as New Dataset,197 Hoechst AG
cm-1,%T
3036.00,97.51
3035.00,97.52
3034.00,97.53
3033.00,97.54
3032.00,97.56
3031.00,97.59
3030.00,97.63
3029.00,97.66
3028.00,97.69
3027.00,97.69
3026.00,97.69
3025.00,97.69
3024.00,97.70
3023.00,97.71
3022.00,97.73
3021.00,97.74
3020.00,97.76
3019.00,97.76
3018.00,97.76
3017.00,97.77
3016.00,97.79
3015.00,97.82
3014.00,97.85
3013.00,97.87
3012.00,97.86
3011.00,97.85
3010.00,97.85
3009.00,97.86
3008.00,97.89
3007.00,97.92
3006.00,97.94
3005.00,97.94
3004.00,97.94
3003.00,97.94
3002.00,97.94
3001.00,97.95
3000.00,97.95
2999.00,97.95
2998.00,97.95
2997.00,97.97
2996.00,97.99
2995.00,98.00
2994.00,98.00
2993.00,97.99
2992.00,97.98
2991.00,97.97
2990.00,97.97
2989.00,97.96
2988.00,97.94
2987.00,97.93
2986.00,97.92
2985.00,97.92
2984.00,97.92
2983.00,97.92
2982.00,97.91
2981.00,97.90
2980.00,97.89
2979.00,97.88
2978.00,97.88
2977.00,97.87
2976.00,97.87
2975.00,97.86
2974.00,97.84
2973.00,97.83
2972.00,97.82
2971.00,97.80
2970.00,97.80
2969.00,97.79
2968.00,97.78
2967.00,97.76
2966.00,97.73
2965.00,97.70
2964.00,97.69
2963.00,97.68
2962.00,97.66
2961.00,97.62
2960.00,97.58
2959.00,97.54
2958.00,97.51
2957.00,97.49
2956.00,97.47
2955.00,97.44
2954.00,97.40
2953.00,97.35
2952.00,97.31
2951.00,97.26
2950.00,97.23
2949.00,97.20
2948.00,97.17
2947.00,97.15
2946.00,97.12
2945.00,97.08
2944.00,97.04
2943.00,97.00
2942.00,96.95
2941.00,96.90
2940.00,96.84
2939.00,96.78
2938.00,96.74
2937.00,96.71
2936.00,96.67
2935.00,96.62
2934.00,96.57
2933.00,96.52
2932.00,96.48
2931.00,96.45
2930.00,96.42
2929.00,96.39
2928.00,96.36
2927.00,96.33
2926.00,96.31
2925.00,96.29
2924.00,96.27
2923.00,96.23
2922.00,96.19
2921.00,96.16
2920.00,96.14
2919.00,96.11
2918.00,96.09
2917.00,96.07
2916.00,96.05
2915.00,96.03
2914.00,96.01
2913.00,95.98
2912.00,95.94
2911.00,95.89
2910.00,95.86
2909.00,95.82
2908.00,95.80
2907.00,95.78
2906.00,95.75
2905.00,95.72
2904.00,95.69
2903.00,95.67
2902.00,95.65
2901.00,95.64
2900.00,95.63
2899.00,95.63
2898.00,95.62
2897.00,95.59
2896.00,95.56
2895.00,95.53
2894.00,95.51
2893.00,95.49
2892.00,95.47
2891.00,95.46
2890.00,95.47
2889.00,95.49
2888.00,95.51
2887.00,95.52
2886.00,95.53
2885.00,95.54
2884.00,95.55
2883.00,95.56
2882.00,95.58
2881.00,95.60
2880.00,95.62
2879.00,95.63
2878.00,95.65
2877.00,95.66
2876.00,95.67
2875.00,95.67
2874.00,95.68
2873.00,95.70
2872.00,95.73
2871.00,95.78
2870.00,95.83
2869.00,95.87
2868.00,95.91
2867.00,95.95
2866.00,95.98
2865.00,96.01
2864.00,96.04
2863.00,96.08
2862.00,96.12
2861.00,96.17
2860.00,96.21
2859.00,96.26
2858.00,96.30
2857.00,96.35
2856.00,96.40
2855.00,96.45
2854.00,96.49
2853.00,96.52
2852.00,96.55
2851.00,96.59
2850.00,96.62
2849.00,96.67
2848.00,96.73
2847.00,96.80
2846.00,96.87
2845.00,96.92
2844.00,96.96
2843.00,96.97
2842.00,96.98
2841.00,97.00
2840.00,97.04
2839.00,97.08
2838.00,97.12
2837.00,97.15
2836.00,97.18
2835.00,97.21
2834.00,97.23
2833.00,97.26
2832.00,97.28
2831.00,97.30
2830.00,97.32
2829.00,97.33
2828.00,97.35
2827.00,97.37
2826.00,97.39
2825.00,97.42
2824.00,97.44
2823.00,97.45
2822.00,97.46
2821.00,97.47
2820.00,97.47
2819.00,97.49
2818.00,97.51
2817.00,97.53
2816.00,97.55
2815.00,97.56
2814.00,97.56
2813.00,97.58
2812.00,97.60
2811.00,97.62
2810.00,97.64
2809.00,97.65
2808.00,97.65
2807.00,97.65
2806.00,97.65
2805.00,97.66
2804.00,97.68
2803.00,97.69
2802.00,97.71
2801.00,97.72
2800.00,97.74
2799.00,97.75
2798.00,97.76
2797.00,97.78
2796.00,97.80
2795.00,97.82
2794.00,97.84
2793.00,97.85
2792.00,97.86
2791.00,97.85
2790.00,97.85
2789.00,97.84
2788.00,97.85
2787.00,97.86
2786.00,97.88
2785.00,97.88
2784.00,97.89
2783.00,97.89
2782.00,97.90
2781.00,97.91
2780.00,97.92
2779.00,97.92
2778.00,97.92
2777.00,97.93
2776.00,97.94
2775.00,97.96
2774.00,97.99
2773.00,98.00
2772.00,98.02
2771.00,98.03
2770.00,98.04
2769.00,98.04
2768.00,98.04
2767.00,98.04
2766.00,98.04
2765.00,98.04
2764.00,98.04
2763.00,98.05
2762.00,98.06
2761.00,98.09
2760.00,98.11
2759.00,98.11
2758.00,98.12
2757.00,98.11
2756.00,98.11
2755.00,98.11
2754.00,98.12
2753.00,98.12
2752.00,98.11
2751.00,98.11
2750.00,98.10
2749.00,98.10
2748.00,98.10
2747.00,98.10
2746.00,98.11
2745.00,98.11
2744.00,98.11
2743.00,98.11
2742.00,98.11
2741.00,98.11
2740.00,98.12
2739.00,98.12
2738.00,98.13
2737.00,98.13
2736.00,98.14
2735.00,98.13
2734.00,98.13
2733.00,98.12
2732.00,98.13
2731.00,98.14
2730.00,98.15
2729.00,98.15
2728.00,98.16
2727.00,98.17
2726.00,98.18
2725.00,98.18
2724.00,98.17
2723.00,98.16
2722.00,98.16
2721.00,98.17
2720.00,98.18
2719.00,98.20
2718.00,98.22
2717.00,98.23
2716.00,98.25
2715.00,98.26
2714.00,98.27
2713.00,98.28
2712.00,98.28
2711.00,98.28
2710.00,98.28
2709.00,98.27
2708.00,98.26
2707.00,98.26
2706.00,98.26
2705.00,98.27
2704.00,98.27
2703.00,98.27
2702.00,98.27
2701.00,98.27
2700.00,98.27
2699.00,98.27
2698.00,98.28
2697.00,98.29
2696.00,98.30
2695.00,98.31
2694.00,98.31
2693.00,98.32
2692.00,98.32
2691.00,98.33
2690.00,98.33
2689.00,98.34
2688.00,98.33
2687.00,98.33
2686.00,98.33
2685.00,98.33
2684.00,98.34
2683.00,98.35
2682.00,98.35
2681.00,98.35
2680.00,98.34
2679.00,98.33
2678.00,98.32
2677.00,98.33
2676.00,98.35
2675.00,98.36
2674.00,98.37
2673.00,98.38
2672.00,98.39
2671.00,98.40
2670.00,98.41
2669.00,98.41
2668.00,98.42
2667.00,98.42
2666.00,98.43
2665.00,98.43
2664.00,98.43
2663.00,98.44
2662.00,98.44
2661.00,98.44
2660.00,98.44
2659.00,98.43
2658.00,98.43
2657.00,98.43
2656.00,98.43
2655.00,98.43
2654.00,98.44
2653.00,98.45
2652.00,98.47
2651.00,98.48
2650.00,98.48
2649.00,98.48
2648.00,98.47
2647.00,98.45
2646.00,98.44
2645.00,98.43
2644.00,98.42
2643.00,98.42
2642.00,98.42
2641.00,98.43
2640.00,98.42
2639.00,98.42
2638.00,98.40
2637.00,98.39
2636.00,98.39
2635.00,98.40
2634.00,98.42
2633.00,98.43
2632.00,98.43
2631.00,98.42
2630.00,98.42
2629.00,98.42
2628.00,98.41
2627.00,98.42
2626.00,98.42
2625.00,98.44
2624.00,98.45
2623.00,98.47
2622.00,98.47
2621.00,98.46
2620.00,98.45
2619.00,98.46
2618.00,98.47
2617.00,98.49
2616.00,98.50
2615.00,98.52
2614.00,98.53
2613.00,98.54
2612.00,98.53
2611.00,98.52
2610.00,98.52
2609.00,98.52
2608.00,98.52
2607.00,98.52
2606.00,98.51
2605.00,98.49
2604.00,98.48
2603.00,98.48
2602.00,98.49
2601.00,98.51
2600.00,98.52
2599.00,98.52
2598.00,98.51
2597.00,98.51
2596.00,98.51
2595.00,98.51
2594.00,98.50
2593.00,98.50
2592.00,98.51
2591.00,98.52
2590.00,98.53
2589.00,98.52
2588.00,98.50
2587.00,98.49
2586.00,98.49
2585.00,98.51
2584.00,98.53
2583.00,98.54
2582.00,98.54
2581.00,98.53
2580.00,98.50
2579.00,98.48
2578.00,98.47
2577.00,98.48
2576.00,98.50
2575.00,98.52
2574.00,98.54
2573.00,98.53
2572.00,98.52
2571.00,98.50
2570.00,98.50
2569.00,98.50
2568.00,98.51
2567.00,98.53
2566.00,98.53
2565.00,98.53
2564.00,98.52
2563.00,98.52
2562.00,98.54
2561.00,98.56
2560.00,98.56
2559.00,98.55
2558.00,98.52
2557.00,98.50
2556.00,98.50
2555.00,98.52
2554.00,98.55
2553.00,98.58
2552.00,98.60
2551.00,98.61
2550.00,98.61
2549.00,98.61
2548.00,98.59
2547.00,98.57
2546.00,98.55
2545.00,98.55
2544.00,98.56
2543.00,98.57
2542.00,98.56
2541.00,98.53
2540.00,98.51
2539.00,98.50
2538.00,98.50
2537.00,98.51
2536.00,98.52
2535.00,98.53
2534.00,98.53
2533.00,98.52
2532.00,98.53
2531.00,98.54
2530.00,98.56
2529.00,98.57
2528.00,98.56
2527.00,98.54
2526.00,98.54
2525.00,98.53
2524.00,98.52
2523.00,98.52
2522.00,98.52
2521.00,98.53
2520.00,98.54
2519.00,98.54
2518.00,98.54
2517.00,98.52
2516.00,98.51
2515.00,98.51
2514.00,98.51
2513.00,98.51
2512.00,98.49
2511.00,98.48
2510.00,98.49
2509.00,98.51
2508.00,98.54
2507.00,98.58
2506.00,98.62
2505.00,98.65
2504.00,98.68
2503.00,98.68
2502.00,98.67
2501.00,98.64
2500.00,98.61
2499.00,98.59
2498.00,98.59
2497.00,98.60
2496.00,98.61
2495.00,98.61
2494.00,98.60
2493.00,98.58
2492.00,98.57
2491.00,98.56
2490.00,98.56
2489.00,98.56
2488.00,98.56
2487.00,98.56
2486.00,98.57
2485.00,98.57
2484.00,98.58
2483.00,98.58
2482.00,98.57
2481.00,98.56
2480.00,98.57
2479.00,98.59
2478.00,98.61
2477.00,98.62
2476.00,98.62
2475.00,98.60
2474.00,98.57
2473.00,98.55
2472.00,98.56
2471.00,98.58
2470.00,98.60
2469.00,98.62
2468.00,98.62
2467.00,98.63
2466.00,98.64
2465.00,98.64
2464.00,98.64
2463.00,98.64
2462.00,98.64
2461.00,98.65
