Created as New Dataset,Bio-Couture 20/2 Linen (NC)
cm-1,%T
2716.00,98.60
2715.00,98.62
2714.00,98.62
2713.00,98.62
2712.00,98.62
2711.00,98.61
2710.00,98.61
2709.00,98.61
2708.00,98.62
2707.00,98.62
2706.00,98.63
2705.00,98.64
2704.00,98.64
2703.00,98.64
2702.00,98.64
2701.00,98.65
2700.00,98.65
2699.00,98.66
2698.00,98.66
2697.00,98.67
2696.00,98.68
2695.00,98.70
2694.00,98.71
2693.00,98.71
2692.00,98.71
2691.00,98.71
2690.00,98.70
2689.00,98.69
2688.00,98.69
2687.00,98.69
2686.00,98.69
2685.00,98.69
2684.00,98.69
2683.00,98.70
2682.00,98.71
2681.00,98.71
2680.00,98.72
2679.00,98.72
2678.00,98.73
2677.00,98.73
2676.00,98.74
2675.00,98.75
2674.00,98.76
2673.00,98.77
2672.00,98.76
2671.00,98.76
2670.00,98.75
2669.00,98.75
2668.00,98.74
2667.00,98.74
2666.00,98.74
2665.00,98.74
2664.00,98.75
2663.00,98.76
2662.00,98.76
2661.00,98.77
2660.00,98.76
2659.00,98.76
2658.00,98.75
2657.00,98.75
2656.00,98.75
2655.00,98.75
2654.00,98.74
2653.00,98.74
2652.00,98.73
2651.00,98.73
2650.00,98.71
2649.00,98.70
2648.00,98.68
2647.00,98.67
2646.00,98.66
2645.00,98.66
2644.00,98.67
2643.00,98.68
2642.00,98.69
2641.00,98.68
2640.00,98.68
2639.00,98.69
2638.00,98.70
2637.00,98.70
2636.00,98.69
2635.00,98.68
2634.00,98.67
2633.00,98.66
2632.00,98.66
2631.00,98.67
2630.00,98.68
2629.00,98.69
2628.00,98.70
2627.00,98.71
2626.00,98.70
2625.00,98.70
2624.00,98.68
2623.00,98.67
2622.00,98.67
2621.00,98.68
2620.00,98.70
2619.00,98.71
2618.00,98.71
2617.00,98.70
2616.00,98.69
2615.00,98.67
2614.00,98.66
2613.00,98.64
2612.00,98.64
2611.00,98.66
2610.00,98.69
2609.00,98.71
2608.00,98.73
2607.00,98.73
2606.00,98.72
2605.00,98.69
2604.00,98.68
2603.00,98.67
2602.00,98.67
2601.00,98.67
2600.00,98.67
2599.00,98.67
2598.00,98.67
2597.00,98.67
2596.00,98.67
2595.00,98.67
2594.00,98.67
2593.00,98.67
2592.00,98.65
2591.00,98.64
2590.00,98.63
2589.00,98.64
2588.00,98.64
2587.00,98.62
2586.00,98.61
2585.00,98.60
2584.00,98.62
2583.00,98.63
2582.00,98.63
2581.00,98.63
2580.00,98.61
2579.00,98.60
2578.00,98.58
2577.00,98.57
2576.00,98.57
2575.00,98.59
2574.00,98.63
2573.00,98.64
2572.00,98.63
2571.00,98.60
2570.00,98.57
2569.00,98.56
2568.00,98.58
2567.00,98.61
2566.00,98.63
2565.00,98.64
2564.00,98.66
2563.00,98.66
2562.00,98.67
2561.00,98.67
2560.00,98.66
2559.00,98.66
2558.00,98.66
2557.00,98.65
2556.00,98.65
2555.00,98.65
2554.00,98.65
2553.00,98.64
2552.00,98.62
2551.00,98.60
2550.00,98.60
2549.00,98.61
2548.00,98.62
2547.00,98.61
2546.00,98.60
2545.00,98.60
2544.00,98.63
2543.00,98.65
2542.00,98.66
2541.00,98.65
2540.00,98.62
2539.00,98.59
2538.00,98.57
2537.00,98.56
2536.00,98.56
2535.00,98.57
2534.00,98.58
2533.00,98.60
2532.00,98.63
2531.00,98.64
2530.00,98.63
2529.00,98.62
2528.00,98.62
2527.00,98.64
2526.00,98.66
2525.00,98.66
2524.00,98.64
2523.00,98.62
2522.00,98.61
2521.00,98.62
2520.00,98.64
2519.00,98.66
2518.00,98.68
2517.00,98.70
2516.00,98.71
2515.00,98.70
2514.00,98.69
2513.00,98.68
2512.00,98.68
2511.00,98.68
2510.00,98.68
2509.00,98.67
2508.00,98.66
2507.00,98.67
2506.00,98.68
2505.00,98.69
2504.00,98.70
2503.00,98.71
2502.00,98.71
2501.00,98.72
2500.00,98.71
2499.00,98.70
2498.00,98.70
2497.00,98.69
2496.00,98.69
2495.00,98.70
2494.00,98.71
2493.00,98.72
2492.00,98.71
2491.00,98.69
2490.00,98.68
2489.00,98.67
2488.00,98.69
2487.00,98.71
2486.00,98.73
2485.00,98.74
2484.00,98.75
2483.00,98.74
2482.00,98.73
2481.00,98.72
2480.00,98.72
2479.00,98.71
2478.00,98.71
2477.00,98.70
2476.00,98.70
2475.00,98.69
2474.00,98.69
2473.00,98.69
2472.00,98.70
2471.00,98.71
2470.00,98.70
2469.00,98.69
2468.00,98.68
2467.00,98.69
