Created as New Dataset,15.1 Red Wool sheep natural black roving
cm-1,%T
2698.00,99.37
2697.00,99.38
2696.00,99.40
2695.00,99.42
2694.00,99.44
2693.00,99.45
2692.00,99.44
2691.00,99.43
2690.00,99.42
2689.00,99.42
2688.00,99.42
2687.00,99.43
2686.00,99.45
2685.00,99.46
2684.00,99.47
2683.00,99.47
2682.00,99.48
2681.00,99.47
2680.00,99.46
2679.00,99.47
2678.00,99.48
2677.00,99.50
2676.00,99.52
2675.00,99.53
2674.00,99.53
2673.00,99.51
2672.00,99.50
2671.00,99.49
2670.00,99.50
2669.00,99.51
2668.00,99.52
2667.00,99.53
2666.00,99.53
2665.00,99.52
2664.00,99.50
2663.00,99.48
2662.00,99.47
2661.00,99.47
2660.00,99.48
2659.00,99.50
2658.00,99.52
2657.00,99.53
2656.00,99.54
2655.00,99.53
2654.00,99.53
2653.00,99.53
2652.00,99.53
2651.00,99.53
2650.00,99.53
2649.00,99.53
2648.00,99.52
2647.00,99.52
2646.00,99.53
2645.00,99.54
2644.00,99.55
2643.00,99.56
2642.00,99.55
2641.00,99.54
2640.00,99.52
2639.00,99.50
2638.00,99.49
2637.00,99.49
2636.00,99.49
2635.00,99.50
2634.00,99.49
2633.00,99.48
2632.00,99.47
2631.00,99.47
2630.00,99.47
2629.00,99.49
2628.00,99.52
2627.00,99.55
2626.00,99.55
2625.00,99.54
2624.00,99.53
2623.00,99.51
2622.00,99.50
2621.00,99.49
2620.00,99.49
2619.00,99.49
2618.00,99.49
2617.00,99.49
2616.00,99.49
2615.00,99.50
2614.00,99.51
2613.00,99.50
2612.00,99.50
2611.00,99.50
2610.00,99.50
2609.00,99.51
2608.00,99.50
2607.00,99.49
2606.00,99.50
2605.00,99.52
2604.00,99.55
2603.00,99.58
2602.00,99.59
2601.00,99.58
2600.00,99.57
2599.00,99.56
2598.00,99.55
2597.00,99.54
2596.00,99.54
2595.00,99.55
2594.00,99.56
2593.00,99.56
2592.00,99.56
2591.00,99.57
2590.00,99.58
2589.00,99.58
2588.00,99.57
2587.00,99.54
2586.00,99.51
2585.00,99.50
2584.00,99.50
2583.00,99.52
2582.00,99.53
2581.00,99.54
2580.00,99.55
2579.00,99.55
2578.00,99.54
2577.00,99.54
2576.00,99.54
2575.00,99.53
2574.00,99.52
2573.00,99.52
2572.00,99.53
2571.00,99.56
2570.00,99.58
2569.00,99.59
2568.00,99.60
2567.00,99.60
2566.00,99.60
2565.00,99.58
2564.00,99.57
2563.00,99.55
2562.00,99.55
2561.00,99.55
2560.00,99.57
2559.00,99.58
2558.00,99.59
2557.00,99.59
2556.00,99.58
2555.00,99.58
2554.00,99.58
2553.00,99.58
2552.00,99.57
2551.00,99.56
2550.00,99.57
2549.00,99.59
2548.00,99.61
2547.00,99.62
2546.00,99.61
2545.00,99.60
2544.00,99.59
2543.00,99.59
2542.00,99.60
2541.00,99.60
2540.00,99.60
2539.00,99.60
2538.00,99.61
2537.00,99.60
2536.00,99.59
2535.00,99.56
2534.00,99.54
2533.00,99.53
2532.00,99.54
2531.00,99.55
2530.00,99.57
2529.00,99.60
2528.00,99.62
2527.00,99.62
2526.00,99.60
2525.00,99.58
2524.00,99.57
2523.00,99.59
2522.00,99.60
2521.00,99.61
2520.00,99.61
2519.00,99.59
2518.00,99.59
2517.00,99.60
2516.00,99.62
