Created as New Dataset,7.2. Cotton sSeed with lint
cm-1,%T
2679.00,98.24
2678.00,98.24
2677.00,98.24
2676.00,98.25
2675.00,98.26
2674.00,98.26
2673.00,98.27
2672.00,98.28
2671.00,98.30
2670.00,98.30
2669.00,98.31
2668.00,98.31
2667.00,98.32
2666.00,98.32
2665.00,98.32
2664.00,98.31
2663.00,98.29
2662.00,98.27
2661.00,98.25
2660.00,98.24
2659.00,98.24
2658.00,98.25
2657.00,98.26
2656.00,98.26
2655.00,98.26
2654.00,98.26
2653.00,98.25
2652.00,98.25
2651.00,98.25
2650.00,98.26
2649.00,98.26
2648.00,98.26
2647.00,98.24
2646.00,98.23
2645.00,98.23
2644.00,98.23
2643.00,98.22
2642.00,98.20
2641.00,98.18
2640.00,98.16
2639.00,98.15
2638.00,98.16
2637.00,98.17
2636.00,98.19
2635.00,98.20
2634.00,98.21
2633.00,98.21
2632.00,98.21
2631.00,98.22
2630.00,98.22
2629.00,98.22
2628.00,98.22
2627.00,98.21
2626.00,98.19
2625.00,98.18
2624.00,98.18
2623.00,98.19
2622.00,98.19
2621.00,98.20
2620.00,98.19
2619.00,98.18
2618.00,98.18
2617.00,98.18
2616.00,98.18
2615.00,98.18
2614.00,98.17
2613.00,98.16
2612.00,98.17
2611.00,98.19
2610.00,98.21
2609.00,98.24
2608.00,98.25
2607.00,98.25
2606.00,98.24
2605.00,98.22
2604.00,98.20
2603.00,98.19
2602.00,98.18
2601.00,98.18
2600.00,98.19
2599.00,98.21
2598.00,98.21
2597.00,98.22
2596.00,98.23
2595.00,98.24
2594.00,98.25
2593.00,98.25
2592.00,98.23
2591.00,98.22
2590.00,98.21
2589.00,98.21
2588.00,98.20
2587.00,98.19
2586.00,98.19
2585.00,98.18
2584.00,98.18
2583.00,98.19
2582.00,98.19
2581.00,98.20
2580.00,98.19
2579.00,98.17
2578.00,98.16
2577.00,98.17
2576.00,98.18
2575.00,98.18
2574.00,98.18
2573.00,98.17
2572.00,98.16
2571.00,98.18
2570.00,98.20
2569.00,98.23
2568.00,98.25
2567.00,98.26
2566.00,98.25
2565.00,98.22
2564.00,98.19
2563.00,98.17
2562.00,98.16
2561.00,98.15
2560.00,98.14
2559.00,98.16
2558.00,98.19
2557.00,98.22
2556.00,98.24
2555.00,98.24
2554.00,98.23
2553.00,98.21
2552.00,98.19
2551.00,98.15
2550.00,98.13
2549.00,98.12
2548.00,98.14
2547.00,98.15
2546.00,98.17
2545.00,98.18
2544.00,98.18
2543.00,98.19
2542.00,98.20
2541.00,98.21
2540.00,98.22
2539.00,98.22
2538.00,98.21
2537.00,98.19
2536.00,98.17
2535.00,98.17
2534.00,98.18
2533.00,98.20
2532.00,98.22
2531.00,98.23
2530.00,98.22
2529.00,98.20
2528.00,98.19
2527.00,98.18
2526.00,98.19
2525.00,98.20
2524.00,98.21
2523.00,98.23
2522.00,98.23
2521.00,98.24
2520.00,98.24
2519.00,98.24
2518.00,98.24
2517.00,98.23
2516.00,98.23
2515.00,98.24
