Created as New Dataset,124 Philips (Green)
cm-1,%T
2970.00,88.56
2969.00,87.45
2968.00,86.28
2967.00,85.03
2966.00,83.75
2965.00,82.45
2964.00,81.21
2963.00,80.07
2962.00,79.08
2961.00,78.27
2960.00,77.62
2959.00,77.10
2958.00,76.65
2957.00,76.24
2956.00,75.84
2955.00,75.42
2954.00,74.99
2953.00,74.60
2952.00,74.31
2951.00,74.23
2950.00,74.42
2949.00,74.97
2948.00,75.86
2947.00,77.06
2946.00,78.49
2945.00,80.02
2944.00,81.53
2943.00,82.88
2942.00,83.98
2941.00,84.78
2940.00,85.28
2939.00,85.48
2938.00,85.43
2937.00,85.15
2936.00,84.68
2935.00,84.03
2934.00,83.22
2933.00,82.29
2932.00,81.27
2931.00,80.18
2930.00,79.05
2929.00,77.93
2928.00,76.84
2927.00,75.83
2926.00,74.89
2925.00,74.02
2924.00,73.19
2923.00,72.38
2922.00,71.60
2921.00,70.88
2920.00,70.27
2919.00,69.82
2918.00,69.59
2917.00,69.60
2916.00,69.84
2915.00,70.27
2914.00,70.82
2913.00,71.44
2912.00,72.08
2911.00,72.70
2910.00,73.29
2909.00,73.87
2908.00,74.46
2907.00,75.07
2906.00,75.70
2905.00,76.36
2904.00,77.05
2903.00,77.76
2902.00,78.49
2901.00,79.23
2900.00,79.98
2899.00,80.70
2898.00,81.38
2897.00,82.00
2896.00,82.56
2895.00,83.05
2894.00,83.48
2893.00,83.83
2892.00,84.11
2891.00,84.33
2890.00,84.48
2889.00,84.57
2888.00,84.60
2887.00,84.56
2886.00,84.47
2885.00,84.34
2884.00,84.16
2883.00,83.92
2882.00,83.65
2881.00,83.36
2880.00,83.08
2879.00,82.83
2878.00,82.65
2877.00,82.56
2876.00,82.56
2875.00,82.61
2874.00,82.65
2873.00,82.64
2872.00,82.56
2871.00,82.41
2870.00,82.24
2869.00,82.10
2868.00,82.08
2867.00,82.27
2866.00,82.75
2865.00,83.54
2864.00,84.60
2863.00,85.82
2862.00,87.08
2861.00,88.28
2860.00,89.32
2859.00,90.15
2858.00,90.78
2857.00,91.23
2856.00,91.53
2855.00,91.69
2854.00,91.72
2853.00,91.63
2852.00,91.43
2851.00,91.14
2850.00,90.76
2849.00,90.30
2848.00,89.74
2847.00,89.09
2846.00,88.34
2845.00,87.51
2844.00,86.62
2843.00,85.72
2842.00,84.83
2841.00,84.03
2840.00,83.40
2839.00,83.01
2838.00,82.95
2837.00,83.25
2836.00,83.92
2835.00,84.92
2834.00,86.15
2833.00,87.51
2832.00,88.88
2831.00,90.15
2830.00,91.26
2829.00,92.20
2828.00,92.97
2827.00,93.60
2826.00,94.12
2825.00,94.55
2824.00,94.90
2823.00,95.19
2822.00,95.44
2821.00,95.66
2820.00,95.86
2819.00,96.05
2818.00,96.21
2817.00,96.35
2816.00,96.46
2815.00,96.55
2814.00,96.64
2813.00,96.73
2812.00,96.83
2811.00,96.92
2810.00,97.00
2809.00,97.09
2808.00,97.18
2807.00,97.26
2806.00,97.34
2805.00,97.43
2804.00,97.51
2803.00,97.59
2802.00,97.67
2801.00,97.74
2800.00,97.81
2799.00,97.88
2798.00,97.93
2797.00,97.96
2796.00,97.99
2795.00,98.02
2794.00,98.06
2793.00,98.11
2792.00,98.17
2791.00,98.22
2790.00,98.26
2789.00,98.31
2788.00,98.36
2787.00,98.41
2786.00,98.46
2785.00,98.51
2784.00,98.55
2783.00,98.60
2782.00,98.65
2781.00,98.70
2780.00,98.75
2779.00,98.79
2778.00,98.81
2777.00,98.83
2776.00,98.85
2775.00,98.87
2774.00,98.89
2773.00,98.90
2772.00,98.90
2771.00,98.91
2770.00,98.91
2769.00,98.92
2768.00,98.92
2767.00,98.92
2766.00,98.93
2765.00,98.94
2764.00,98.96
2763.00,98.99
2762.00,99.01
2761.00,99.04
2760.00,99.05
2759.00,99.05
2758.00,99.05
2757.00,99.05
2756.00,99.05
2755.00,99.06
2754.00,99.06
2753.00,99.05
2752.00,99.04
2751.00,99.03
2750.00,99.02
2749.00,99.02
2748.00,99.03
2747.00,99.04
2746.00,99.04
2745.00,99.04
2744.00,99.02
2743.00,99.00
2742.00,98.97
2741.00,98.95
2740.00,98.93
2739.00,98.91
2738.00,98.88
2737.00,98.86
2736.00,98.84
2735.00,98.82
2734.00,98.80
2733.00,98.77
2732.00,98.75
2731.00,98.73
2730.00,98.70
2729.00,98.67
2728.00,98.64
2727.00,98.59
2726.00,98.52
2725.00,98.47
2724.00,98.43
2723.00,98.42
2722.00,98.44
2721.00,98.47
2720.00,98.53
2719.00,98.60
2718.00,98.66
2717.00,98.71
2716.00,98.76
2715.00,98.80
2714.00,98.85
2713.00,98.90
2712.00,98.93
2711.00,98.96
2710.00,98.99
2709.00,99.01
2708.00,99.03
2707.00,99.05
2706.00,99.07
2705.00,99.09
2704.00,99.10
2703.00,99.12
2702.00,99.13
2701.00,99.13
2700.00,99.14
2699.00,99.14
2698.00,99.15
2697.00,99.17
2696.00,99.18
2695.00,99.20
2694.00,99.22
2693.00,99.22
2692.00,99.21
2691.00,99.20
2690.00,99.18
2689.00,99.18
2688.00,99.18
2687.00,99.19
2686.00,99.19
2685.00,99.19
2684.00,99.19
2683.00,99.19
2682.00,99.19
2681.00,99.19
2680.00,99.18
2679.00,99.18
2678.00,99.17
2677.00,99.17
2676.00,99.18
2675.00,99.18
2674.00,99.18
2673.00,99.18
2672.00,99.18
2671.00,99.18
2670.00,99.19
2669.00,99.20
2668.00,99.21
2667.00,99.22
2666.00,99.21
2665.00,99.20
2664.00,99.18
2663.00,99.17
2662.00,99.17
2661.00,99.16
2660.00,99.14
2659.00,99.13
2658.00,99.11
2657.00,99.11
2656.00,99.12
2655.00,99.12
2654.00,99.13
2653.00,99.12
2652.00,99.11
2651.00,99.09
2650.00,99.08
2649.00,99.07
2648.00,99.07
2647.00,99.07
2646.00,99.08
2645.00,99.09
2644.00,99.09
2643.00,99.10
2642.00,99.09
2641.00,99.08
2640.00,99.06
2639.00,99.04
2638.00,99.03
2637.00,99.03
2636.00,99.03
2635.00,99.02
2634.00,98.99
2633.00,98.96
2632.00,98.94
2631.00,98.94
2630.00,98.95
2629.00,98.96
2628.00,98.96
2627.00,98.95
2626.00,98.92
2625.00,98.88
2624.00,98.86
2623.00,98.85
2622.00,98.86
2621.00,98.87
2620.00,98.87
2619.00,98.87
2618.00,98.86
2617.00,98.85
2616.00,98.83
2615.00,98.81
2614.00,98.79
2613.00,98.77
2612.00,98.77
