Created as New Dataset,13.2 Red Wool Polwarth sheep
cm-1,%T
2675.00,97.29
2674.00,97.30
2673.00,97.30
2672.00,97.31
2671.00,97.32
2670.00,97.33
2669.00,97.33
2668.00,97.32
2667.00,97.30
2666.00,97.29
2665.00,97.30
2664.00,97.32
2663.00,97.34
2662.00,97.36
2661.00,97.37
2660.00,97.37
2659.00,97.37
2658.00,97.36
2657.00,97.36
2656.00,97.36
2655.00,97.36
2654.00,97.36
2653.00,97.35
2652.00,97.34
2651.00,97.34
2650.00,97.35
2649.00,97.36
2648.00,97.36
2647.00,97.36
2646.00,97.36
2645.00,97.35
2644.00,97.36
2643.00,97.36
2642.00,97.36
2641.00,97.37
2640.00,97.38
2639.00,97.40
2638.00,97.42
2637.00,97.44
2636.00,97.44
2635.00,97.45
2634.00,97.45
2633.00,97.45
2632.00,97.45
2631.00,97.46
2630.00,97.45
2629.00,97.45
2628.00,97.44
2627.00,97.43
2626.00,97.45
2625.00,97.47
2624.00,97.49
2623.00,97.50
2622.00,97.52
2621.00,97.54
2620.00,97.57
2619.00,97.60
2618.00,97.61
2617.00,97.61
2616.00,97.60
2615.00,97.60
2614.00,97.59
2613.00,97.58
2612.00,97.57
2611.00,97.56
2610.00,97.57
2609.00,97.58
2608.00,97.59
2607.00,97.60
2606.00,97.61
2605.00,97.62
2604.00,97.62
2603.00,97.63
2602.00,97.65
2601.00,97.66
2600.00,97.66
2599.00,97.65
2598.00,97.64
2597.00,97.64
2596.00,97.66
2595.00,97.68
2594.00,97.71
2593.00,97.73
2592.00,97.75
2591.00,97.76
2590.00,97.76
2589.00,97.76
2588.00,97.75
2587.00,97.75
2586.00,97.76
2585.00,97.77
2584.00,97.79
2583.00,97.82
2582.00,97.85
2581.00,97.87
2580.00,97.88
2579.00,97.88
2578.00,97.88
2577.00,97.88
2576.00,97.87
2575.00,97.86
2574.00,97.85
2573.00,97.84
2572.00,97.84
2571.00,97.84
2570.00,97.85
2569.00,97.85
2568.00,97.85
2567.00,97.86
2566.00,97.87
2565.00,97.88
2564.00,97.90
2563.00,97.91
2562.00,97.93
2561.00,97.93
2560.00,97.92
2559.00,97.90
2558.00,97.88
2557.00,97.87
2556.00,97.87
2555.00,97.89
2554.00,97.90
2553.00,97.91
2552.00,97.93
2551.00,97.95
2550.00,97.98
2549.00,98.00
2548.00,98.00
2547.00,98.00
2546.00,98.01
2545.00,98.02
2544.00,98.02
2543.00,98.03
2542.00,98.03
2541.00,98.01
2540.00,98.00
2539.00,97.98
2538.00,97.98
2537.00,97.99
2536.00,98.00
2535.00,98.02
2534.00,98.04
2533.00,98.04
2532.00,98.04
2531.00,98.03
2530.00,98.01
2529.00,97.98
2528.00,97.95
2527.00,97.93
2526.00,97.93
2525.00,97.94
2524.00,97.95
2523.00,97.96
2522.00,97.98
2521.00,98.00
2520.00,98.03
2519.00,98.07
2518.00,98.12
2517.00,98.15
2516.00,98.16
2515.00,98.14
2514.00,98.10
2513.00,98.08
2512.00,98.07
2511.00,98.07
2510.00,98.09
2509.00,98.10
2508.00,98.11
2507.00,98.12
2506.00,98.12
2505.00,98.13
2504.00,98.14
2503.00,98.15
2502.00,98.15
2501.00,98.15
2500.00,98.14
2499.00,98.13
2498.00,98.13
2497.00,98.12
2496.00,98.13
2495.00,98.15
2494.00,98.18
2493.00,98.19
2492.00,98.18
2491.00,98.17
2490.00,98.16
2489.00,98.17
2488.00,98.19
2487.00,98.20
2486.00,98.22
2485.00,98.23
2484.00,98.23
2483.00,98.23
2482.00,98.22
2481.00,98.23
2480.00,98.24
2479.00,98.26
2478.00,98.27
2477.00,98.27
2476.00,98.26
2475.00,98.26
2474.00,98.27
2473.00,98.29
2472.00,98.29
2471.00,98.28
2470.00,98.25
2469.00,98.23
2468.00,98.22
2467.00,98.23
2466.00,98.25
2465.00,98.27
