Created as New Dataset,144 Enka
cm-1,%T
2848.00,99.38
2847.00,99.40
2846.00,99.41
2845.00,99.43
2844.00,99.44
2843.00,99.45
2842.00,99.47
2841.00,99.49
2840.00,99.51
2839.00,99.54
2838.00,99.57
2837.00,99.58
2836.00,99.58
2835.00,99.58
2834.00,99.58
2833.00,99.58
2832.00,99.60
2831.00,99.62
2830.00,99.65
2829.00,99.67
2828.00,99.68
2827.00,99.69
2826.00,99.70
2825.00,99.71
2824.00,99.71
2823.00,99.71
2822.00,99.69
2821.00,99.69
2820.00,99.69
2819.00,99.69
2818.00,99.69
2817.00,99.68
2816.00,99.67
2815.00,99.66
2814.00,99.67
2813.00,99.68
2812.00,99.68
2811.00,99.68
2810.00,99.67
2809.00,99.67
2808.00,99.67
2807.00,99.67
2806.00,99.66
2805.00,99.66
2804.00,99.66
2803.00,99.66
2802.00,99.67
2801.00,99.68
2800.00,99.68
2799.00,99.68
2798.00,99.67
2797.00,99.67
2796.00,99.67
2795.00,99.67
2794.00,99.67
2793.00,99.68
2792.00,99.68
2791.00,99.68
2790.00,99.68
2789.00,99.67
2788.00,99.67
2787.00,99.67
2786.00,99.69
2785.00,99.71
2784.00,99.73
2783.00,99.74
2782.00,99.75
2781.00,99.76
2780.00,99.77
2779.00,99.79
2778.00,99.80
2777.00,99.79
2776.00,99.77
2775.00,99.75
2774.00,99.75
2773.00,99.76
2772.00,99.78
2771.00,99.79
2770.00,99.79
2769.00,99.78
2768.00,99.78
2767.00,99.79
2766.00,99.79
2765.00,99.80
2764.00,99.81
2763.00,99.81
2762.00,99.80
2761.00,99.80
2760.00,99.80
2759.00,99.80
2758.00,99.81
2757.00,99.82
2756.00,99.81
2755.00,99.80
2754.00,99.79
2753.00,99.78
2752.00,99.78
2751.00,99.78
2750.00,99.79
2749.00,99.78
2748.00,99.78
2747.00,99.77
2746.00,99.78
2745.00,99.80
2744.00,99.81
2743.00,99.82
2742.00,99.82
2741.00,99.81
2740.00,99.80
2739.00,99.80
2738.00,99.80
2737.00,99.79
2736.00,99.79
2735.00,99.79
2734.00,99.80
2733.00,99.80
2732.00,99.81
2731.00,99.82
2730.00,99.83
2729.00,99.84
2728.00,99.85
2727.00,99.85
2726.00,99.85
2725.00,99.84
2724.00,99.83
2723.00,99.83
2722.00,99.83
2721.00,99.83
2720.00,99.83
2719.00,99.83
2718.00,99.82
2717.00,99.82
2716.00,99.82
2715.00,99.83
2714.00,99.84
2713.00,99.84
2712.00,99.85
2711.00,99.85
2710.00,99.86
2709.00,99.86
2708.00,99.86
2707.00,99.86
2706.00,99.86
2705.00,99.85
2704.00,99.85
2703.00,99.84
2702.00,99.83
2701.00,99.83
2700.00,99.82
2699.00,99.83
2698.00,99.84
2697.00,99.85
2696.00,99.86
2695.00,99.86
2694.00,99.86
2693.00,99.84
2692.00,99.83
2691.00,99.83
2690.00,99.83
2689.00,99.83
2688.00,99.82
2687.00,99.81
2686.00,99.81
2685.00,99.82
2684.00,99.83
2683.00,99.84
2682.00,99.85
2681.00,99.86
2680.00,99.85
2679.00,99.84
2678.00,99.84
2677.00,99.84
2676.00,99.83
2675.00,99.83
2674.00,99.82
2673.00,99.81
2672.00,99.80
2671.00,99.80
2670.00,99.81
2669.00,99.82
2668.00,99.83
2667.00,99.84
2666.00,99.85
2665.00,99.86
2664.00,99.84
2663.00,99.82
2662.00,99.79
2661.00,99.78
2660.00,99.78
2659.00,99.79
2658.00,99.79
2657.00,99.79
2656.00,99.78
2655.00,99.76
2654.00,99.75
2653.00,99.73
2652.00,99.72
2651.00,99.71
2650.00,99.69
2649.00,99.67
2648.00,99.66
2647.00,99.66
2646.00,99.66
2645.00,99.66
2644.00,99.65
2643.00,99.64
2642.00,99.62
2641.00,99.61
2640.00,99.60
2639.00,99.58
2638.00,99.56
2637.00,99.54
2636.00,99.52
2635.00,99.52
2634.00,99.52
2633.00,99.52
2632.00,99.52
2631.00,99.52
2630.00,99.51
2629.00,99.50
2628.00,99.48
2627.00,99.46
2626.00,99.44
2625.00,99.42
2624.00,99.42
2623.00,99.43
2622.00,99.44
2621.00,99.44
2620.00,99.43
2619.00,99.42
2618.00,99.40
2617.00,99.39
2616.00,99.39
2615.00,99.39
2614.00,99.39
2613.00,99.38
2612.00,99.37
2611.00,99.37
2610.00,99.36
2609.00,99.36
2608.00,99.35
2607.00,99.33
