Created as New Dataset,141. Du Pont
cm-1,%T
2682.00,98.33
2681.00,98.32
2680.00,98.32
2679.00,98.32
2678.00,98.32
2677.00,98.32
2676.00,98.33
2675.00,98.33
2674.00,98.34
2673.00,98.35
2672.00,98.35
2671.00,98.36
2670.00,98.36
2669.00,98.35
2668.00,98.34
2667.00,98.34
2666.00,98.34
2665.00,98.34
2664.00,98.34
2663.00,98.33
2662.00,98.33
2661.00,98.32
2660.00,98.32
2659.00,98.32
2658.00,98.31
2657.00,98.30
2656.00,98.29
2655.00,98.28
2654.00,98.26
2653.00,98.26
2652.00,98.25
2651.00,98.25
2650.00,98.25
2649.00,98.25
2648.00,98.24
2647.00,98.21
2646.00,98.19
2645.00,98.18
2644.00,98.17
2643.00,98.17
2642.00,98.15
2641.00,98.12
2640.00,98.10
2639.00,98.11
2638.00,98.12
2637.00,98.13
2636.00,98.13
2635.00,98.11
2634.00,98.09
2633.00,98.07
2632.00,98.05
2631.00,98.03
2630.00,98.02
2629.00,98.02
2628.00,98.04
2627.00,98.05
2626.00,98.05
2625.00,98.03
2624.00,97.99
2623.00,97.96
2622.00,97.95
2621.00,97.95
2620.00,97.96
2619.00,97.97
2618.00,97.97
2617.00,97.97
2616.00,97.96
2615.00,97.96
2614.00,97.96
2613.00,97.95
2612.00,97.95
2611.00,97.95
2610.00,97.96
2609.00,97.96
2608.00,97.96
2607.00,97.95
2606.00,97.93
2605.00,97.92
2604.00,97.91
2603.00,97.91
2602.00,97.89
2601.00,97.87
2600.00,97.86
2599.00,97.85
2598.00,97.85
2597.00,97.85
2596.00,97.85
2595.00,97.84
2594.00,97.83
2593.00,97.82
2592.00,97.82
2591.00,97.81
2590.00,97.80
2589.00,97.78
2588.00,97.77
2587.00,97.78
2586.00,97.79
2585.00,97.80
2584.00,97.80
2583.00,97.79
2582.00,97.77
2581.00,97.75
2580.00,97.73
2579.00,97.72
2578.00,97.72
2577.00,97.73
2576.00,97.75
2575.00,97.76
2574.00,97.75
2573.00,97.73
2572.00,97.72
2571.00,97.73
2570.00,97.74
2569.00,97.74
2568.00,97.73
2567.00,97.70
2566.00,97.67
2565.00,97.66
2564.00,97.65
2563.00,97.66
2562.00,97.67
2561.00,97.68
2560.00,97.69
2559.00,97.69
2558.00,97.68
2557.00,97.67
2556.00,97.66
2555.00,97.67
2554.00,97.68
2553.00,97.69
2552.00,97.68
2551.00,97.67
2550.00,97.65
2549.00,97.64
2548.00,97.65
2547.00,97.67
2546.00,97.70
2545.00,97.71
2544.00,97.70
2543.00,97.69
2542.00,97.69
2541.00,97.69
2540.00,97.68
2539.00,97.66
2538.00,97.65
2537.00,97.65
2536.00,97.66
2535.00,97.68
2534.00,97.68
2533.00,97.66
2532.00,97.63
2531.00,97.61
2530.00,97.61
2529.00,97.61
2528.00,97.62
2527.00,97.63
2526.00,97.65
2525.00,97.67
2524.00,97.68
2523.00,97.69
2522.00,97.69
2521.00,97.69
2520.00,97.69
2519.00,97.69
2518.00,97.69
2517.00,97.71
2516.00,97.71
2515.00,97.71
2514.00,97.69
2513.00,97.67
2512.00,97.66
2511.00,97.68
2510.00,97.71
2509.00,97.74
2508.00,97.75
2507.00,97.75
2506.00,97.74
2505.00,97.73
2504.00,97.73
2503.00,97.73
2502.00,97.73
2501.00,97.72
2500.00,97.71
2499.00,97.71
2498.00,97.72
2497.00,97.74
2496.00,97.75
2495.00,97.73
2494.00,97.70
2493.00,97.67
2492.00,97.66
2491.00,97.66
2490.00,97.68
2489.00,97.69
2488.00,97.71
2487.00,97.72
2486.00,97.74
2485.00,97.76
2484.00,97.77
2483.00,97.76
2482.00,97.74
2481.00,97.73
2480.00,97.73
2479.00,97.74
2478.00,97.74
2477.00,97.73
2476.00,97.72
2475.00,97.71
2474.00,97.69
2473.00,97.69
2472.00,97.70
2471.00,97.73
2470.00,97.76
2469.00,97.77
2468.00,97.77
2467.00,97.76
2466.00,97.76
2465.00,97.76
2464.00,97.76
2463.00,97.75
2462.00,97.74
2461.00,97.73
2460.00,97.73
