Created as New Dataset,66 Union Carbide Chemicals
cm-1,%T
3024.00,97.32
3023.00,97.33
3022.00,97.35
3021.00,97.36
3020.00,97.37
3019.00,97.38
3018.00,97.38
3017.00,97.37
3016.00,97.35
3015.00,97.33
3014.00,97.31
3013.00,97.31
3012.00,97.32
3011.00,97.33
3010.00,97.32
3009.00,97.31
3008.00,97.30
3007.00,97.29
3006.00,97.28
3005.00,97.28
3004.00,97.29
3003.00,97.30
3002.00,97.32
3001.00,97.33
3000.00,97.33
2999.00,97.32
2998.00,97.32
2997.00,97.30
2996.00,97.28
2995.00,97.26
2994.00,97.23
2993.00,97.21
2992.00,97.20
2991.00,97.19
2990.00,97.18
2989.00,97.17
2988.00,97.15
2987.00,97.13
2986.00,97.10
2985.00,97.09
2984.00,97.09
2983.00,97.08
2982.00,97.05
2981.00,97.01
2980.00,96.96
2979.00,96.92
2978.00,96.89
2977.00,96.86
2976.00,96.83
2975.00,96.79
2974.00,96.74
2973.00,96.69
2972.00,96.64
2971.00,96.61
2970.00,96.58
2969.00,96.55
2968.00,96.52
2967.00,96.49
2966.00,96.46
2965.00,96.44
2964.00,96.42
2963.00,96.40
2962.00,96.38
2961.00,96.37
2960.00,96.34
2959.00,96.31
2958.00,96.29
2957.00,96.28
2956.00,96.28
2955.00,96.28
2954.00,96.28
2953.00,96.30
2952.00,96.31
2951.00,96.33
2950.00,96.34
2949.00,96.33
2948.00,96.31
2947.00,96.28
2946.00,96.26
2945.00,96.24
2944.00,96.22
2943.00,96.19
2942.00,96.16
2941.00,96.14
2940.00,96.12
2939.00,96.10
2938.00,96.08
2937.00,96.06
2936.00,96.03
2935.00,95.99
2934.00,95.93
2933.00,95.87
2932.00,95.83
2931.00,95.81
2930.00,95.82
2929.00,95.84
2928.00,95.85
2927.00,95.86
2926.00,95.85
2925.00,95.84
2924.00,95.82
2923.00,95.80
2922.00,95.79
2921.00,95.79
2920.00,95.80
2919.00,95.81
2918.00,95.83
2917.00,95.85
2916.00,95.87
2915.00,95.89
2914.00,95.91
2913.00,95.96
2912.00,96.02
2911.00,96.09
2910.00,96.15
2909.00,96.21
2908.00,96.26
2907.00,96.31
2906.00,96.35
2905.00,96.39
2904.00,96.45
2903.00,96.51
2902.00,96.59
2901.00,96.66
2900.00,96.72
2899.00,96.76
2898.00,96.80
2897.00,96.83
2896.00,96.87
2895.00,96.90
2894.00,96.93
2893.00,96.96
2892.00,97.00
2891.00,97.03
2890.00,97.04
2889.00,97.05
2888.00,97.04
2887.00,97.05
2886.00,97.06
2885.00,97.08
2884.00,97.09
2883.00,97.08
2882.00,97.06
2881.00,97.04
2880.00,97.02
2879.00,97.01
2878.00,97.01
2877.00,97.02
2876.00,97.02
2875.00,97.02
2874.00,97.03
2873.00,97.04
2872.00,97.05
2871.00,97.05
2870.00,97.05
2869.00,97.05
2868.00,97.05
2867.00,97.04
2866.00,97.03
2865.00,97.02
2864.00,97.02
2863.00,97.02
2862.00,97.03
2861.00,97.04
2860.00,97.05
2859.00,97.04
2858.00,97.03
2857.00,97.01
2856.00,97.02
2855.00,97.03
2854.00,97.03
2853.00,97.03
2852.00,97.02
2851.00,97.02
2850.00,97.02
2849.00,97.02
2848.00,97.02
2847.00,97.02
2846.00,97.04
2845.00,97.05
2844.00,97.07
2843.00,97.08
2842.00,97.10
2841.00,97.11
2840.00,97.13
2839.00,97.14
2838.00,97.15
2837.00,97.16
2836.00,97.18
2835.00,97.20
2834.00,97.21
2833.00,97.22
2832.00,97.22
2831.00,97.23
2830.00,97.23
2829.00,97.25
2828.00,97.26
2827.00,97.29
2826.00,97.31
2825.00,97.32
2824.00,97.32
2823.00,97.32
2822.00,97.31
2821.00,97.31
2820.00,97.31
2819.00,97.31
2818.00,97.32
2817.00,97.33
2816.00,97.34
2815.00,97.34
2814.00,97.32
2813.00,97.31
2812.00,97.30
2811.00,97.31
2810.00,97.33
2809.00,97.35
2808.00,97.37
2807.00,97.39
2806.00,97.40
2805.00,97.40
2804.00,97.40
2803.00,97.39
2802.00,97.39
2801.00,97.40
2800.00,97.40
2799.00,97.41
2798.00,97.41
2797.00,97.41
2796.00,97.41
2795.00,97.40
2794.00,97.40
2793.00,97.40
2792.00,97.39
2791.00,97.39
2790.00,97.39
2789.00,97.40
2788.00,97.41
2787.00,97.42
2786.00,97.43
2785.00,97.43
2784.00,97.43
2783.00,97.43
2782.00,97.42
2781.00,97.42
2780.00,97.43
2779.00,97.44
2778.00,97.45
2777.00,97.44
2776.00,97.44
2775.00,97.43
2774.00,97.43
2773.00,97.43
2772.00,97.44
2771.00,97.46
2770.00,97.48
2769.00,97.48
2768.00,97.48
2767.00,97.48
2766.00,97.49
2765.00,97.49
2764.00,97.49
2763.00,97.49
2762.00,97.48
2761.00,97.47
2760.00,97.46
2759.00,97.44
2758.00,97.44
2757.00,97.44
2756.00,97.44
2755.00,97.44
2754.00,97.44
2753.00,97.45
2752.00,97.46
2751.00,97.47
2750.00,97.47
2749.00,97.47
2748.00,97.46
2747.00,97.46
2746.00,97.45
2745.00,97.44
2744.00,97.44
2743.00,97.44
2742.00,97.44
2741.00,97.44
2740.00,97.43
2739.00,97.42
2738.00,97.41
2737.00,97.41
2736.00,97.42
2735.00,97.44
2734.00,97.46
2733.00,97.46
2732.00,97.45
2731.00,97.44
2730.00,97.43
2729.00,97.44
2728.00,97.44
2727.00,97.44
2726.00,97.44
2725.00,97.44
2724.00,97.43
2723.00,97.43
2722.00,97.42
2721.00,97.42
2720.00,97.42
2719.00,97.44
2718.00,97.46
2717.00,97.48
2716.00,97.48
2715.00,97.48
2714.00,97.47
2713.00,97.47
2712.00,97.49
2711.00,97.50
2710.00,97.51
2709.00,97.50
2708.00,97.48
2707.00,97.48
2706.00,97.49
2705.00,97.50
2704.00,97.50
2703.00,97.48
2702.00,97.47
2701.00,97.45
2700.00,97.45
2699.00,97.45
2698.00,97.44
2697.00,97.44
2696.00,97.44
2695.00,97.45
2694.00,97.44
2693.00,97.44
2692.00,97.43
2691.00,97.42
2690.00,97.41
2689.00,97.41
2688.00,97.41
2687.00,97.42
2686.00,97.43
2685.00,97.43
2684.00,97.44
2683.00,97.46
2682.00,97.46
2681.00,97.46
2680.00,97.45
2679.00,97.43
2678.00,97.42
2677.00,97.43
2676.00,97.44
2675.00,97.45
2674.00,97.46
2673.00,97.46
2672.00,97.47
2671.00,97.47
2670.00,97.46
2669.00,97.46
2668.00,97.45
2667.00,97.44
2666.00,97.43
2665.00,97.43
2664.00,97.43
2663.00,97.43
2662.00,97.43
2661.00,97.42
2660.00,97.40
2659.00,97.38
2658.00,97.36
2657.00,97.34
2656.00,97.34
2655.00,97.34
2654.00,97.33
2653.00,97.31
2652.00,97.29
2651.00,97.27
2650.00,97.26
2649.00,97.24
2648.00,97.23
2647.00,97.23
2646.00,97.23
2645.00,97.23
2644.00,97.22
2643.00,97.21
2642.00,97.19
2641.00,97.17
2640.00,97.16
2639.00,97.16
2638.00,97.17
2637.00,97.17
2636.00,97.16
2635.00,97.14
2634.00,97.12
2633.00,97.10
2632.00,97.09
2631.00,97.09
2630.00,97.10
2629.00,97.12
2628.00,97.13
2627.00,97.13
2626.00,97.12
2625.00,97.09
2624.00,97.06
2623.00,97.03
2622.00,97.01
2621.00,97.02
2620.00,97.03
2619.00,97.03
2618.00,97.02
2617.00,97.01
2616.00,97.00
2615.00,96.99
2614.00,96.99
2613.00,96.99
2612.00,96.99
2611.00,96.99
2610.00,96.98
2609.00,96.98
2608.00,96.97
2607.00,96.96
2606.00,96.94
2605.00,96.93
2604.00,96.92
2603.00,96.92
2602.00,96.93
2601.00,96.93
2600.00,96.91
2599.00,96.89
2598.00,96.87
2597.00,96.86
2596.00,96.86
2595.00,96.85
2594.00,96.84
2593.00,96.83
2592.00,96.83
2591.00,96.85
2590.00,96.87
2589.00,96.87
2588.00,96.88
2587.00,96.88
2586.00,96.89
2585.00,96.88
2584.00,96.84
2583.00,96.78
2582.00,96.74
2581.00,96.72
2580.00,96.73
2579.00,96.75
2578.00,96.77
2577.00,96.79
2576.00,96.82
2575.00,96.84
2574.00,96.84
2573.00,96.82
2572.00,96.78
2571.00,96.74
2570.00,96.72
2569.00,96.71
2568.00,96.71
2567.00,96.71
2566.00,96.73
2565.00,96.75
2564.00,96.77
2563.00,96.76
2562.00,96.73
2561.00,96.69
2560.00,96.67
2559.00,96.68
2558.00,96.69
2557.00,96.71
2556.00,96.72
2555.00,96.72
2554.00,96.72
2553.00,96.72
2552.00,96.72
2551.00,96.71
2550.00,96.70
2549.00,96.70
2548.00,96.70
2547.00,96.69
2546.00,96.69
2545.00,96.68
2544.00,96.67
2543.00,96.68
2542.00,96.67
2541.00,96.66
2540.00,96.63
2539.00,96.60
2538.00,96.58
2537.00,96.57
2536.00,96.58
2535.00,96.59
2534.00,96.61
2533.00,96.62
2532.00,96.64
2531.00,96.65
2530.00,96.65
2529.00,96.66
2528.00,96.66
2527.00,96.66
2526.00,96.65
2525.00,96.65
2524.00,96.66
2523.00,96.68
2522.00,96.70
2521.00,96.69
2520.00,96.67
2519.00,96.65
2518.00,96.63
2517.00,96.62
2516.00,96.61
2515.00,96.63
2514.00,96.65
2513.00,96.68
2512.00,96.68
2511.00,96.65
2510.00,96.63
2509.00,96.61
2508.00,96.61
2507.00,96.63
2506.00,96.65
2505.00,96.68
2504.00,96.69
2503.00,96.68
2502.00,96.68
2501.00,96.68
2500.00,96.69
2499.00,96.69
2498.00,96.71
2497.00,96.72
2496.00,96.73
2495.00,96.72
2494.00,96.70
2493.00,96.68
2492.00,96.67
2491.00,96.68
2490.00,96.70
2489.00,96.70
2488.00,96.69
2487.00,96.68
2486.00,96.68
2485.00,96.69
2484.00,96.71
2483.00,96.72
2482.00,96.72
2481.00,96.72
2480.00,96.72
2479.00,96.71
2478.00,96.70
2477.00,96.69
2476.00,96.67
2475.00,96.65
2474.00,96.63
2473.00,96.61
2472.00,96.61
2471.00,96.62
2470.00,96.64
2469.00,96.66
2468.00,96.67
2467.00,96.69
2466.00,96.69
2465.00,96.69
2464.00,96.67
2463.00,96.66
