Created as New Dataset,11.3 Red Wool Coopworth sheep 
cm-1,%T
3090.00,95.78
3089.00,95.79
3088.00,95.79
3087.00,95.79
3086.00,95.79
3085.00,95.79
3084.00,95.79
3083.00,95.79
3082.00,95.79
3081.00,95.78
3080.00,95.77
3079.00,95.75
3078.00,95.74
3077.00,95.72
3076.00,95.70
3075.00,95.67
3074.00,95.65
3073.00,95.64
3072.00,95.65
3071.00,95.67
3070.00,95.69
3069.00,95.71
3068.00,95.71
3067.00,95.71
3066.00,95.72
3065.00,95.73
3064.00,95.75
3063.00,95.76
3062.00,95.75
3061.00,95.75
3060.00,95.75
3059.00,95.77
3058.00,95.80
3057.00,95.83
3056.00,95.86
3055.00,95.87
3054.00,95.86
3053.00,95.86
3052.00,95.87
3051.00,95.88
3050.00,95.91
3049.00,95.94
3048.00,95.96
3047.00,95.99
3046.00,96.02
3045.00,96.05
3044.00,96.09
3043.00,96.11
3042.00,96.12
3041.00,96.12
3040.00,96.13
3039.00,96.15
3038.00,96.18
3037.00,96.20
3036.00,96.21
3035.00,96.22
3034.00,96.24
3033.00,96.26
3032.00,96.28
3031.00,96.30
3030.00,96.30
3029.00,96.31
3028.00,96.33
3027.00,96.36
3026.00,96.39
3025.00,96.42
3024.00,96.44
3023.00,96.47
3022.00,96.50
3021.00,96.52
3020.00,96.53
3019.00,96.53
3018.00,96.53
3017.00,96.52
3016.00,96.53
3015.00,96.54
3014.00,96.56
3013.00,96.57
3012.00,96.58
3011.00,96.59
3010.00,96.59
3009.00,96.60
3008.00,96.61
3007.00,96.62
3006.00,96.63
3005.00,96.62
3004.00,96.62
3003.00,96.61
3002.00,96.60
3001.00,96.60
3000.00,96.60
2999.00,96.60
2998.00,96.60
2997.00,96.58
2996.00,96.57
2995.00,96.56
2994.00,96.56
2993.00,96.55
2992.00,96.54
2991.00,96.52
2990.00,96.49
2989.00,96.46
2988.00,96.41
2987.00,96.36
2986.00,96.32
2985.00,96.29
2984.00,96.27
2983.00,96.24
2982.00,96.19
2981.00,96.14
2980.00,96.09
2979.00,96.05
2978.00,96.02
2977.00,95.99
2976.00,95.95
2975.00,95.90
2974.00,95.85
2973.00,95.81
2972.00,95.78
2971.00,95.75
2970.00,95.73
2969.00,95.72
2968.00,95.70
2967.00,95.68
2966.00,95.65
2965.00,95.61
2964.00,95.57
2963.00,95.56
2962.00,95.56
2961.00,95.55
2960.00,95.55
2959.00,95.55
2958.00,95.54
2957.00,95.54
2956.00,95.54
2955.00,95.56
2954.00,95.58
2953.00,95.60
2952.00,95.61
2951.00,95.62
2950.00,95.62
2949.00,95.62
2948.00,95.62
2947.00,95.60
2946.00,95.57
2945.00,95.54
2944.00,95.50
2943.00,95.47
2942.00,95.44
2941.00,95.42
2940.00,95.39
2939.00,95.37
2938.00,95.35
2937.00,95.32
2936.00,95.28
2935.00,95.22
2934.00,95.17
2933.00,95.15
2932.00,95.14
2931.00,95.12
2930.00,95.07
2929.00,95.01
2928.00,94.96
2927.00,94.93
2926.00,94.91
2925.00,94.89
2924.00,94.88
2923.00,94.87
2922.00,94.87
2921.00,94.88
2920.00,94.90
2919.00,94.92
2918.00,94.96
2917.00,95.03
2916.00,95.12
2915.00,95.23
2914.00,95.35
2913.00,95.46
2912.00,95.57
2911.00,95.68
2910.00,95.78
2909.00,95.87
2908.00,95.94
2907.00,96.01
2906.00,96.06
2905.00,96.10
2904.00,96.13
2903.00,96.16
2902.00,96.19
2901.00,96.22
2900.00,96.25
2899.00,96.29
2898.00,96.32
2897.00,96.36
2896.00,96.38
2895.00,96.40
2894.00,96.41
2893.00,96.43
2892.00,96.45
2891.00,96.47
2890.00,96.48
2889.00,96.48
2888.00,96.48
2887.00,96.49
2886.00,96.50
2885.00,96.52
2884.00,96.53
2883.00,96.53
2882.00,96.54
2881.00,96.54
2880.00,96.53
2879.00,96.52
2878.00,96.52
2877.00,96.51
2876.00,96.52
2875.00,96.53
2874.00,96.55
2873.00,96.58
2872.00,96.60
2871.00,96.63
2870.00,96.64
2869.00,96.65
2868.00,96.68
2867.00,96.71
2866.00,96.75
2865.00,96.78
2864.00,96.81
2863.00,96.81
2862.00,96.81
2861.00,96.80
2860.00,96.77
2859.00,96.74
2858.00,96.69
2857.00,96.65
2856.00,96.62
2855.00,96.60
2854.00,96.57
2853.00,96.54
2852.00,96.52
2851.00,96.53
2850.00,96.57
2849.00,96.63
2848.00,96.72
2847.00,96.82
2846.00,96.93
2845.00,97.03
2844.00,97.14
2843.00,97.24
2842.00,97.33
2841.00,97.41
2840.00,97.48
2839.00,97.53
2838.00,97.57
2837.00,97.60
2836.00,97.62
2835.00,97.64
2834.00,97.66
2833.00,97.68
2832.00,97.70
2831.00,97.71
2830.00,97.72
2829.00,97.75
2828.00,97.78
2827.00,97.82
2826.00,97.84
2825.00,97.85
2824.00,97.84
2823.00,97.84
2822.00,97.84
2821.00,97.85
2820.00,97.85
2819.00,97.86
2818.00,97.86
2817.00,97.86
2816.00,97.86
2815.00,97.88
2814.00,97.90
2813.00,97.92
2812.00,97.94
2811.00,97.95
2810.00,97.95
2809.00,97.95
2808.00,97.95
2807.00,97.95
2806.00,97.96
2805.00,97.98
2804.00,98.00
2803.00,98.03
2802.00,98.04
2801.00,98.05
2800.00,98.06
2799.00,98.07
2798.00,98.08
2797.00,98.09
2796.00,98.10
2795.00,98.11
2794.00,98.13
2793.00,98.14
2792.00,98.15
2791.00,98.15
2790.00,98.14
2789.00,98.13
2788.00,98.12
2787.00,98.12
2786.00,98.14
2785.00,98.16
2784.00,98.16
2783.00,98.17
2782.00,98.17
2781.00,98.18
2780.00,98.19
2779.00,98.21
2778.00,98.23
2777.00,98.24
2776.00,98.27
2775.00,98.29
2774.00,98.30
2773.00,98.31
2772.00,98.33
2771.00,98.35
