Created as New Dataset,138. Polyester Du Pont
cm-1,%T
2827.00,98.67
2826.00,98.67
2825.00,98.68
2824.00,98.67
2823.00,98.67
2822.00,98.66
2821.00,98.66
2820.00,98.67
2819.00,98.68
2818.00,98.69
2817.00,98.69
2816.00,98.69
2815.00,98.69
2814.00,98.69
2813.00,98.69
2812.00,98.69
2811.00,98.69
2810.00,98.70
2809.00,98.69
2808.00,98.67
2807.00,98.66
2806.00,98.65
2805.00,98.65
2804.00,98.66
2803.00,98.67
2802.00,98.68
2801.00,98.69
2800.00,98.69
2799.00,98.70
2798.00,98.70
2797.00,98.69
2796.00,98.69
2795.00,98.69
2794.00,98.70
2793.00,98.70
2792.00,98.71
2791.00,98.72
2790.00,98.73
2789.00,98.75
2788.00,98.77
2787.00,98.78
2786.00,98.78
2785.00,98.79
2784.00,98.80
2783.00,98.81
2782.00,98.81
2781.00,98.80
2780.00,98.79
2779.00,98.79
2778.00,98.80
2777.00,98.82
2776.00,98.83
2775.00,98.84
2774.00,98.84
2773.00,98.83
2772.00,98.82
2771.00,98.82
2770.00,98.82
2769.00,98.82
2768.00,98.80
2767.00,98.77
2766.00,98.76
2765.00,98.77
2764.00,98.79
2763.00,98.82
2762.00,98.83
2761.00,98.84
2760.00,98.84
2759.00,98.83
2758.00,98.83
2757.00,98.83
2756.00,98.83
2755.00,98.83
2754.00,98.83
2753.00,98.83
2752.00,98.83
2751.00,98.83
2750.00,98.83
2749.00,98.84
2748.00,98.84
2747.00,98.84
2746.00,98.84
2745.00,98.83
2744.00,98.83
2743.00,98.83
2742.00,98.83
2741.00,98.83
2740.00,98.83
2739.00,98.83
2738.00,98.82
2737.00,98.80
2736.00,98.80
2735.00,98.80
2734.00,98.80
2733.00,98.80
2732.00,98.80
2731.00,98.80
2730.00,98.82
2729.00,98.83
2728.00,98.85
2727.00,98.86
2726.00,98.86
2725.00,98.86
2724.00,98.87
2723.00,98.88
2722.00,98.89
2721.00,98.90
2720.00,98.90
2719.00,98.89
2718.00,98.89
2717.00,98.89
2716.00,98.89
2715.00,98.88
2714.00,98.87
2713.00,98.87
2712.00,98.86
2711.00,98.86
2710.00,98.86
2709.00,98.86
2708.00,98.86
2707.00,98.87
2706.00,98.88
2705.00,98.89
2704.00,98.90
2703.00,98.90
2702.00,98.90
2701.00,98.90
2700.00,98.91
2699.00,98.92
2698.00,98.93
2697.00,98.92
2696.00,98.91
2695.00,98.91
2694.00,98.91
2693.00,98.91
2692.00,98.91
2691.00,98.91
2690.00,98.91
2689.00,98.91
2688.00,98.91
2687.00,98.91
2686.00,98.90
2685.00,98.90
2684.00,98.89
2683.00,98.88
2682.00,98.88
2681.00,98.88
2680.00,98.89
2679.00,98.90
2678.00,98.92
2677.00,98.93
2676.00,98.93
2675.00,98.92
2674.00,98.91
2673.00,98.90
2672.00,98.89
2671.00,98.88
2670.00,98.87
2669.00,98.87
2668.00,98.87
2667.00,98.87
2666.00,98.87
2665.00,98.87
2664.00,98.87
2663.00,98.86
2662.00,98.85
2661.00,98.84
2660.00,98.84
2659.00,98.85
2658.00,98.84
2657.00,98.83
2656.00,98.82
2655.00,98.81
2654.00,98.81
2653.00,98.81
2652.00,98.80
2651.00,98.79
2650.00,98.79
2649.00,98.79
2648.00,98.80
2647.00,98.80
2646.00,98.79
2645.00,98.77
2644.00,98.75
2643.00,98.73
2642.00,98.70
2641.00,98.68
2640.00,98.66
2639.00,98.64
2638.00,98.63
2637.00,98.63
2636.00,98.63
2635.00,98.63
2634.00,98.62
2633.00,98.60
2632.00,98.58
2631.00,98.57
2630.00,98.56
2629.00,98.55
2628.00,98.55
2627.00,98.55
2626.00,98.55
2625.00,98.57
2624.00,98.58
2623.00,98.57
2622.00,98.55
2621.00,98.52
2620.00,98.52
2619.00,98.53
2618.00,98.54
2617.00,98.52
2616.00,98.49
2615.00,98.47
2614.00,98.46
2613.00,98.46
2612.00,98.48
2611.00,98.49
2610.00,98.50
2609.00,98.50
