Created as New Dataset,12. Acrylic Courtaulds Dyed
cm-1,%T
3100.00,94.07
3099.00,94.06
3098.00,94.06
3097.00,94.06
3096.00,94.06
3095.00,94.06
3094.00,94.06
3093.00,94.06
3092.00,94.07
3091.00,94.09
3090.00,94.10
3089.00,94.11
3088.00,94.11
3087.00,94.12
3086.00,94.12
3085.00,94.12
3084.00,94.11
3083.00,94.10
3082.00,94.09
3081.00,94.09
3080.00,94.10
3079.00,94.11
3078.00,94.12
3077.00,94.12
3076.00,94.12
3075.00,94.12
3074.00,94.11
3073.00,94.10
3072.00,94.09
3071.00,94.08
3070.00,94.08
3069.00,94.08
3068.00,94.08
3067.00,94.08
3066.00,94.08
3065.00,94.07
3064.00,94.07
3063.00,94.09
3062.00,94.11
3061.00,94.13
3060.00,94.14
3059.00,94.14
3058.00,94.13
3057.00,94.13
3056.00,94.12
3055.00,94.12
3054.00,94.13
3053.00,94.13
3052.00,94.13
3051.00,94.13
3050.00,94.13
3049.00,94.13
3048.00,94.12
3047.00,94.11
3046.00,94.09
3045.00,94.07
3044.00,94.06
3043.00,94.06
3042.00,94.06
3041.00,94.08
3040.00,94.09
3039.00,94.11
3038.00,94.13
3037.00,94.13
3036.00,94.12
3035.00,94.10
3034.00,94.09
3033.00,94.09
3032.00,94.10
3031.00,94.12
3030.00,94.13
3029.00,94.12
3028.00,94.11
3027.00,94.09
3026.00,94.08
3025.00,94.08
3024.00,94.08
3023.00,94.08
3022.00,94.09
3021.00,94.09
3020.00,94.09
3019.00,94.09
3018.00,94.09
3017.00,94.09
3016.00,94.10
3015.00,94.09
3014.00,94.08
3013.00,94.06
3012.00,94.04
3011.00,94.04
3010.00,94.05
3009.00,94.05
3008.00,94.06
3007.00,94.06
3006.00,94.07
3005.00,94.08
3004.00,94.09
3003.00,94.08
3002.00,94.07
3001.00,94.06
3000.00,94.06
2999.00,94.06
2998.00,94.07
2997.00,94.07
2996.00,94.06
2995.00,94.04
2994.00,94.03
2993.00,94.02
2992.00,94.01
2991.00,94.01
2990.00,94.00
2989.00,94.00
2988.00,94.00
2987.00,94.00
2986.00,94.00
2985.00,94.00
2984.00,93.99
2983.00,93.98
2982.00,93.96
2981.00,93.95
2980.00,93.94
2979.00,93.94
2978.00,93.93
2977.00,93.93
2976.00,93.93
2975.00,93.93
2974.00,93.93
2973.00,93.92
2972.00,93.90
2971.00,93.89
2970.00,93.87
2969.00,93.86
2968.00,93.85
2967.00,93.84
2966.00,93.82
2965.00,93.80
2964.00,93.79
2963.00,93.78
2962.00,93.76
2961.00,93.75
2960.00,93.73
2959.00,93.71
2958.00,93.69
2957.00,93.67
2956.00,93.65
2955.00,93.63
2954.00,93.61
2953.00,93.58
2952.00,93.56
2951.00,93.55
2950.00,93.54
2949.00,93.53
2948.00,93.51
2947.00,93.49
2946.00,93.45
2945.00,93.41
2944.00,93.37
2943.00,93.34
2942.00,93.32
2941.00,93.32
2940.00,93.33
2939.00,93.34
2938.00,93.34
2937.00,93.33
2936.00,93.33
2935.00,93.33
2934.00,93.36
2933.00,93.39
2932.00,93.42
2931.00,93.42
2930.00,93.42
2929.00,93.41
2928.00,93.41
2927.00,93.41
2926.00,93.41
2925.00,93.42
2924.00,93.44
2923.00,93.45
2922.00,93.45
2921.00,93.45
2920.00,93.46
2919.00,93.50
2918.00,93.54
2917.00,93.59
2916.00,93.62
2915.00,93.64
2914.00,93.65
2913.00,93.67
2912.00,93.70
2911.00,93.73
2910.00,93.77
2909.00,93.79
2908.00,93.81
2907.00,93.82
2906.00,93.83
2905.00,93.84
2904.00,93.87
2903.00,93.90
2902.00,93.93
2901.00,93.96
2900.00,93.97
2899.00,93.97
2898.00,93.98
2897.00,93.99
2896.00,93.99
2895.00,93.99
2894.00,94.00
2893.00,94.01
2892.00,94.02
2891.00,94.03
2890.00,94.02
2889.00,94.02
2888.00,94.02
2887.00,94.02
2886.00,94.02
2885.00,94.03
2884.00,94.05
2883.00,94.06
2882.00,94.07
2881.00,94.06
2880.00,94.04
2879.00,94.03
2878.00,94.02
2877.00,94.01
2876.00,94.02
2875.00,94.04
2874.00,94.05
2873.00,94.06
2872.00,94.06
2871.00,94.05
2870.00,94.04
2869.00,94.03
2868.00,94.04
2867.00,94.05
2866.00,94.07
2865.00,94.09
2864.00,94.11
2863.00,94.12
2862.00,94.11
2861.00,94.10
2860.00,94.09
2859.00,94.10
2858.00,94.12
2857.00,94.14
2856.00,94.16
2855.00,94.18
2854.00,94.19
2853.00,94.19
2852.00,94.21
2851.00,94.23
2850.00,94.24
2849.00,94.25
2848.00,94.24
2847.00,94.25
2846.00,94.26
2845.00,94.27
2844.00,94.29
2843.00,94.30
2842.00,94.30
2841.00,94.32
2840.00,94.33
2839.00,94.33
2838.00,94.34
2837.00,94.33
2836.00,94.33
2835.00,94.33
2834.00,94.33
2833.00,94.33
2832.00,94.34
2831.00,94.35
2830.00,94.36
2829.00,94.36
2828.00,94.36
2827.00,94.36
2826.00,94.36
2825.00,94.36
2824.00,94.37
2823.00,94.38
2822.00,94.37
2821.00,94.37
2820.00,94.37
2819.00,94.38
2818.00,94.39
2817.00,94.41
2816.00,94.42
2815.00,94.42
2814.00,94.42
2813.00,94.42
2812.00,94.41
2811.00,94.42
2810.00,94.42
2809.00,94.42
2808.00,94.42
2807.00,94.43
2806.00,94.44
2805.00,94.44
2804.00,94.44
2803.00,94.44
2802.00,94.43
2801.00,94.43
2800.00,94.44
2799.00,94.45
2798.00,94.46
2797.00,94.46
2796.00,94.46
2795.00,94.46
2794.00,94.46
2793.00,94.47
2792.00,94.48
2791.00,94.48
2790.00,94.49
2789.00,94.48
2788.00,94.47
2787.00,94.46
2786.00,94.44
2785.00,94.44
2784.00,94.44
2783.00,94.44
2782.00,94.45
2781.00,94.46
2780.00,94.47
2779.00,94.47
2778.00,94.47
2777.00,94.47
2776.00,94.46
2775.00,94.46
2774.00,94.46
2773.00,94.47
2772.00,94.49
2771.00,94.49
2770.00,94.49
2769.00,94.48
2768.00,94.48
2767.00,94.47
2766.00,94.48
2765.00,94.49
2764.00,94.51
2763.00,94.52
2762.00,94.52
2761.00,94.51
2760.00,94.50
2759.00,94.50
2758.00,94.49
2757.00,94.49
2756.00,94.50
2755.00,94.50
2754.00,94.51
2753.00,94.50
2752.00,94.49
2751.00,94.49
2750.00,94.48
2749.00,94.48
2748.00,94.49
2747.00,94.50
2746.00,94.52
2745.00,94.53
2744.00,94.53
2743.00,94.52
2742.00,94.50
2741.00,94.48
2740.00,94.48
2739.00,94.48
2738.00,94.48
2737.00,94.49
2736.00,94.51
2735.00,94.51
2734.00,94.52
2733.00,94.54
2732.00,94.56
2731.00,94.56
2730.00,94.55
2729.00,94.53
2728.00,94.51
2727.00,94.50
2726.00,94.50
2725.00,94.51
2724.00,94.52
2723.00,94.52
2722.00,94.54
2721.00,94.55
2720.00,94.57
2719.00,94.58
2718.00,94.58
2717.00,94.58
2716.00,94.58
2715.00,94.58
2714.00,94.58
2713.00,94.57
2712.00,94.58
2711.00,94.59
2710.00,94.61
2709.00,94.62
2708.00,94.62
2707.00,94.62
2706.00,94.59
2705.00,94.57
2704.00,94.56
2703.00,94.57
2702.00,94.58
2701.00,94.59
2700.00,94.60
2699.00,94.60
2698.00,94.59
2697.00,94.59
2696.00,94.58
2695.00,94.57
2694.00,94.56
2693.00,94.55
2692.00,94.54
2691.00,94.54
2690.00,94.53
2689.00,94.54
2688.00,94.55
2687.00,94.56
2686.00,94.57
2685.00,94.57
2684.00,94.58
2683.00,94.58
2682.00,94.57
2681.00,94.57
2680.00,94.56
2679.00,94.56
2678.00,94.56
2677.00,94.57
2676.00,94.56
2675.00,94.56
2674.00,94.56
2673.00,94.57
2672.00,94.58
2671.00,94.58
2670.00,94.58
2669.00,94.57
2668.00,94.58
2667.00,94.59
2666.00,94.61
2665.00,94.62
2664.00,94.62
2663.00,94.62
2662.00,94.60
2661.00,94.58
2660.00,94.57
2659.00,94.56
2658.00,94.57
2657.00,94.57
2656.00,94.57
2655.00,94.55
2654.00,94.53
2653.00,94.51
2652.00,94.51
2651.00,94.51
2650.00,94.50
2649.00,94.49
2648.00,94.48
2647.00,94.48
2646.00,94.47
2645.00,94.46
2644.00,94.45
2643.00,94.44
2642.00,94.44
2641.00,94.45
2640.00,94.45
2639.00,94.46
2638.00,94.46
2637.00,94.46
2636.00,94.45
2635.00,94.44
2634.00,94.44
2633.00,94.43
2632.00,94.43
2631.00,94.42
2630.00,94.42
2629.00,94.41
2628.00,94.43
2627.00,94.45
2626.00,94.46
2625.00,94.47
2624.00,94.47
2623.00,94.44
2622.00,94.42
2621.00,94.40
2620.00,94.39
2619.00,94.38
2618.00,94.37
2617.00,94.36
2616.00,94.37
2615.00,94.39
2614.00,94.40
2613.00,94.40
2612.00,94.39
2611.00,94.36
2610.00,94.33
2609.00,94.31
2608.00,94.31
2607.00,94.31
2606.00,94.32
2605.00,94.33
2604.00,94.34
2603.00,94.34
2602.00,94.34
2601.00,94.32
2600.00,94.30
2599.00,94.28
2598.00,94.27
2597.00,94.26
2596.00,94.26
2595.00,94.25
2594.00,94.25
2593.00,94.24
2592.00,94.24
2591.00,94.24
2590.00,94.23
2589.00,94.22
2588.00,94.21
2587.00,94.21
2586.00,94.20
2585.00,94.20
2584.00,94.21
2583.00,94.23
2582.00,94.25
2581.00,94.26
2580.00,94.25
2579.00,94.23
2578.00,94.22
2577.00,94.20
2576.00,94.18
2575.00,94.17
2574.00,94.15
2573.00,94.15
2572.00,94.16
2571.00,94.17
2570.00,94.19
2569.00,94.21
2568.00,94.22
2567.00,94.22
2566.00,94.21
2565.00,94.20
2564.00,94.19
2563.00,94.19
2562.00,94.19
2561.00,94.20
2560.00,94.21
2559.00,94.21
2558.00,94.20
2557.00,94.18
2556.00,94.16
2555.00,94.15
2554.00,94.15
2553.00,94.16
2552.00,94.18
2551.00,94.19
2550.00,94.20
2549.00,94.20
2548.00,94.20
2547.00,94.18
2546.00,94.17
2545.00,94.16
2544.00,94.16
2543.00,94.16
2542.00,94.16
2541.00,94.16
2540.00,94.17
2539.00,94.18
2538.00,94.19
2537.00,94.20
2536.00,94.21
2535.00,94.21
2534.00,94.21
2533.00,94.21
2532.00,94.21
2531.00,94.22
2530.00,94.23
2529.00,94.22
2528.00,94.21
2527.00,94.19
2526.00,94.17
2525.00,94.15
2524.00,94.13
2523.00,94.12
2522.00,94.12
2521.00,94.12
2520.00,94.13
2519.00,94.15
2518.00,94.17
2517.00,94.19
2516.00,94.20
2515.00,94.18
2514.00,94.17
2513.00,94.16
2512.00,94.19
2511.00,94.23
2510.00,94.27
2509.00,94.29
2508.00,94.29
2507.00,94.27
2506.00,94.25
2505.00,94.23
2504.00,94.22
2503.00,94.23
2502.00,94.25
2501.00,94.26
2500.00,94.27
2499.00,94.26
2498.00,94.25
2497.00,94.25
2496.00,94.24
2495.00,94.23
2494.00,94.23
2493.00,94.23
2492.00,94.24
2491.00,94.25
2490.00,94.26
2489.00,94.27
2488.00,94.26
2487.00,94.25
2486.00,94.24
2485.00,94.25
2484.00,94.26
2483.00,94.27
2482.00,94.26
2481.00,94.26
2480.00,94.26
2479.00,94.27
2478.00,94.27
2477.00,94.28
2476.00,94.28
2475.00,94.27
2474.00,94.25
2473.00,94.22
2472.00,94.20
2471.00,94.19
2470.00,94.19
2469.00,94.19
2468.00,94.21
2467.00,94.24
2466.00,94.27
2465.00,94.30
