Created as New Dataset,60 Lenzing Lenzing Modal
cm-1,%T
2986.00,94.30
2985.00,94.30
2984.00,94.30
2983.00,94.30
2982.00,94.30
2981.00,94.30
2980.00,94.30
2979.00,94.30
2978.00,94.29
2977.00,94.28
2976.00,94.26
2975.00,94.24
2974.00,94.22
2973.00,94.21
2972.00,94.20
2971.00,94.19
2970.00,94.16
2969.00,94.14
2968.00,94.11
2967.00,94.08
2966.00,94.06
2965.00,94.05
2964.00,94.03
2963.00,94.01
2962.00,93.99
2961.00,93.96
2960.00,93.92
2959.00,93.87
2958.00,93.83
2957.00,93.80
2956.00,93.78
2955.00,93.75
2954.00,93.72
2953.00,93.69
2952.00,93.66
2951.00,93.62
2950.00,93.58
2949.00,93.52
2948.00,93.46
2947.00,93.40
2946.00,93.33
2945.00,93.28
2944.00,93.23
2943.00,93.19
2942.00,93.14
2941.00,93.09
2940.00,93.03
2939.00,92.98
2938.00,92.93
2937.00,92.88
2936.00,92.84
2935.00,92.79
2934.00,92.76
2933.00,92.73
2932.00,92.69
2931.00,92.66
2930.00,92.61
2929.00,92.56
2928.00,92.52
2927.00,92.49
2926.00,92.45
2925.00,92.42
2924.00,92.39
2923.00,92.36
2922.00,92.33
2921.00,92.30
2920.00,92.27
2919.00,92.23
2918.00,92.19
2917.00,92.16
2916.00,92.14
2915.00,92.12
2914.00,92.11
2913.00,92.11
2912.00,92.09
2911.00,92.07
2910.00,92.05
2909.00,92.02
2908.00,92.00
2907.00,91.98
2906.00,91.96
2905.00,91.94
2904.00,91.92
2903.00,91.90
2902.00,91.88
2901.00,91.86
2900.00,91.84
2899.00,91.82
2898.00,91.80
2897.00,91.79
2896.00,91.77
2895.00,91.75
2894.00,91.73
2893.00,91.72
2892.00,91.71
2891.00,91.70
2890.00,91.71
2889.00,91.71
2888.00,91.73
2887.00,91.74
2886.00,91.76
2885.00,91.78
2884.00,91.80
2883.00,91.81
2882.00,91.81
2881.00,91.80
2880.00,91.81
2879.00,91.82
2878.00,91.83
2877.00,91.85
2876.00,91.88
2875.00,91.92
2874.00,91.95
2873.00,91.98
2872.00,92.01
2871.00,92.06
2870.00,92.11
2869.00,92.17
2868.00,92.22
2867.00,92.25
2866.00,92.28
2865.00,92.31
2864.00,92.36
2863.00,92.41
2862.00,92.46
2861.00,92.50
2860.00,92.54
2859.00,92.58
2858.00,92.61
2857.00,92.66
2856.00,92.71
2855.00,92.78
2854.00,92.84
2853.00,92.90
2852.00,92.94
2851.00,92.97
2850.00,93.01
2849.00,93.06
2848.00,93.12
2847.00,93.19
2846.00,93.25
2845.00,93.31
2844.00,93.36
2843.00,93.40
2842.00,93.45
2841.00,93.50
2840.00,93.55
2839.00,93.60
2838.00,93.62
2837.00,93.64
2836.00,93.65
2835.00,93.67
2834.00,93.70
2833.00,93.73
2832.00,93.76
2831.00,93.80
2830.00,93.82
2829.00,93.85
2828.00,93.87
2827.00,93.89
2826.00,93.92
2825.00,93.95
2824.00,93.98
2823.00,94.01
2822.00,94.03
2821.00,94.04
2820.00,94.05
2819.00,94.06
2818.00,94.07
2817.00,94.08
2816.00,94.10
2815.00,94.11
2814.00,94.13
2813.00,94.13
2812.00,94.14
2811.00,94.16
2810.00,94.18
2809.00,94.20
2808.00,94.21
2807.00,94.23
2806.00,94.24
2805.00,94.26
2804.00,94.29
2803.00,94.31
2802.00,94.34
2801.00,94.35
2800.00,94.36
2799.00,94.37
2798.00,94.39
2797.00,94.41
2796.00,94.44
2795.00,94.45
2794.00,94.46
2793.00,94.47
2792.00,94.47
2791.00,94.48
2790.00,94.49
2789.00,94.50
2788.00,94.52
2787.00,94.53
2786.00,94.54
2785.00,94.56
2784.00,94.58
2783.00,94.60
2782.00,94.62
2781.00,94.62
2780.00,94.62
2779.00,94.64
2778.00,94.66
2777.00,94.68
2776.00,94.69
2775.00,94.69
2774.00,94.68
2773.00,94.68
2772.00,94.69
2771.00,94.70
2770.00,94.71
2769.00,94.73
2768.00,94.75
2767.00,94.76
2766.00,94.77
2765.00,94.77
2764.00,94.77
2763.00,94.77
2762.00,94.78
2761.00,94.78
2760.00,94.79
2759.00,94.79
2758.00,94.78
2757.00,94.77
2756.00,94.77
2755.00,94.77
2754.00,94.78
2753.00,94.80
2752.00,94.82
2751.00,94.84
2750.00,94.85
2749.00,94.86
2748.00,94.87
2747.00,94.88
2746.00,94.87
2745.00,94.86
2744.00,94.85
2743.00,94.85
2742.00,94.84
2741.00,94.84
2740.00,94.84
2739.00,94.85
2738.00,94.86
2737.00,94.87
2736.00,94.88
2735.00,94.89
2734.00,94.91
2733.00,94.93
2732.00,94.94
2731.00,94.95
2730.00,94.96
2729.00,94.96
2728.00,94.96
2727.00,94.96
2726.00,94.94
2725.00,94.93
2724.00,94.94
2723.00,94.95
2722.00,94.97
2721.00,94.99
2720.00,94.99
2719.00,94.99
2718.00,94.99
2717.00,94.99
2716.00,94.99
2715.00,94.99
2714.00,95.01
2713.00,95.02
2712.00,95.03
2711.00,95.04
2710.00,95.05
2709.00,95.04
2708.00,95.04
2707.00,95.03
2706.00,95.03
2705.00,95.05
2704.00,95.07
2703.00,95.09
2702.00,95.09
2701.00,95.09
2700.00,95.09
2699.00,95.09
2698.00,95.09
2697.00,95.10
2696.00,95.12
2695.00,95.15
2694.00,95.17
2693.00,95.19
2692.00,95.19
2691.00,95.18
2690.00,95.17
2689.00,95.17
2688.00,95.17
2687.00,95.18
2686.00,95.20
2685.00,95.21
2684.00,95.21
2683.00,95.22
2682.00,95.22
2681.00,95.23
2680.00,95.24
2679.00,95.25
2678.00,95.25
2677.00,95.25
2676.00,95.25
2675.00,95.25
2674.00,95.26
2673.00,95.27
2672.00,95.27
2671.00,95.27
2670.00,95.28
2669.00,95.28
2668.00,95.30
2667.00,95.32
2666.00,95.33
2665.00,95.33
2664.00,95.33
2663.00,95.31
2662.00,95.30
2661.00,95.28
2660.00,95.27
2659.00,95.28
2658.00,95.28
2657.00,95.28
2656.00,95.28
2655.00,95.28
2654.00,95.28
2653.00,95.29
2652.00,95.30
2651.00,95.31
2650.00,95.31
2649.00,95.30
2648.00,95.28
2647.00,95.27
2646.00,95.26
2645.00,95.25
2644.00,95.25
2643.00,95.25
2642.00,95.25
2641.00,95.24
2640.00,95.24
2639.00,95.23
2638.00,95.23
2637.00,95.24
2636.00,95.26
2635.00,95.27
2634.00,95.26
2633.00,95.26
2632.00,95.26
2631.00,95.27
2630.00,95.28
2629.00,95.29
2628.00,95.28
2627.00,95.28
2626.00,95.28
2625.00,95.28
2624.00,95.28
2623.00,95.27
2622.00,95.27
2621.00,95.28
2620.00,95.28
2619.00,95.29
2618.00,95.29
2617.00,95.29
2616.00,95.29
2615.00,95.30
2614.00,95.31
2613.00,95.31
2612.00,95.29
2611.00,95.27
2610.00,95.26
2609.00,95.27
2608.00,95.28
2607.00,95.29
2606.00,95.29
2605.00,95.26
2604.00,95.24
2603.00,95.22
2602.00,95.20
2601.00,95.18
2600.00,95.18
2599.00,95.19
2598.00,95.20
2597.00,95.21
2596.00,95.20
2595.00,95.20
2594.00,95.21
2593.00,95.23
2592.00,95.24
2591.00,95.24
2590.00,95.24
2589.00,95.23
2588.00,95.23
2587.00,95.22
2586.00,95.21
2585.00,95.19
2584.00,95.18
2583.00,95.17
2582.00,95.18
2581.00,95.21
2580.00,95.24
2579.00,95.26
2578.00,95.27
2577.00,95.28
2576.00,95.29
2575.00,95.29
2574.00,95.30
2573.00,95.30
2572.00,95.28
2571.00,95.25
2570.00,95.22
2569.00,95.19
2568.00,95.18
2567.00,95.19
2566.00,95.21
2565.00,95.24
2564.00,95.26
2563.00,95.27
2562.00,95.27
2561.00,95.27
2560.00,95.28
2559.00,95.30
2558.00,95.30
2557.00,95.30
2556.00,95.28
2555.00,95.26
2554.00,95.25
2553.00,95.25
2552.00,95.26
2551.00,95.26
2550.00,95.26
2549.00,95.26
2548.00,95.25
2547.00,95.24
2546.00,95.23
2545.00,95.23
