Created as New Dataset,198 Lenzing AG
cm-1,%T
2773.00,99.80
2772.00,99.81
2771.00,99.82
2770.00,99.82
2769.00,99.82
2768.00,99.81
2767.00,99.81
2766.00,99.81
2765.00,99.82
2764.00,99.84
2763.00,99.85
2762.00,99.87
2761.00,99.87
2760.00,99.88
2759.00,99.87
2758.00,99.87
2757.00,99.85
2756.00,99.84
2755.00,99.84
2754.00,99.85
2753.00,99.86
2752.00,99.86
2751.00,99.86
2750.00,99.85
2749.00,99.85
2748.00,99.86
2747.00,99.86
2746.00,99.87
2745.00,99.86
2744.00,99.86
2743.00,99.85
2742.00,99.85
2741.00,99.86
2740.00,99.86
2739.00,99.86
2738.00,99.87
2737.00,99.88
2736.00,99.88
2735.00,99.87
2734.00,99.87
2733.00,99.88
2732.00,99.90
2731.00,99.92
2730.00,99.92
2729.00,99.92
2728.00,99.91
2727.00,99.91
2726.00,99.90
2725.00,99.91
2724.00,99.91
2723.00,99.92
2722.00,99.93
2721.00,99.93
2720.00,99.93
2719.00,99.93
2718.00,99.93
2717.00,99.93
2716.00,99.94
2715.00,99.94
2714.00,99.94
2713.00,99.93
2712.00,99.93
2711.00,99.92
2710.00,99.93
2709.00,99.94
2708.00,99.96
2707.00,99.97
2706.00,99.97
2705.00,99.98
2704.00,99.99
2703.00,99.99
2702.00,99.98
2701.00,99.97
2700.00,99.96
2699.00,99.95
2698.00,99.96
2697.00,99.98
2696.00,100.00
2695.00,100.02
2694.00,100.02
2693.00,100.01
2692.00,100.00
2691.00,100.00
2690.00,100.01
2689.00,100.01
2688.00,100.01
2687.00,100.01
2686.00,100.00
2685.00,99.99
2684.00,100.01
2683.00,100.03
2682.00,100.05
2681.00,100.05
2680.00,100.04
2679.00,100.04
2678.00,100.05
2677.00,100.06
2676.00,100.07
2675.00,100.06
2674.00,100.06
2673.00,100.06
2672.00,100.07
2671.00,100.08
2670.00,100.10
2669.00,100.10
2668.00,100.10
2667.00,100.10
2666.00,100.09
2665.00,100.08
2664.00,100.08
2663.00,100.08
2662.00,100.09
2661.00,100.08
2660.00,100.08
2659.00,100.08
2658.00,100.08
2657.00,100.10
2656.00,100.10
2655.00,100.10
2654.00,100.09
2653.00,100.09
2652.00,100.08
2651.00,100.08
2650.00,100.07
2649.00,100.07
2648.00,100.07
2647.00,100.07
2646.00,100.08
2645.00,100.09
2644.00,100.09
2643.00,100.09
2642.00,100.09
2641.00,100.07
2640.00,100.07
2639.00,100.07
2638.00,100.07
2637.00,100.06
2636.00,100.04
2635.00,100.02
2634.00,100.02
2633.00,100.03
2632.00,100.05
2631.00,100.08
2630.00,100.09
2629.00,100.09
2628.00,100.07
2627.00,100.06
2626.00,100.05
2625.00,100.06
2624.00,100.07
2623.00,100.06
2622.00,100.04
2621.00,100.03
2620.00,100.03
2619.00,100.05
2618.00,100.07
2617.00,100.09
2616.00,100.10
2615.00,100.11
2614.00,100.10
2613.00,100.08
2612.00,100.06
2611.00,100.05
2610.00,100.05
2609.00,100.07
2608.00,100.08
2607.00,100.09
2606.00,100.09
2605.00,100.09
2604.00,100.09
2603.00,100.09
2602.00,100.08
2601.00,100.07
2600.00,100.07
2599.00,100.06
2598.00,100.05
2597.00,100.03
2596.00,100.01
2595.00,100.00
2594.00,100.00
2593.00,100.01
2592.00,100.02
2591.00,100.03
2590.00,100.03
2589.00,100.04
2588.00,100.04
2587.00,100.04
2586.00,100.04
2585.00,100.04
2584.00,100.05
2583.00,100.06
2582.00,100.07
2581.00,100.07
2580.00,100.07
2579.00,100.06
2578.00,100.06
2577.00,100.06
2576.00,100.07
2575.00,100.08
2574.00,100.09
2573.00,100.10
2572.00,100.12
2571.00,100.12
2570.00,100.11
2569.00,100.10
2568.00,100.08
2567.00,100.08
2566.00,100.10
2565.00,100.12
2564.00,100.14
2563.00,100.14
2562.00,100.13
2561.00,100.12
2560.00,100.11
2559.00,100.11
2558.00,100.11
2557.00,100.10
2556.00,100.09
2555.00,100.07
2554.00,100.05
2553.00,100.04
2552.00,100.05
2551.00,100.06
2550.00,100.06
2549.00,100.06
2548.00,100.05
2547.00,100.05
2546.00,100.06
2545.00,100.08
2544.00,100.08
2543.00,100.08
2542.00,100.09
2541.00,100.12
2540.00,100.13
2539.00,100.13
2538.00,100.11
2537.00,100.10
2536.00,100.09
2535.00,100.09
2534.00,100.09
2533.00,100.09
2532.00,100.10
2531.00,100.11
2530.00,100.11
2529.00,100.10
2528.00,100.09
2527.00,100.09
2526.00,100.09
2525.00,100.09
2524.00,100.08
2523.00,100.07
2522.00,100.06
2521.00,100.06
2520.00,100.06
2519.00,100.07
2518.00,100.07
2517.00,100.07
2516.00,100.06
2515.00,100.06
2514.00,100.06
2513.00,100.06
2512.00,100.05
2511.00,100.04
2510.00,100.03
2509.00,100.04
2508.00,100.05
2507.00,100.06
2506.00,100.07
2505.00,100.07
2504.00,100.08
2503.00,100.08
2502.00,100.09
2501.00,100.12
2500.00,100.15
2499.00,100.17
2498.00,100.16
2497.00,100.15
2496.00,100.14
2495.00,100.13
2494.00,100.12
2493.00,100.10
2492.00,100.09
2491.00,100.09
2490.00,100.11
2489.00,100.13
2488.00,100.13
2487.00,100.13
2486.00,100.12
2485.00,100.12
2484.00,100.13
2483.00,100.14
2482.00,100.12
2481.00,100.10
2480.00,100.09
2479.00,100.09
2478.00,100.09
2477.00,100.10
2476.00,100.10
2475.00,100.10
2474.00,100.10
2473.00,100.09
2472.00,100.09
2471.00,100.10
2470.00,100.11
2469.00,100.11
2468.00,100.10
2467.00,100.09
2466.00,100.10
2465.00,100.11
2464.00,100.14
2463.00,100.15
2462.00,100.15
2461.00,100.14
