Created as New Dataset,60 Lenzing
cm-1,%T
2986.00,94.55
2985.00,94.53
2984.00,94.51
2983.00,94.49
2982.00,94.48
2981.00,94.48
2980.00,94.48
2979.00,94.48
2978.00,94.48
2977.00,94.47
2976.00,94.47
2975.00,94.46
2974.00,94.44
2973.00,94.41
2972.00,94.39
2971.00,94.37
2970.00,94.36
2969.00,94.36
2968.00,94.35
2967.00,94.34
2966.00,94.32
2965.00,94.28
2964.00,94.24
2963.00,94.19
2962.00,94.14
2961.00,94.10
2960.00,94.07
2959.00,94.04
2958.00,94.01
2957.00,93.96
2956.00,93.92
2955.00,93.89
2954.00,93.86
2953.00,93.83
2952.00,93.78
2951.00,93.73
2950.00,93.67
2949.00,93.61
2948.00,93.54
2947.00,93.47
2946.00,93.39
2945.00,93.33
2944.00,93.28
2943.00,93.23
2942.00,93.18
2941.00,93.12
2940.00,93.04
2939.00,92.93
2938.00,92.83
2937.00,92.75
2936.00,92.68
2935.00,92.64
2934.00,92.59
2933.00,92.55
2932.00,92.51
2931.00,92.46
2930.00,92.40
2929.00,92.35
2928.00,92.31
2927.00,92.28
2926.00,92.25
2925.00,92.20
2924.00,92.15
2923.00,92.09
2922.00,92.02
2921.00,91.96
2920.00,91.91
2919.00,91.87
2918.00,91.85
2917.00,91.83
2916.00,91.81
2915.00,91.79
2914.00,91.76
2913.00,91.72
2912.00,91.67
2911.00,91.61
2910.00,91.56
2909.00,91.52
2908.00,91.48
2907.00,91.43
2906.00,91.39
2905.00,91.35
2904.00,91.32
2903.00,91.29
2902.00,91.27
2901.00,91.25
2900.00,91.23
2899.00,91.21
2898.00,91.19
2897.00,91.15
2896.00,91.12
2895.00,91.10
2894.00,91.07
2893.00,91.04
2892.00,91.02
2891.00,91.01
2890.00,91.01
2889.00,91.02
2888.00,91.05
2887.00,91.09
2886.00,91.13
2885.00,91.16
2884.00,91.18
2883.00,91.19
2882.00,91.20
2881.00,91.20
2880.00,91.22
2879.00,91.23
2878.00,91.26
2877.00,91.29
2876.00,91.33
2875.00,91.37
2874.00,91.40
2873.00,91.44
2872.00,91.48
2871.00,91.52
2870.00,91.56
2869.00,91.61
2868.00,91.66
2867.00,91.71
2866.00,91.77
2865.00,91.84
2864.00,91.91
2863.00,91.99
2862.00,92.06
2861.00,92.13
2860.00,92.18
2859.00,92.24
2858.00,92.29
2857.00,92.35
2856.00,92.41
2855.00,92.47
2854.00,92.53
2853.00,92.58
2852.00,92.64
2851.00,92.68
2850.00,92.74
2849.00,92.80
2848.00,92.86
2847.00,92.94
2846.00,93.01
2845.00,93.09
2844.00,93.15
2843.00,93.21
2842.00,93.26
2841.00,93.31
2840.00,93.35
2839.00,93.39
2838.00,93.44
2837.00,93.48
2836.00,93.52
2835.00,93.55
2834.00,93.58
2833.00,93.61
2832.00,93.65
2831.00,93.68
2830.00,93.72
2829.00,93.76
2828.00,93.80
2827.00,93.83
2826.00,93.85
2825.00,93.87
2824.00,93.89
2823.00,93.91
2822.00,93.92
2821.00,93.93
2820.00,93.94
2819.00,93.96
2818.00,93.99
2817.00,94.02
2816.00,94.05
2815.00,94.08
2814.00,94.10
2813.00,94.13
2812.00,94.15
2811.00,94.16
2810.00,94.18
2809.00,94.19
2808.00,94.21
2807.00,94.22
2806.00,94.24
2805.00,94.26
2804.00,94.29
2803.00,94.31
2802.00,94.32
2801.00,94.33
2800.00,94.34
2799.00,94.36
2798.00,94.39
2797.00,94.42
2796.00,94.44
2795.00,94.46
2794.00,94.47
