Created as New Dataset,188 Courtaulds
cm-1,%T
2972.00,98.89
2971.00,98.88
2970.00,98.86
2969.00,98.85
2968.00,98.85
2967.00,98.85
2966.00,98.84
2965.00,98.82
2964.00,98.78
2963.00,98.73
2962.00,98.69
2961.00,98.66
2960.00,98.64
2959.00,98.64
2958.00,98.63
2957.00,98.63
2956.00,98.61
2955.00,98.58
2954.00,98.54
2953.00,98.50
2952.00,98.47
2951.00,98.44
2950.00,98.41
2949.00,98.38
2948.00,98.35
2947.00,98.32
2946.00,98.30
2945.00,98.28
2944.00,98.24
2943.00,98.20
2942.00,98.15
2941.00,98.11
2940.00,98.09
2939.00,98.07
2938.00,98.04
2937.00,98.00
2936.00,97.94
2935.00,97.88
2934.00,97.82
2933.00,97.78
2932.00,97.76
2931.00,97.76
2930.00,97.75
2929.00,97.73
2928.00,97.70
2927.00,97.66
2926.00,97.63
2925.00,97.62
2924.00,97.61
2923.00,97.59
2922.00,97.56
2921.00,97.53
2920.00,97.51
2919.00,97.50
2918.00,97.49
2917.00,97.46
2916.00,97.42
2915.00,97.38
2914.00,97.36
2913.00,97.34
2912.00,97.32
2911.00,97.30
2910.00,97.26
2909.00,97.22
2908.00,97.18
2907.00,97.15
2906.00,97.12
2905.00,97.09
2904.00,97.07
2903.00,97.06
2902.00,97.05
2901.00,97.05
2900.00,97.04
2899.00,97.02
2898.00,97.00
2897.00,96.98
2896.00,96.97
2895.00,96.97
2894.00,96.96
2893.00,96.95
2892.00,96.94
2891.00,96.93
2890.00,96.94
2889.00,96.95
2888.00,96.97
2887.00,96.98
2886.00,96.99
2885.00,96.99
2884.00,97.01
2883.00,97.03
2882.00,97.06
2881.00,97.07
2880.00,97.07
2879.00,97.06
2878.00,97.06
2877.00,97.07
2876.00,97.09
2875.00,97.11
2874.00,97.15
2873.00,97.18
2872.00,97.21
2871.00,97.24
2870.00,97.26
2869.00,97.29
2868.00,97.32
2867.00,97.36
2866.00,97.39
2865.00,97.43
2864.00,97.46
2863.00,97.49
2862.00,97.51
2861.00,97.53
2860.00,97.55
2859.00,97.58
2858.00,97.61
2857.00,97.65
2856.00,97.69
2855.00,97.72
2854.00,97.75
2853.00,97.79
2852.00,97.84
2851.00,97.90
2850.00,97.95
2849.00,97.99
2848.00,98.02
2847.00,98.04
2846.00,98.06
2845.00,98.09
2844.00,98.11
2843.00,98.14
2842.00,98.18
2841.00,98.22
2840.00,98.26
2839.00,98.28
2838.00,98.30
2837.00,98.31
2836.00,98.32
2835.00,98.35
2834.00,98.37
2833.00,98.39
2832.00,98.40
2831.00,98.41
2830.00,98.44
2829.00,98.48
2828.00,98.51
2827.00,98.54
2826.00,98.54
2825.00,98.54
2824.00,98.55
2823.00,98.58
2822.00,98.61
2821.00,98.62
2820.00,98.63
2819.00,98.63
2818.00,98.64
2817.00,98.65
2816.00,98.65
2815.00,98.66
2814.00,98.67
2813.00,98.67
2812.00,98.68
2811.00,98.69
2810.00,98.71
2809.00,98.72
2808.00,98.73
2807.00,98.74
2806.00,98.75
2805.00,98.76
2804.00,98.77
2803.00,98.77
2802.00,98.78
2801.00,98.78
2800.00,98.78
2799.00,98.78
2798.00,98.79
2797.00,98.80
2796.00,98.82
2795.00,98.85
2794.00,98.87
2793.00,98.89
2792.00,98.90
2791.00,98.91
2790.00,98.92
2789.00,98.94
2788.00,98.95
2787.00,98.96
2786.00,98.97
2785.00,98.97
2784.00,98.98
2783.00,99.00
2782.00,99.00
2781.00,99.00
2780.00,98.99
2779.00,98.99
2778.00,99.00
2777.00,99.03
2776.00,99.05
2775.00,99.06
2774.00,99.06
2773.00,99.05
2772.00,99.05
2771.00,99.04
2770.00,99.05
2769.00,99.05
2768.00,99.06
2767.00,99.07
2766.00,99.08
2765.00,99.09
2764.00,99.09
2763.00,99.09
2762.00,99.10
2761.00,99.11
2760.00,99.12
2759.00,99.12
2758.00,99.12
2757.00,99.12
2756.00,99.13
2755.00,99.13
2754.00,99.13
2753.00,99.14
2752.00,99.15
2751.00,99.16
2750.00,99.15
2749.00,99.14
2748.00,99.13
2747.00,99.12
2746.00,99.12
2745.00,99.12
2744.00,99.12
2743.00,99.14
2742.00,99.15
2741.00,99.15
2740.00,99.15
2739.00,99.14
2738.00,99.13
2737.00,99.13
2736.00,99.14
2735.00,99.16
2734.00,99.16
2733.00,99.16
2732.00,99.16
2731.00,99.17
