Created as New Dataset,Bio-Couture Denim 1/7 nm (Black/Blue)
cm-1,%T
2919.00,92.99
2918.00,93.04
2917.00,93.09
2916.00,93.16
2915.00,93.24
2914.00,93.31
2913.00,93.37
2912.00,93.43
2911.00,93.47
2910.00,93.51
2909.00,93.54
2908.00,93.58
2907.00,93.62
2906.00,93.67
2905.00,93.71
2904.00,93.75
2903.00,93.78
2902.00,93.80
2901.00,93.81
2900.00,93.81
2899.00,93.83
2898.00,93.86
2897.00,93.90
2896.00,93.93
2895.00,93.97
2894.00,93.99
2893.00,94.01
2892.00,94.02
2891.00,94.03
2890.00,94.04
2889.00,94.06
2888.00,94.07
2887.00,94.08
2886.00,94.08
2885.00,94.08
2884.00,94.08
2883.00,94.09
2882.00,94.09
2881.00,94.08
2880.00,94.06
2879.00,94.05
2878.00,94.05
2877.00,94.04
2876.00,94.04
2875.00,94.02
2874.00,94.00
2873.00,94.00
2872.00,94.02
2871.00,94.06
2870.00,94.10
2869.00,94.15
2868.00,94.18
2867.00,94.20
2866.00,94.22
2865.00,94.25
2864.00,94.28
2863.00,94.31
2862.00,94.32
2861.00,94.32
2860.00,94.32
2859.00,94.33
2858.00,94.36
2857.00,94.39
2856.00,94.43
2855.00,94.45
2854.00,94.47
2853.00,94.48
2852.00,94.50
2851.00,94.53
2850.00,94.58
2849.00,94.65
2848.00,94.72
2847.00,94.79
2846.00,94.85
2845.00,94.90
2844.00,94.97
2843.00,95.05
2842.00,95.12
2841.00,95.18
2840.00,95.22
2839.00,95.26
2838.00,95.29
2837.00,95.31
2836.00,95.33
2835.00,95.35
2834.00,95.36
2833.00,95.37
2832.00,95.37
2831.00,95.38
2830.00,95.40
2829.00,95.43
2828.00,95.46
2827.00,95.48
2826.00,95.51
2825.00,95.53
2824.00,95.54
2823.00,95.55
2822.00,95.56
2821.00,95.58
2820.00,95.59
2819.00,95.60
2818.00,95.61
2817.00,95.62
2816.00,95.63
2815.00,95.64
2814.00,95.65
2813.00,95.66
2812.00,95.68
2811.00,95.71
2810.00,95.73
2809.00,95.74
2808.00,95.74
2807.00,95.74
2806.00,95.73
2805.00,95.73
2804.00,95.73
2803.00,95.74
2802.00,95.75
2801.00,95.77
2800.00,95.79
2799.00,95.80
2798.00,95.81
2797.00,95.81
2796.00,95.82
2795.00,95.84
2794.00,95.85
2793.00,95.85
2792.00,95.85
2791.00,95.86
2790.00,95.87
2789.00,95.87
2788.00,95.88
2787.00,95.90
2786.00,95.91
2785.00,95.92
2784.00,95.94
2783.00,95.96
2782.00,95.97
2781.00,95.98
2780.00,95.99
2779.00,95.99
2778.00,95.99
2777.00,95.99
2776.00,95.99
2775.00,96.00
2774.00,96.01
2773.00,96.03
2772.00,96.05
2771.00,96.07
2770.00,96.08
2769.00,96.09
2768.00,96.09
2767.00,96.10
2766.00,96.11
2765.00,96.12
2764.00,96.11
2763.00,96.10
2762.00,96.11
2761.00,96.12
2760.00,96.14
2759.00,96.16
2758.00,96.17
2757.00,96.18
2756.00,96.18
2755.00,96.18
2754.00,96.18
2753.00,96.17
2752.00,96.17
2751.00,96.18
2750.00,96.19
2749.00,96.20
2748.00,96.21
2747.00,96.20
2746.00,96.20
2745.00,96.20
2744.00,96.21
2743.00,96.23
2742.00,96.24
2741.00,96.25
2740.00,96.25
2739.00,96.25
2738.00,96.25
2737.00,96.26
2736.00,96.28
2735.00,96.29
2734.00,96.30
2733.00,96.30
2732.00,96.30
2731.00,96.30
2730.00,96.32
2729.00,96.33
2728.00,96.34
2727.00,96.36
2726.00,96.37
2725.00,96.39
2724.00,96.40
2723.00,96.40
2722.00,96.39
2721.00,96.38
2720.00,96.38
2719.00,96.39
2718.00,96.40
2717.00,96.41
2716.00,96.43
2715.00,96.44
2714.00,96.45
2713.00,96.47
2712.00,96.48
2711.00,96.49
2710.00,96.50
2709.00,96.50
2708.00,96.51
2707.00,96.52
2706.00,96.52
2705.00,96.53
2704.00,96.53
2703.00,96.53
2702.00,96.53
2701.00,96.55
2700.00,96.56
2699.00,96.57
2698.00,96.56
2697.00,96.55
2696.00,96.55
2695.00,96.55
2694.00,96.56
2693.00,96.56
2692.00,96.56
2691.00,96.56
2690.00,96.56
2689.00,96.57
2688.00,96.58
2687.00,96.58
2686.00,96.58
2685.00,96.58
2684.00,96.57
2683.00,96.56
2682.00,96.56
2681.00,96.57
2680.00,96.58
2679.00,96.59
2678.00,96.60
2677.00,96.60
2676.00,96.61
2675.00,96.61
2674.00,96.61
2673.00,96.60
2672.00,96.59
2671.00,96.59
2670.00,96.60
2669.00,96.62
2668.00,96.63
2667.00,96.63
2666.00,96.63
2665.00,96.62
2664.00,96.61
2663.00,96.61
2662.00,96.61
2661.00,96.61
2660.00,96.61
2659.00,96.60
2658.00,96.60
2657.00,96.60
2656.00,96.60
2655.00,96.59
2654.00,96.59
2653.00,96.59
2652.00,96.58
2651.00,96.57
2650.00,96.56
2649.00,96.55
2648.00,96.55
2647.00,96.54
2646.00,96.53
2645.00,96.53
2644.00,96.53
2643.00,96.53
2642.00,96.53
2641.00,96.53
2640.00,96.52
2639.00,96.51
2638.00,96.50
2637.00,96.49
2636.00,96.48
2635.00,96.48
2634.00,96.47
2633.00,96.46
2632.00,96.44
2631.00,96.43
2630.00,96.43
2629.00,96.43
2628.00,96.43
2627.00,96.43
2626.00,96.43
2625.00,96.43
2624.00,96.42
2623.00,96.43
2622.00,96.43
2621.00,96.43
2620.00,96.42
2619.00,96.40
2618.00,96.38
2617.00,96.39
2616.00,96.41
2615.00,96.44
2614.00,96.45
2613.00,96.46
2612.00,96.45
2611.00,96.45
2610.00,96.44
2609.00,96.43
2608.00,96.41
2607.00,96.40
2606.00,96.40
2605.00,96.41
2604.00,96.43
2603.00,96.45
2602.00,96.45
2601.00,96.44
2600.00,96.42
2599.00,96.41
2598.00,96.41
2597.00,96.42
2596.00,96.41
2595.00,96.40
2594.00,96.38
2593.00,96.38
2592.00,96.38
2591.00,96.39
2590.00,96.39
2589.00,96.39
2588.00,96.41
2587.00,96.42
2586.00,96.43
2585.00,96.42
2584.00,96.40
2583.00,96.39
2582.00,96.39
2581.00,96.40
2580.00,96.42
2579.00,96.43
2578.00,96.44
2577.00,96.44
2576.00,96.43
2575.00,96.42
2574.00,96.40
2573.00,96.40
2572.00,96.41
2571.00,96.43
2570.00,96.45
2569.00,96.45
2568.00,96.44
2567.00,96.44
2566.00,96.44
2565.00,96.44
2564.00,96.44
2563.00,96.44
2562.00,96.45
2561.00,96.46
2560.00,96.47
2559.00,96.47
2558.00,96.48
2557.00,96.50
2556.00,96.50
2555.00,96.50
2554.00,96.48
2553.00,96.45
2552.00,96.42
2551.00,96.42
2550.00,96.43
2549.00,96.43
2548.00,96.43
2547.00,96.41
2546.00,96.40
2545.00,96.39
2544.00,96.39
2543.00,96.41
2542.00,96.43
2541.00,96.44
2540.00,96.44
2539.00,96.44
2538.00,96.44
2537.00,96.45
2536.00,96.47
2535.00,96.48
2534.00,96.48
2533.00,96.48
2532.00,96.48
2531.00,96.49
2530.00,96.51
2529.00,96.53
2528.00,96.53
2527.00,96.52
2526.00,96.51
2525.00,96.49
2524.00,96.48
2523.00,96.48
2522.00,96.49
2521.00,96.51
2520.00,96.51
2519.00,96.50
2518.00,96.48
2517.00,96.48
2516.00,96.48
2515.00,96.49
2514.00,96.50
2513.00,96.52
2512.00,96.54
2511.00,96.55
2510.00,96.54
2509.00,96.52
2508.00,96.49
2507.00,96.47
2506.00,96.48
2505.00,96.50
2504.00,96.52
2503.00,96.53
2502.00,96.53
2501.00,96.53
2500.00,96.53
2499.00,96.53
2498.00,96.52
2497.00,96.52
2496.00,96.53
2495.00,96.55
2494.00,96.56
2493.00,96.56
2492.00,96.55
2491.00,96.55
2490.00,96.54
2489.00,96.53
2488.00,96.53
2487.00,96.53
2486.00,96.53
2485.00,96.53
2484.00,96.53
2483.00,96.52
2482.00,96.51
2481.00,96.50
2480.00,96.48
2479.00,96.48
2478.00,96.49
2477.00,96.50
2476.00,96.51
2475.00,96.52
2474.00,96.54
2473.00,96.55
2472.00,96.56
2471.00,96.58
2470.00,96.60
