Created as New Dataset,72 Waxman Fibers
cm-1,%T
3230.00,99.59
3229.00,99.59
3228.00,99.59
3227.00,99.58
3226.00,99.57
3225.00,99.55
3224.00,99.55
3223.00,99.54
3222.00,99.54
3221.00,99.54
3220.00,99.56
3219.00,99.57
3218.00,99.58
3217.00,99.58
3216.00,99.58
3215.00,99.58
3214.00,99.59
3213.00,99.60
3212.00,99.61
3211.00,99.63
3210.00,99.64
3209.00,99.65
3208.00,99.66
3207.00,99.66
3206.00,99.64
3205.00,99.63
3204.00,99.60
3203.00,99.59
3202.00,99.59
3201.00,99.60
3200.00,99.60
3199.00,99.60
3198.00,99.60
3197.00,99.61
3196.00,99.63
3195.00,99.64
3194.00,99.64
3193.00,99.62
3192.00,99.60
3191.00,99.59
3190.00,99.60
3189.00,99.61
3188.00,99.63
3187.00,99.64
3186.00,99.64
3185.00,99.64
3184.00,99.64
3183.00,99.64
3182.00,99.63
3181.00,99.62
3180.00,99.61
3179.00,99.61
3178.00,99.61
3177.00,99.61
3176.00,99.61
3175.00,99.60
3174.00,99.59
3173.00,99.58
3172.00,99.58
3171.00,99.59
3170.00,99.60
3169.00,99.61
3168.00,99.61
3167.00,99.61
3166.00,99.61
3165.00,99.61
3164.00,99.61
3163.00,99.61
3162.00,99.61
3161.00,99.61
3160.00,99.62
3159.00,99.63
3158.00,99.64
3157.00,99.65
3156.00,99.64
3155.00,99.63
3154.00,99.62
3153.00,99.61
3152.00,99.62
3151.00,99.63
3150.00,99.65
3149.00,99.66
3148.00,99.66
3147.00,99.65
3146.00,99.65
3145.00,99.65
3144.00,99.66
3143.00,99.66
3142.00,99.66
3141.00,99.66
3140.00,99.66
3139.00,99.65
3138.00,99.64
3137.00,99.61
3136.00,99.59
3135.00,99.58
3134.00,99.59
3133.00,99.61
3132.00,99.63
3131.00,99.64
3130.00,99.64
3129.00,99.63
3128.00,99.62
3127.00,99.62
3126.00,99.62
3125.00,99.62
3124.00,99.62
3123.00,99.60
3122.00,99.59
3121.00,99.59
3120.00,99.60
3119.00,99.61
3118.00,99.60
3117.00,99.59
3116.00,99.59
3115.00,99.59
3114.00,99.60
3113.00,99.62
3112.00,99.64
3111.00,99.64
3110.00,99.62
3109.00,99.60
3108.00,99.57
3107.00,99.56
3106.00,99.56
3105.00,99.58
3104.00,99.60
3103.00,99.61
3102.00,99.61
3101.00,99.60
3100.00,99.59
3099.00,99.59
3098.00,99.59
3097.00,99.58
3096.00,99.58
3095.00,99.57
3094.00,99.57
3093.00,99.58
3092.00,99.59
3091.00,99.60
3090.00,99.60
3089.00,99.60
3088.00,99.60
3087.00,99.60
3086.00,99.60
3085.00,99.59
3084.00,99.58
3083.00,99.57
3082.00,99.56
3081.00,99.55
3080.00,99.55
3079.00,99.55
3078.00,99.56
3077.00,99.56
3076.00,99.56
3075.00,99.56
3074.00,99.57
3073.00,99.58
3072.00,99.58
3071.00,99.57
3070.00,99.55
3069.00,99.54
3068.00,99.54
3067.00,99.55
3066.00,99.56
3065.00,99.56
3064.00,99.55
3063.00,99.55
3062.00,99.54
3061.00,99.54
3060.00,99.53
3059.00,99.51
3058.00,99.49
3057.00,99.47
3056.00,99.46
3055.00,99.46
3054.00,99.48
3053.00,99.49
3052.00,99.50
3051.00,99.51
3050.00,99.52
3049.00,99.52
3048.00,99.53
3047.00,99.53
3046.00,99.53
3045.00,99.52
3044.00,99.50
3043.00,99.49
3042.00,99.49
3041.00,99.50
3040.00,99.51
3039.00,99.52
3038.00,99.53
3037.00,99.52
3036.00,99.51
3035.00,99.50
3034.00,99.50
3033.00,99.50
3032.00,99.50
3031.00,99.50
3030.00,99.50
3029.00,99.50
3028.00,99.49
3027.00,99.48
3026.00,99.48
3025.00,99.49
3024.00,99.49
3023.00,99.49
3022.00,99.49
3021.00,99.49
3020.00,99.48
3019.00,99.48
3018.00,99.46
3017.00,99.44
3016.00,99.42
3015.00,99.40
3014.00,99.39
3013.00,99.38
3012.00,99.38
3011.00,99.39
3010.00,99.40
3009.00,99.40
3008.00,99.41
3007.00,99.40
3006.00,99.38
3005.00,99.35
3004.00,99.32
3003.00,99.30
3002.00,99.30
3001.00,99.30
3000.00,99.30
2999.00,99.29
2998.00,99.27
2997.00,99.24
2996.00,99.22
2995.00,99.20
2994.00,99.19
2993.00,99.19
2992.00,99.19
2991.00,99.19
2990.00,99.18
2989.00,99.16
2988.00,99.13
2987.00,99.10
2986.00,99.09
2985.00,99.07
2984.00,99.05
2983.00,99.03
2982.00,99.02
2981.00,99.01
2980.00,99.00
2979.00,98.98
2978.00,98.95
2977.00,98.91
2976.00,98.88
2975.00,98.86
2974.00,98.85
2973.00,98.84
2972.00,98.84
2971.00,98.83
2970.00,98.82
2969.00,98.80
2968.00,98.79
2967.00,98.76
2966.00,98.74
2965.00,98.71
2964.00,98.69
2963.00,98.67
2962.00,98.64
2961.00,98.62
2960.00,98.60
2959.00,98.58
2958.00,98.57
2957.00,98.57
2956.00,98.56
2955.00,98.55
2954.00,98.53
2953.00,98.50
2952.00,98.45
2951.00,98.41
2950.00,98.38
2949.00,98.37
2948.00,98.35
2947.00,98.34
2946.00,98.31
2945.00,98.27
2944.00,98.22
2943.00,98.18
2942.00,98.14
2941.00,98.12
2940.00,98.10
2939.00,98.08
2938.00,98.06
2937.00,98.03
2936.00,98.01
2935.00,97.98
2934.00,97.95
2933.00,97.93
2932.00,97.91
2931.00,97.90
2930.00,97.90
2929.00,97.89
2928.00,97.88
2927.00,97.87
2926.00,97.87
2925.00,97.87
2924.00,97.88
2923.00,97.89
2922.00,97.89
2921.00,97.91
2920.00,97.94
2919.00,97.98
2918.00,98.03
2917.00,98.09
2916.00,98.15
2915.00,98.21
2914.00,98.26
2913.00,98.31
2912.00,98.35
2911.00,98.39
2910.00,98.43
2909.00,98.46
2908.00,98.51
2907.00,98.56
2906.00,98.62
2905.00,98.67
2904.00,98.72
2903.00,98.78
2902.00,98.83
2901.00,98.86
2900.00,98.89
2899.00,98.91
2898.00,98.93
2897.00,98.96
2896.00,98.99
2895.00,99.02
2894.00,99.03
2893.00,99.04
2892.00,99.05
2891.00,99.05
2890.00,99.07
2889.00,99.08
2888.00,99.09
2887.00,99.09
2886.00,99.08
2885.00,99.07
2884.00,99.07
2883.00,99.08
2882.00,99.08
2881.00,99.08
2880.00,99.07
2879.00,99.07
2878.00,99.07
2877.00,99.07
2876.00,99.08
2875.00,99.07
2874.00,99.07
2873.00,99.07
2872.00,99.07
2871.00,99.07
2870.00,99.06
2869.00,99.05
2868.00,99.05
2867.00,99.05
2866.00,99.07
2865.00,99.08
2864.00,99.09
2863.00,99.08
2862.00,99.07
2861.00,99.06
2860.00,99.06
2859.00,99.06
2858.00,99.06
2857.00,99.05
2856.00,99.05
2855.00,99.06
2854.00,99.07
2853.00,99.08
2852.00,99.08
2851.00,99.09
2850.00,99.10
2849.00,99.11
2848.00,99.11
2847.00,99.12
2846.00,99.14
2845.00,99.15
2844.00,99.17
2843.00,99.20
2842.00,99.22
2841.00,99.23
2840.00,99.24
2839.00,99.25
2838.00,99.26
2837.00,99.27
2836.00,99.28
2835.00,99.29
2834.00,99.29
2833.00,99.29
2832.00,99.29
2831.00,99.29
2830.00,99.30
2829.00,99.30
2828.00,99.30
2827.00,99.32
2826.00,99.33
2825.00,99.34
2824.00,99.36
2823.00,99.36
2822.00,99.37
2821.00,99.38
2820.00,99.39
2819.00,99.39
2818.00,99.38
2817.00,99.38
2816.00,99.38
2815.00,99.38
2814.00,99.39
2813.00,99.41
2812.00,99.42
2811.00,99.42
2810.00,99.41
2809.00,99.39
2808.00,99.38
2807.00,99.38
2806.00,99.39
2805.00,99.40
2804.00,99.41
2803.00,99.40
2802.00,99.39
2801.00,99.38
2800.00,99.38
2799.00,99.38
2798.00,99.38
2797.00,99.39
2796.00,99.39
2795.00,99.39
2794.00,99.38
2793.00,99.37
2792.00,99.37
2791.00,99.37
2790.00,99.38
2789.00,99.39
2788.00,99.39
2787.00,99.39
2786.00,99.39
2785.00,99.40
2784.00,99.40
2783.00,99.41
2782.00,99.40
2781.00,99.40
2780.00,99.39
2779.00,99.40
2778.00,99.40
2777.00,99.42
2776.00,99.43
2775.00,99.44
