Created as New Dataset,166. Hoechst (Dark Blue)
cm-1,%T
3103.00,95.48
3102.00,95.49
3101.00,95.51
3100.00,95.52
3099.00,95.53
3098.00,95.53
3097.00,95.52
3096.00,95.53
3095.00,95.53
3094.00,95.55
3093.00,95.55
3092.00,95.54
3091.00,95.53
3090.00,95.51
3089.00,95.50
3088.00,95.50
3087.00,95.50
3086.00,95.50
3085.00,95.49
3084.00,95.49
3083.00,95.48
3082.00,95.47
3081.00,95.46
3080.00,95.44
3079.00,95.43
3078.00,95.43
3077.00,95.44
3076.00,95.45
3075.00,95.44
3074.00,95.43
3073.00,95.42
3072.00,95.42
3071.00,95.42
3070.00,95.42
3069.00,95.42
3068.00,95.42
3067.00,95.43
3066.00,95.44
3065.00,95.43
3064.00,95.41
3063.00,95.39
3062.00,95.37
3061.00,95.37
3060.00,95.37
3059.00,95.36
3058.00,95.36
3057.00,95.35
3056.00,95.35
3055.00,95.35
3054.00,95.37
3053.00,95.38
3052.00,95.38
3051.00,95.39
3050.00,95.41
3049.00,95.44
3048.00,95.47
3047.00,95.49
3046.00,95.51
3045.00,95.53
3044.00,95.56
3043.00,95.58
3042.00,95.60
3041.00,95.61
3040.00,95.61
3039.00,95.60
3038.00,95.59
3037.00,95.58
3036.00,95.57
3035.00,95.58
3034.00,95.60
3033.00,95.63
3032.00,95.64
3031.00,95.64
3030.00,95.62
3029.00,95.61
3028.00,95.60
3027.00,95.59
3026.00,95.56
3025.00,95.53
3024.00,95.49
3023.00,95.44
3022.00,95.40
3021.00,95.37
3020.00,95.34
3019.00,95.32
3018.00,95.30
3017.00,95.26
3016.00,95.23
3015.00,95.20
3014.00,95.19
3013.00,95.19
3012.00,95.19
3011.00,95.19
3010.00,95.19
3009.00,95.18
3008.00,95.18
3007.00,95.17
3006.00,95.15
3005.00,95.13
3004.00,95.10
3003.00,95.07
3002.00,95.04
3001.00,95.02
3000.00,95.00
2999.00,94.99
2998.00,94.98
2997.00,94.98
2996.00,94.98
2995.00,94.98
2994.00,94.97
2993.00,94.96
2992.00,94.94
2991.00,94.92
2990.00,94.90
2989.00,94.89
2988.00,94.87
2987.00,94.85
2986.00,94.82
2985.00,94.78
2984.00,94.73
2983.00,94.67
2982.00,94.61
2981.00,94.56
2980.00,94.50
2979.00,94.44
2978.00,94.37
2977.00,94.29
2976.00,94.22
2975.00,94.15
2974.00,94.08
2973.00,94.02
2972.00,93.97
2971.00,93.92
2970.00,93.88
2969.00,93.86
2968.00,93.85
