Created as New Dataset,170. ICI (Pink)
cm-1,%T
2686.00,93.17
2685.00,93.17
2684.00,93.17
2683.00,93.18
2682.00,93.18
2681.00,93.18
2680.00,93.18
2679.00,93.19
2678.00,93.19
2677.00,93.19
2676.00,93.18
2675.00,93.18
2674.00,93.17
2673.00,93.17
2672.00,93.16
2671.00,93.15
2670.00,93.15
2669.00,93.15
2668.00,93.16
2667.00,93.17
2666.00,93.18
2665.00,93.19
2664.00,93.19
2663.00,93.18
2662.00,93.16
2661.00,93.14
2660.00,93.11
2659.00,93.10
2658.00,93.09
2657.00,93.08
2656.00,93.07
2655.00,93.05
2654.00,93.03
2653.00,93.02
2652.00,93.01
2651.00,93.01
2650.00,93.01
2649.00,93.00
2648.00,92.97
2647.00,92.95
2646.00,92.94
2645.00,92.93
2644.00,92.93
2643.00,92.93
2642.00,92.91
2641.00,92.88
2640.00,92.86
2639.00,92.84
2638.00,92.84
2637.00,92.84
2636.00,92.84
2635.00,92.83
2634.00,92.81
2633.00,92.77
2632.00,92.74
2631.00,92.72
2630.00,92.71
2629.00,92.70
2628.00,92.69
2627.00,92.69
2626.00,92.69
2625.00,92.70
2624.00,92.70
2623.00,92.68
2622.00,92.67
2621.00,92.65
2620.00,92.65
2619.00,92.65
2618.00,92.65
2617.00,92.64
2616.00,92.63
2615.00,92.61
2614.00,92.60
2613.00,92.59
2612.00,92.60
2611.00,92.61
2610.00,92.62
2609.00,92.62
2608.00,92.61
2607.00,92.60
2606.00,92.59
2605.00,92.58
2604.00,92.57
2603.00,92.55
2602.00,92.55
2601.00,92.54
2600.00,92.54
2599.00,92.52
2598.00,92.50
2597.00,92.48
2596.00,92.47
2595.00,92.48
2594.00,92.49
2593.00,92.48
2592.00,92.47
2591.00,92.44
2590.00,92.42
2589.00,92.40
2588.00,92.39
2587.00,92.39
2586.00,92.40
2585.00,92.41
2584.00,92.41
2583.00,92.40
2582.00,92.38
2581.00,92.36
2580.00,92.35
2579.00,92.34
2578.00,92.34
2577.00,92.34
2576.00,92.34
2575.00,92.32
2574.00,92.30
2573.00,92.27
2572.00,92.25
2571.00,92.26
2570.00,92.28
2569.00,92.30
2568.00,92.31
2567.00,92.30
2566.00,92.28
2565.00,92.27
2564.00,92.27
2563.00,92.28
2562.00,92.30
2561.00,92.30
2560.00,92.30
2559.00,92.30
2558.00,92.29
2557.00,92.27
2556.00,92.26
2555.00,92.25
2554.00,92.25
2553.00,92.26
2552.00,92.28
2551.00,92.27
2550.00,92.25
2549.00,92.22
2548.00,92.20
2547.00,92.19
2546.00,92.20
2545.00,92.21
2544.00,92.23
2543.00,92.25
2542.00,92.26
2541.00,92.27
2540.00,92.25
2539.00,92.23
2538.00,92.20
2537.00,92.19
2536.00,92.18
2535.00,92.18
2534.00,92.19
2533.00,92.20
2532.00,92.21
2531.00,92.21
2530.00,92.22
2529.00,92.23
2528.00,92.24
2527.00,92.24
2526.00,92.24
2525.00,92.24
2524.00,92.24
2523.00,92.25
2522.00,92.24
2521.00,92.24
2520.00,92.24
2519.00,92.24
2518.00,92.25
2517.00,92.25
2516.00,92.25
2515.00,92.25
2514.00,92.25
2513.00,92.26
2512.00,92.28
2511.00,92.30
2510.00,92.32
2509.00,92.33
2508.00,92.33
2507.00,92.32
2506.00,92.30
2505.00,92.29
2504.00,92.29
2503.00,92.29
2502.00,92.29
2501.00,92.30
2500.00,92.30
2499.00,92.31
2498.00,92.31
2497.00,92.33
2496.00,92.34
2495.00,92.34
2494.00,92.34
2493.00,92.33
2492.00,92.33
2491.00,92.32
2490.00,92.30
2489.00,92.29
2488.00,92.30
2487.00,92.33
2486.00,92.36
2485.00,92.39
2484.00,92.40
2483.00,92.41
2482.00,92.40
2481.00,92.38
