Created as New Dataset,58 Eastman Fibres
cm-1,%T
2977.00,98.25
2976.00,98.23
2975.00,98.22
2974.00,98.20
2973.00,98.20
2972.00,98.20
2971.00,98.21
2970.00,98.22
2969.00,98.23
2968.00,98.24
2967.00,98.26
2966.00,98.28
2965.00,98.31
2964.00,98.33
2963.00,98.37
2962.00,98.41
2961.00,98.44
2960.00,98.46
2959.00,98.47
2958.00,98.46
2957.00,98.45
2956.00,98.45
2955.00,98.44
2954.00,98.44
2953.00,98.44
2952.00,98.44
2951.00,98.43
2950.00,98.42
2949.00,98.40
2948.00,98.37
2947.00,98.34
2946.00,98.31
2945.00,98.29
2944.00,98.25
2943.00,98.22
2942.00,98.18
2941.00,98.15
2940.00,98.12
2939.00,98.08
2938.00,98.03
2937.00,97.99
2936.00,97.97
2935.00,97.95
2934.00,97.95
2933.00,97.95
2932.00,97.95
2931.00,97.95
2930.00,97.93
2929.00,97.90
2928.00,97.89
2927.00,97.89
2926.00,97.91
2925.00,97.93
2924.00,97.94
2923.00,97.95
2922.00,97.97
2921.00,98.00
2920.00,98.06
2919.00,98.12
2918.00,98.18
2917.00,98.24
2916.00,98.29
2915.00,98.33
2914.00,98.38
2913.00,98.42
2912.00,98.46
2911.00,98.50
2910.00,98.53
2909.00,98.55
2908.00,98.56
2907.00,98.58
2906.00,98.61
2905.00,98.65
2904.00,98.70
2903.00,98.73
2902.00,98.75
2901.00,98.77
2900.00,98.78
2899.00,98.79
2898.00,98.81
2897.00,98.83
2896.00,98.85
2895.00,98.88
2894.00,98.90
2893.00,98.92
2892.00,98.92
2891.00,98.92
2890.00,98.93
2889.00,98.94
2888.00,98.96
2887.00,98.96
2886.00,98.96
2885.00,98.94
2884.00,98.91
2883.00,98.89
2882.00,98.87
2881.00,98.87
2880.00,98.86
2879.00,98.84
2878.00,98.83
2877.00,98.82
2876.00,98.81
2875.00,98.82
2874.00,98.82
2873.00,98.82
2872.00,98.83
2871.00,98.84
2870.00,98.85
2869.00,98.86
2868.00,98.87
2867.00,98.87
2866.00,98.88
2865.00,98.90
2864.00,98.91
2863.00,98.91
2862.00,98.90
2861.00,98.90
2860.00,98.88
2859.00,98.87
2858.00,98.87
2857.00,98.88
2856.00,98.90
2855.00,98.91
2854.00,98.92
2853.00,98.92
2852.00,98.93
2851.00,98.94
2850.00,98.96
2849.00,98.99
2848.00,99.02
2847.00,99.04
2846.00,99.07
2845.00,99.08
2844.00,99.09
2843.00,99.11
2842.00,99.13
2841.00,99.15
2840.00,99.17
2839.00,99.19
2838.00,99.20
2837.00,99.21
2836.00,99.22
2835.00,99.24
2834.00,99.25
2833.00,99.25
2832.00,99.25
2831.00,99.25
2830.00,99.25
2829.00,99.25
2828.00,99.27
2827.00,99.30
2826.00,99.32
2825.00,99.32
2824.00,99.31
2823.00,99.30
2822.00,99.30
2821.00,99.30
2820.00,99.31
2819.00,99.33
2818.00,99.33
2817.00,99.34
2816.00,99.33
2815.00,99.31
2814.00,99.29
2813.00,99.28
2812.00,99.29
2811.00,99.31
2810.00,99.32
