Created as New Dataset,97. Du Pont (Bright Yellow)
cm-1,%T
2717.00,94.03
2716.00,94.04
2715.00,94.05
2714.00,94.06
2713.00,94.06
2712.00,94.05
2711.00,94.05
2710.00,94.05
2709.00,94.07
2708.00,94.08
2707.00,94.10
2706.00,94.11
2705.00,94.11
2704.00,94.10
2703.00,94.10
2702.00,94.10
2701.00,94.11
2700.00,94.12
2699.00,94.12
2698.00,94.12
2697.00,94.11
2696.00,94.11
2695.00,94.11
2694.00,94.12
2693.00,94.12
2692.00,94.13
2691.00,94.13
2690.00,94.12
2689.00,94.11
2688.00,94.10
2687.00,94.10
2686.00,94.10
2685.00,94.11
2684.00,94.12
2683.00,94.12
2682.00,94.13
2681.00,94.13
2680.00,94.12
2679.00,94.12
2678.00,94.12
2677.00,94.12
2676.00,94.13
2675.00,94.14
2674.00,94.15
2673.00,94.16
2672.00,94.16
2671.00,94.16
2670.00,94.16
2669.00,94.17
2668.00,94.17
2667.00,94.17
2666.00,94.17
2665.00,94.16
2664.00,94.16
2663.00,94.15
2662.00,94.15
2661.00,94.14
2660.00,94.14
2659.00,94.14
2658.00,94.13
2657.00,94.12
2656.00,94.11
2655.00,94.10
2654.00,94.09
2653.00,94.09
2652.00,94.08
2651.00,94.08
2650.00,94.07
2649.00,94.06
2648.00,94.04
2647.00,94.03
2646.00,94.01
2645.00,94.00
2644.00,94.00
2643.00,94.00
2642.00,94.01
2641.00,94.01
2640.00,94.01
2639.00,94.01
2638.00,93.99
2637.00,93.96
2636.00,93.94
2635.00,93.91
2634.00,93.90
2633.00,93.89
2632.00,93.89
2631.00,93.89
2630.00,93.89
2629.00,93.88
2628.00,93.88
2627.00,93.88
2626.00,93.88
2625.00,93.88
2624.00,93.86
2623.00,93.85
2622.00,93.84
2621.00,93.84
2620.00,93.85
2619.00,93.85
2618.00,93.83
2617.00,93.81
2616.00,93.79
2615.00,93.79
2614.00,93.80
2613.00,93.80
2612.00,93.79
2611.00,93.77
2610.00,93.75
2609.00,93.73
2608.00,93.72
2607.00,93.71
2606.00,93.70
2605.00,93.69
2604.00,93.69
2603.00,93.70
2602.00,93.70
2601.00,93.70
2600.00,93.70
2599.00,93.69
2598.00,93.67
2597.00,93.64
2596.00,93.62
2595.00,93.62
2594.00,93.62
2593.00,93.62
2592.00,93.60
2591.00,93.59
2590.00,93.57
2589.00,93.57
2588.00,93.57
2587.00,93.56
2586.00,93.56
2585.00,93.56
2584.00,93.55
2583.00,93.54
2582.00,93.53
2581.00,93.52
2580.00,93.51
2579.00,93.51
2578.00,93.51
2577.00,93.53
2576.00,93.55
2575.00,93.57
2574.00,93.57
2573.00,93.58
2572.00,93.58
2571.00,93.58
2570.00,93.57
2569.00,93.54
2568.00,93.52
2567.00,93.50
2566.00,93.48
2565.00,93.47
2564.00,93.47
2563.00,93.50
2562.00,93.53
2561.00,93.56
2560.00,93.56
2559.00,93.57
2558.00,93.57
2557.00,93.57
2556.00,93.56
2555.00,93.56
2554.00,93.55
2553.00,93.56
2552.00,93.58
2551.00,93.59
2550.00,93.61
2549.00,93.61
2548.00,93.61
2547.00,93.60
2546.00,93.59
2545.00,93.57
2544.00,93.57
2543.00,93.57
2542.00,93.57
2541.00,93.58
2540.00,93.59
2539.00,93.60
2538.00,93.61
2537.00,93.61
2536.00,93.61
2535.00,93.59
2534.00,93.58
2533.00,93.56
2532.00,93.55
2531.00,93.54
2530.00,93.55
2529.00,93.56
2528.00,93.56
2527.00,93.55
2526.00,93.54
2525.00,93.54
2524.00,93.55
2523.00,93.57
2522.00,93.59
2521.00,93.61
2520.00,93.61
2519.00,93.61
2518.00,93.60
2517.00,93.60
2516.00,93.61
2515.00,93.62
2514.00,93.62
2513.00,93.62
2512.00,93.62
2511.00,93.62
2510.00,93.62
2509.00,93.62
2508.00,93.62
2507.00,93.62
2506.00,93.62
2505.00,93.62
2504.00,93.61
2503.00,93.60
2502.00,93.60
2501.00,93.60
2500.00,93.61
2499.00,93.61
2498.00,93.62
2497.00,93.62
2496.00,93.62
2495.00,93.61
2494.00,93.60
2493.00,93.60
2492.00,93.60
2491.00,93.62
2490.00,93.63
2489.00,93.64
2488.00,93.65
2487.00,93.64
2486.00,93.63
2485.00,93.63
2484.00,93.63
2483.00,93.63
2482.00,93.63
2481.00,93.63
2480.00,93.65
2479.00,93.66
2478.00,93.67
2477.00,93.66
2476.00,93.64
2475.00,93.62
2474.00,93.62
2473.00,93.63
2472.00,93.63
2471.00,93.64
2470.00,93.64
2469.00,93.64
2468.00,93.63
2467.00,93.63
2466.00,93.63
2465.00,93.63
