Created as New Dataset,13.4 Red Wool Shetland sheep
cm-1,%T
2700.00,96.06
2699.00,96.07
2698.00,96.07
2697.00,96.07
2696.00,96.07
2695.00,96.07
2694.00,96.07
2693.00,96.08
2692.00,96.09
2691.00,96.09
2690.00,96.10
2689.00,96.10
2688.00,96.10
2687.00,96.12
2686.00,96.13
2685.00,96.13
2684.00,96.13
2683.00,96.13
2682.00,96.13
2681.00,96.14
2680.00,96.16
2679.00,96.17
2678.00,96.18
2677.00,96.18
2676.00,96.18
2675.00,96.18
2674.00,96.17
2673.00,96.18
2672.00,96.18
2671.00,96.18
2670.00,96.17
2669.00,96.16
2668.00,96.17
2667.00,96.18
2666.00,96.20
2665.00,96.22
2664.00,96.23
2663.00,96.22
2662.00,96.21
2661.00,96.20
2660.00,96.19
2659.00,96.19
2658.00,96.19
2657.00,96.19
2656.00,96.20
2655.00,96.21
2654.00,96.22
2653.00,96.23
2652.00,96.25
2651.00,96.25
2650.00,96.25
2649.00,96.24
2648.00,96.24
2647.00,96.24
2646.00,96.25
2645.00,96.25
2644.00,96.26
2643.00,96.27
2642.00,96.27
2641.00,96.27
2640.00,96.27
2639.00,96.26
2638.00,96.25
2637.00,96.25
2636.00,96.24
2635.00,96.23
2634.00,96.23
2633.00,96.22
2632.00,96.22
2631.00,96.22
2630.00,96.22
2629.00,96.21
2628.00,96.21
2627.00,96.22
2626.00,96.23
2625.00,96.25
2624.00,96.26
2623.00,96.27
2622.00,96.26
2621.00,96.25
2620.00,96.24
2619.00,96.23
2618.00,96.23
2617.00,96.23
2616.00,96.23
2615.00,96.23
2614.00,96.22
2613.00,96.22
2612.00,96.23
2611.00,96.25
2610.00,96.27
2609.00,96.28
2608.00,96.29
2607.00,96.30
2606.00,96.30
2605.00,96.30
2604.00,96.31
2603.00,96.32
2602.00,96.31
2601.00,96.31
2600.00,96.30
2599.00,96.30
2598.00,96.31
2597.00,96.32
2596.00,96.34
2595.00,96.35
2594.00,96.35
2593.00,96.34
2592.00,96.32
2591.00,96.31
2590.00,96.31
2589.00,96.32
2588.00,96.34
2587.00,96.35
2586.00,96.35
2585.00,96.35
2584.00,96.34
2583.00,96.33
2582.00,96.32
2581.00,96.32
2580.00,96.33
2579.00,96.35
2578.00,96.37
2577.00,96.38
2576.00,96.38
2575.00,96.38
2574.00,96.38
2573.00,96.39
2572.00,96.41
2571.00,96.44
2570.00,96.46
2569.00,96.47
2568.00,96.45
2567.00,96.41
2566.00,96.38
2565.00,96.36
2564.00,96.35
2563.00,96.35
2562.00,96.34
2561.00,96.35
2560.00,96.36
2559.00,96.39
2558.00,96.42
2557.00,96.43
2556.00,96.43
2555.00,96.44
2554.00,96.46
2553.00,96.47
2552.00,96.47
2551.00,96.47
2550.00,96.47
2549.00,96.47
2548.00,96.48
2547.00,96.48
2546.00,96.46
2545.00,96.44
2544.00,96.42
2543.00,96.43
2542.00,96.46
2541.00,96.48
2540.00,96.50
2539.00,96.52
2538.00,96.51
2537.00,96.50
2536.00,96.48
2535.00,96.45
2534.00,96.43
2533.00,96.43
2532.00,96.46
2531.00,96.50
2530.00,96.54
2529.00,96.55
2528.00,96.55
2527.00,96.53
2526.00,96.52
2525.00,96.50
2524.00,96.48
2523.00,96.46
2522.00,96.45
2521.00,96.44
2520.00,96.43
2519.00,96.44
2518.00,96.46
2517.00,96.48
2516.00,96.50
2515.00,96.52
2514.00,96.54
2513.00,96.54
2512.00,96.55
2511.00,96.54
2510.00,96.54
2509.00,96.54
2508.00,96.55
2507.00,96.56
2506.00,96.57
2505.00,96.58
2504.00,96.59
2503.00,96.61
2502.00,96.60
2501.00,96.59
2500.00,96.58
2499.00,96.58
2498.00,96.59
2497.00,96.58
2496.00,96.57
2495.00,96.56
2494.00,96.56
2493.00,96.57
2492.00,96.58
2491.00,96.59
2490.00,96.61
2489.00,96.62
2488.00,96.62
2487.00,96.62
2486.00,96.62
2485.00,96.63
2484.00,96.65
2483.00,96.70
2482.00,96.74
2481.00,96.76
2480.00,96.75
2479.00,96.73
2478.00,96.71
2477.00,96.70
2476.00,96.70
2475.00,96.69
2474.00,96.70
2473.00,96.71
2472.00,96.73
2471.00,96.75
2470.00,96.76
2469.00,96.75
2468.00,96.73
2467.00,96.71
2466.00,96.70
2465.00,96.71
