Created as New Dataset,Shoemaker's thread
cm-1,%T
2568.00,98.15
2567.00,98.15
2566.00,98.17
2565.00,98.18
2564.00,98.19
2563.00,98.20
2562.00,98.21
2561.00,98.21
2560.00,98.22
2559.00,98.22
2558.00,98.23
2557.00,98.23
2556.00,98.22
2555.00,98.21
2554.00,98.21
2553.00,98.21
2552.00,98.22
2551.00,98.24
2550.00,98.26
2549.00,98.27
2548.00,98.26
2547.00,98.24
2546.00,98.22
2545.00,98.22
2544.00,98.23
2543.00,98.24
2542.00,98.25
2541.00,98.26
2540.00,98.26
2539.00,98.25
2538.00,98.23
2537.00,98.21
2536.00,98.21
2535.00,98.21
2534.00,98.22
2533.00,98.22
2532.00,98.21
2531.00,98.20
2530.00,98.20
2529.00,98.21
2528.00,98.22
2527.00,98.24
2526.00,98.24
2525.00,98.25
2524.00,98.26
2523.00,98.27
2522.00,98.28
2521.00,98.28
2520.00,98.27
2519.00,98.26
2518.00,98.26
2517.00,98.26
2516.00,98.27
2515.00,98.29
2514.00,98.31
2513.00,98.32
2512.00,98.33
2511.00,98.33
2510.00,98.34
2509.00,98.34
2508.00,98.33
2507.00,98.33
2506.00,98.32
2505.00,98.31
2504.00,98.32
2503.00,98.34
2502.00,98.37
2501.00,98.40
2500.00,98.40
2499.00,98.40
2498.00,98.40
2497.00,98.41
2496.00,98.42
2495.00,98.42
2494.00,98.42
2493.00,98.40
2492.00,98.39
2491.00,98.39
2490.00,98.39
2489.00,98.39
2488.00,98.39
2487.00,98.41
2486.00,98.42
2485.00,98.44
2484.00,98.44
2483.00,98.44
2482.00,98.44
2481.00,98.43
2480.00,98.43
2479.00,98.43
2478.00,98.44
2477.00,98.43
2476.00,98.43
2475.00,98.44
2474.00,98.45
2473.00,98.46
2472.00,98.47
2471.00,98.48
2470.00,98.49
2469.00,98.49
2468.00,98.49
2467.00,98.48
2466.00,98.47
2465.00,98.47
2464.00,98.47
2463.00,98.48
2462.00,98.50
2461.00,98.53
