Created as New Dataset,67. Modacrylic Waxman Dyed
cm-1,%T
2587.00,98.93
2586.00,98.92
2585.00,98.91
2584.00,98.91
2583.00,98.90
2582.00,98.90
2581.00,98.90
2580.00,98.90
2579.00,98.91
2578.00,98.92
2577.00,98.94
2576.00,98.95
2575.00,98.95
2574.00,98.95
2573.00,98.94
2572.00,98.95
2571.00,98.97
2570.00,98.99
2569.00,98.98
2568.00,98.97
2567.00,98.96
2566.00,98.97
2565.00,98.98
2564.00,98.98
2563.00,98.97
2562.00,98.96
2561.00,98.96
2560.00,98.97
2559.00,98.99
2558.00,99.00
2557.00,99.00
2556.00,98.98
2555.00,98.95
2554.00,98.93
2553.00,98.93
2552.00,98.93
2551.00,98.93
2550.00,98.94
2549.00,98.95
2548.00,98.96
2547.00,98.97
2546.00,98.97
2545.00,98.97
2544.00,98.97
2543.00,98.96
2542.00,98.97
2541.00,98.97
2540.00,98.96
2539.00,98.95
2538.00,98.95
2537.00,98.94
2536.00,98.94
2535.00,98.93
2534.00,98.91
2533.00,98.90
2532.00,98.90
2531.00,98.92
2530.00,98.96
2529.00,98.99
2528.00,99.01
2527.00,99.00
2526.00,98.98
2525.00,98.96
2524.00,98.94
2523.00,98.93
2522.00,98.94
2521.00,98.96
2520.00,98.98
2519.00,98.98
2518.00,98.97
2517.00,98.95
2516.00,98.94
2515.00,98.94
2514.00,98.95
2513.00,98.96
2512.00,98.97
2511.00,98.97
2510.00,98.97
2509.00,98.97
2508.00,98.97
2507.00,98.97
2506.00,98.96
2505.00,98.95
2504.00,98.95
2503.00,98.95
2502.00,98.96
2501.00,98.97
2500.00,98.96
2499.00,98.93
2498.00,98.90
2497.00,98.88
2496.00,98.89
2495.00,98.93
2494.00,98.95
2493.00,98.96
2492.00,98.96
2491.00,98.96
2490.00,98.96
2489.00,98.95
2488.00,98.93
2487.00,98.90
2486.00,98.88
2485.00,98.89
2484.00,98.92
2483.00,98.94
2482.00,98.96
2481.00,98.95
2480.00,98.94
2479.00,98.93
2478.00,98.93
2477.00,98.93
2476.00,98.92
2475.00,98.91
2474.00,98.90
2473.00,98.89
2472.00,98.91
2471.00,98.94
2470.00,98.97
2469.00,98.97
2468.00,98.96
2467.00,98.95
2466.00,98.94
2465.00,98.95
