Created as New Dataset,6.4. Raw cotton boll
cm-1,%T
2579.00,96.98
2578.00,96.96
2577.00,96.97
2576.00,96.98
2575.00,96.99
2574.00,96.98
2573.00,96.98
2572.00,96.96
2571.00,96.95
2570.00,96.94
2569.00,96.93
2568.00,96.94
2567.00,96.96
2566.00,96.97
2565.00,96.98
2564.00,96.98
2563.00,96.98
2562.00,96.97
2561.00,96.96
2560.00,96.95
2559.00,96.96
2558.00,96.98
2557.00,96.99
2556.00,97.00
2555.00,96.99
2554.00,96.98
2553.00,96.97
2552.00,96.96
2551.00,96.95
2550.00,96.93
2549.00,96.92
2548.00,96.93
2547.00,96.95
2546.00,96.97
2545.00,96.99
2544.00,96.98
2543.00,96.96
2542.00,96.95
2541.00,96.95
2540.00,96.96
2539.00,96.98
2538.00,96.98
2537.00,96.97
2536.00,96.95
2535.00,96.92
2534.00,96.91
2533.00,96.91
2532.00,96.93
2531.00,96.95
2530.00,96.96
2529.00,96.96
2528.00,96.96
2527.00,96.96
2526.00,96.95
2525.00,96.96
2524.00,96.97
2523.00,97.00
2522.00,97.02
2521.00,97.03
2520.00,97.04
2519.00,97.05
2518.00,97.05
2517.00,97.04
2516.00,97.02
2515.00,97.00
2514.00,96.98
2513.00,96.96
2512.00,96.93
2511.00,96.91
2510.00,96.91
2509.00,96.92
2508.00,96.95
2507.00,96.97
2506.00,97.00
2505.00,97.01
2504.00,97.01
2503.00,96.99
2502.00,96.97
2501.00,96.97
2500.00,96.98
2499.00,96.99
2498.00,97.00
2497.00,97.00
2496.00,97.00
2495.00,97.00
2494.00,97.01
2493.00,97.01
2492.00,97.02
2491.00,97.02
2490.00,97.03
2489.00,97.05
2488.00,97.07
2487.00,97.08
2486.00,97.07
2485.00,97.04
2484.00,97.00
2483.00,96.99
2482.00,96.99
2481.00,97.01
2480.00,97.03
2479.00,97.04
2478.00,97.05
2477.00,97.06
2476.00,97.07
2475.00,97.09
2474.00,97.12
2473.00,97.13
2472.00,97.14
2471.00,97.15
2470.00,97.14
2469.00,97.12
2468.00,97.09
2467.00,97.07
2466.00,97.07
2465.00,97.08
2464.00,97.08
2463.00,97.08
