Created as New Dataset,187 Cortaulds
cm-1,%T
2755.00,100.35
2754.00,100.34
2753.00,100.33
2752.00,100.32
2751.00,100.32
2750.00,100.32
2749.00,100.33
2748.00,100.33
2747.00,100.33
2746.00,100.33
2745.00,100.31
2744.00,100.29
2743.00,100.28
2742.00,100.27
2741.00,100.27
2740.00,100.28
2739.00,100.29
2738.00,100.30
2737.00,100.32
2736.00,100.32
2735.00,100.33
2734.00,100.33
2733.00,100.33
2732.00,100.33
2731.00,100.34
2730.00,100.34
2729.00,100.34
2728.00,100.34
2727.00,100.34
2726.00,100.34
2725.00,100.33
2724.00,100.34
2723.00,100.34
2722.00,100.35
2721.00,100.37
2720.00,100.38
2719.00,100.39
2718.00,100.40
2717.00,100.41
2716.00,100.42
2715.00,100.42
2714.00,100.42
2713.00,100.41
2712.00,100.40
2711.00,100.39
2710.00,100.39
2709.00,100.40
2708.00,100.41
2707.00,100.42
2706.00,100.43
2705.00,100.44
2704.00,100.45
2703.00,100.45
2702.00,100.46
2701.00,100.46
2700.00,100.45
2699.00,100.44
2698.00,100.43
2697.00,100.42
2696.00,100.42
2695.00,100.43
2694.00,100.44
2693.00,100.44
2692.00,100.45
2691.00,100.45
2690.00,100.46
2689.00,100.47
2688.00,100.47
2687.00,100.46
2686.00,100.45
2685.00,100.45
2684.00,100.45
2683.00,100.46
2682.00,100.47
2681.00,100.47
2680.00,100.48
2679.00,100.48
2678.00,100.48
2677.00,100.48
2676.00,100.49
2675.00,100.49
2674.00,100.50
2673.00,100.51
2672.00,100.52
2671.00,100.51
2670.00,100.51
2669.00,100.50
2668.00,100.51
2667.00,100.52
2666.00,100.54
2665.00,100.57
2664.00,100.58
2663.00,100.58
2662.00,100.56
2661.00,100.54
2660.00,100.53
2659.00,100.53
2658.00,100.54
2657.00,100.54
2656.00,100.53
2655.00,100.52
2654.00,100.50
2653.00,100.50
2652.00,100.51
2651.00,100.53
2650.00,100.54
2649.00,100.56
2648.00,100.56
2647.00,100.56
2646.00,100.56
2645.00,100.55
2644.00,100.54
2643.00,100.54
2642.00,100.55
2641.00,100.56
2640.00,100.56
2639.00,100.55
2638.00,100.55
2637.00,100.55
2636.00,100.55
2635.00,100.54
2634.00,100.54
2633.00,100.54
2632.00,100.52
2631.00,100.51
2630.00,100.51
2629.00,100.53
2628.00,100.54
2627.00,100.56
2626.00,100.56
2625.00,100.56
2624.00,100.56
2623.00,100.55
2622.00,100.54
2621.00,100.55
2620.00,100.56
2619.00,100.57
2618.00,100.58
2617.00,100.59
2616.00,100.61
2615.00,100.63
2614.00,100.65
2613.00,100.66
2612.00,100.66
2611.00,100.65
2610.00,100.63
2609.00,100.61
2608.00,100.59
2607.00,100.58
2606.00,100.59
2605.00,100.59
2604.00,100.60
2603.00,100.62
2602.00,100.63
