Created as New Dataset,15.3 Red Wool sheep very fine
cm-1,%T
2781.00,95.18
2780.00,95.20
2779.00,95.20
2778.00,95.20
2777.00,95.19
2776.00,95.18
2775.00,95.18
2774.00,95.19
2773.00,95.21
2772.00,95.23
2771.00,95.25
2770.00,95.26
2769.00,95.26
2768.00,95.25
2767.00,95.25
2766.00,95.26
2765.00,95.27
2764.00,95.28
2763.00,95.30
2762.00,95.31
2761.00,95.33
2760.00,95.34
2759.00,95.36
2758.00,95.36
2757.00,95.36
2756.00,95.37
2755.00,95.37
2754.00,95.39
2753.00,95.40
2752.00,95.40
2751.00,95.40
2750.00,95.40
2749.00,95.41
2748.00,95.41
2747.00,95.42
2746.00,95.42
2745.00,95.42
2744.00,95.42
2743.00,95.42
2742.00,95.43
2741.00,95.44
2740.00,95.45
2739.00,95.45
2738.00,95.45
2737.00,95.45
2736.00,95.45
2735.00,95.45
2734.00,95.46
2733.00,95.48
2732.00,95.49
2731.00,95.50
2730.00,95.50
2729.00,95.50
2728.00,95.50
2727.00,95.51
2726.00,95.52
2725.00,95.54
2724.00,95.55
2723.00,95.55
2722.00,95.55
2721.00,95.56
2720.00,95.57
2719.00,95.59
2718.00,95.61
2717.00,95.61
2716.00,95.62
2715.00,95.62
2714.00,95.63
2713.00,95.62
2712.00,95.62
2711.00,95.62
2710.00,95.63
2709.00,95.64
2708.00,95.66
2707.00,95.67
2706.00,95.68
2705.00,95.68
2704.00,95.69
2703.00,95.69
2702.00,95.70
2701.00,95.71
2700.00,95.71
2699.00,95.70
2698.00,95.70
2697.00,95.69
2696.00,95.70
2695.00,95.72
2694.00,95.74
2693.00,95.76
2692.00,95.78
2691.00,95.78
2690.00,95.77
2689.00,95.75
2688.00,95.74
2687.00,95.75
2686.00,95.77
2685.00,95.79
2684.00,95.81
2683.00,95.82
2682.00,95.82
2681.00,95.82
2680.00,95.82
2679.00,95.82
2678.00,95.83
2677.00,95.83
2676.00,95.83
2675.00,95.82
2674.00,95.81
2673.00,95.82
2672.00,95.82
2671.00,95.83
2670.00,95.83
2669.00,95.83
2668.00,95.84
2667.00,95.85
2666.00,95.86
2665.00,95.86
2664.00,95.86
2663.00,95.85
2662.00,95.84
2661.00,95.83
2660.00,95.83
2659.00,95.83
2658.00,95.84
2657.00,95.85
2656.00,95.86
2655.00,95.86
2654.00,95.86
2653.00,95.86
2652.00,95.85
2651.00,95.84
2650.00,95.83
2649.00,95.82
2648.00,95.81
2647.00,95.82
2646.00,95.82
2645.00,95.82
2644.00,95.81
2643.00,95.79
2642.00,95.78
2641.00,95.79
2640.00,95.80
2639.00,95.82
2638.00,95.83
2637.00,95.82
2636.00,95.81
2635.00,95.80
2634.00,95.79
2633.00,95.79
2632.00,95.79
2631.00,95.79
2630.00,95.78
2629.00,95.78
2628.00,95.77
2627.00,95.77
2626.00,95.77
2625.00,95.76
2624.00,95.76
2623.00,95.76
2622.00,95.76
2621.00,95.75
2620.00,95.75
2619.00,95.75
2618.00,95.74
2617.00,95.73
2616.00,95.72
2615.00,95.72
2614.00,95.73
2613.00,95.76
2612.00,95.79
2611.00,95.80
2610.00,95.79
2609.00,95.77
2608.00,95.75
2607.00,95.74
2606.00,95.75
2605.00,95.76
2604.00,95.78
2603.00,95.79
2602.00,95.80
2601.00,95.79
2600.00,95.77
2599.00,95.75
2598.00,95.74
2597.00,95.73
2596.00,95.74
2595.00,95.75
2594.00,95.76
2593.00,95.77
2592.00,95.77
2591.00,95.76
2590.00,95.75
2589.00,95.74
2588.00,95.75
2587.00,95.76
2586.00,95.78
2585.00,95.79
2584.00,95.79
2583.00,95.79
2582.00,95.77
2581.00,95.75
2580.00,95.74
2579.00,95.75
2578.00,95.77
2577.00,95.80
2576.00,95.83
2575.00,95.83
2574.00,95.80
2573.00,95.75
2572.00,95.71
2571.00,95.70
2570.00,95.71
2569.00,95.72
2568.00,95.73
2567.00,95.73
2566.00,95.73
2565.00,95.73
2564.00,95.73
2563.00,95.72
2562.00,95.71
2561.00,95.71
2560.00,95.71
2559.00,95.72
2558.00,95.74
2557.00,95.75
2556.00,95.77
2555.00,95.78
2554.00,95.79
2553.00,95.79
2552.00,95.80
2551.00,95.81
2550.00,95.82
2549.00,95.82
2548.00,95.82
2547.00,95.82
2546.00,95.82
2545.00,95.81
2544.00,95.79
2543.00,95.77
2542.00,95.75
2541.00,95.74
2540.00,95.76
2539.00,95.78
2538.00,95.79
2537.00,95.79
2536.00,95.80
2535.00,95.81
2534.00,95.83
2533.00,95.84
2532.00,95.83
2531.00,95.81
2530.00,95.79
2529.00,95.77
2528.00,95.76
2527.00,95.76
2526.00,95.78
2525.00,95.79
2524.00,95.81
2523.00,95.83
2522.00,95.84
2521.00,95.83
2520.00,95.81
2519.00,95.80
2518.00,95.80
2517.00,95.81
2516.00,95.84
2515.00,95.85
2514.00,95.86
2513.00,95.86
2512.00,95.85
2511.00,95.85
2510.00,95.86
2509.00,95.86
2508.00,95.85
2507.00,95.83
2506.00,95.82
2505.00,95.80
2504.00,95.80
2503.00,95.81
2502.00,95.84
2501.00,95.86
2500.00,95.87
2499.00,95.88
2498.00,95.89
2497.00,95.90
2496.00,95.91
2495.00,95.90
2494.00,95.89
2493.00,95.88
2492.00,95.88
2491.00,95.88
2490.00,95.89
2489.00,95.90
2488.00,95.90
2487.00,95.91
2486.00,95.90
2485.00,95.89
2484.00,95.88
2483.00,95.88
2482.00,95.87
2481.00,95.87
2480.00,95.88
2479.00,95.89
2478.00,95.91
2477.00,95.91
2476.00,95.90
2475.00,95.88
2474.00,95.87
2473.00,95.87
2472.00,95.89
2471.00,95.91
2470.00,95.93
2469.00,95.93
2468.00,95.92
2467.00,95.91
2466.00,95.91
2465.00,95.90
2464.00,95.89
