Created as New Dataset,Mercerised Cotton 5/2 (Light Green)
cm-1,%T
2761.00,95.70
2760.00,95.70
2759.00,95.71
2758.00,95.71
2757.00,95.71
2756.00,95.71
2755.00,95.72
2754.00,95.72
2753.00,95.73
2752.00,95.72
2751.00,95.71
2750.00,95.70
2749.00,95.69
2748.00,95.68
2747.00,95.69
2746.00,95.71
2745.00,95.72
2744.00,95.73
2743.00,95.73
2742.00,95.73
2741.00,95.73
2740.00,95.73
2739.00,95.74
2738.00,95.73
2737.00,95.72
2736.00,95.71
2735.00,95.70
2734.00,95.70
2733.00,95.70
2732.00,95.70
2731.00,95.71
2730.00,95.72
2729.00,95.74
2728.00,95.77
2727.00,95.79
2726.00,95.81
2725.00,95.82
2724.00,95.83
2723.00,95.84
2722.00,95.85
2721.00,95.86
2720.00,95.85
2719.00,95.85
2718.00,95.85
2717.00,95.87
2716.00,95.89
2715.00,95.91
2714.00,95.93
2713.00,95.95
2712.00,95.96
2711.00,95.98
2710.00,96.01
2709.00,96.02
2708.00,96.04
2707.00,96.05
2706.00,96.05
2705.00,96.04
2704.00,96.03
2703.00,96.04
2702.00,96.04
2701.00,96.05
2700.00,96.05
2699.00,96.06
2698.00,96.06
2697.00,96.07
2696.00,96.08
2695.00,96.10
2694.00,96.12
2693.00,96.14
2692.00,96.15
2691.00,96.16
2690.00,96.17
2689.00,96.17
2688.00,96.17
2687.00,96.18
2686.00,96.18
2685.00,96.19
2684.00,96.20
2683.00,96.21
2682.00,96.23
2681.00,96.25
2680.00,96.27
2679.00,96.28
2678.00,96.30
2677.00,96.30
2676.00,96.31
2675.00,96.30
2674.00,96.30
2673.00,96.31
2672.00,96.33
2671.00,96.35
2670.00,96.35
2669.00,96.36
2668.00,96.37
2667.00,96.38
2666.00,96.41
2665.00,96.42
2664.00,96.42
2663.00,96.40
2662.00,96.38
2661.00,96.37
2660.00,96.36
2659.00,96.37
2658.00,96.38
2657.00,96.39
2656.00,96.40
2655.00,96.41
2654.00,96.41
2653.00,96.40
2652.00,96.40
2651.00,96.40
2650.00,96.40
2649.00,96.40
2648.00,96.41
2647.00,96.41
2646.00,96.41
2645.00,96.40
2644.00,96.38
2643.00,96.37
2642.00,96.36
2641.00,96.35
2640.00,96.33
2639.00,96.33
2638.00,96.32
2637.00,96.32
2636.00,96.32
2635.00,96.32
2634.00,96.33
2633.00,96.33
2632.00,96.33
2631.00,96.32
2630.00,96.32
2629.00,96.32
2628.00,96.33
2627.00,96.36
2626.00,96.39
2625.00,96.40
2624.00,96.41
2623.00,96.40
2622.00,96.38
2621.00,96.35
2620.00,96.34
2619.00,96.33
2618.00,96.33
2617.00,96.34
2616.00,96.34
2615.00,96.35
2614.00,96.36
2613.00,96.37
2612.00,96.36
2611.00,96.35
2610.00,96.34
2609.00,96.33
2608.00,96.33
2607.00,96.34
2606.00,96.35
2605.00,96.37
2604.00,96.37
2603.00,96.37
2602.00,96.36
2601.00,96.35
2600.00,96.33
2599.00,96.32
2598.00,96.32
2597.00,96.33
2596.00,96.35
2595.00,96.37
2594.00,96.38
2593.00,96.38
2592.00,96.37
2591.00,96.35
2590.00,96.35
2589.00,96.35
2588.00,96.37
2587.00,96.38
2586.00,96.39
2585.00,96.40
2584.00,96.39
2583.00,96.38
2582.00,96.37
2581.00,96.36
2580.00,96.34
2579.00,96.33
2578.00,96.32
2577.00,96.32
2576.00,96.31
2575.00,96.32
2574.00,96.32
2573.00,96.32
2572.00,96.33
2571.00,96.35
2570.00,96.36
2569.00,96.37
2568.00,96.36
2567.00,96.34
2566.00,96.33
2565.00,96.32
2564.00,96.33
2563.00,96.34
2562.00,96.35
2561.00,96.35
2560.00,96.34
2559.00,96.34
2558.00,96.35
2557.00,96.37
2556.00,96.38
2555.00,96.39
2554.00,96.40
2553.00,96.40
2552.00,96.41
2551.00,96.43
2550.00,96.44
2549.00,96.44
2548.00,96.43
2547.00,96.41
2546.00,96.40
2545.00,96.40
2544.00,96.38
2543.00,96.37
2542.00,96.35
2541.00,96.34
2540.00,96.33
2539.00,96.32
2538.00,96.32
2537.00,96.32
2536.00,96.33
2535.00,96.33
2534.00,96.33
2533.00,96.33
2532.00,96.33
2531.00,96.34
2530.00,96.34
2529.00,96.34
2528.00,96.32
2527.00,96.31
2526.00,96.30
2525.00,96.30
2524.00,96.33
2523.00,96.36
2522.00,96.38
2521.00,96.39
2520.00,96.39
2519.00,96.38
2518.00,96.37
2517.00,96.37
2516.00,96.38
2515.00,96.39
2514.00,96.41
2513.00,96.44
2512.00,96.47
2511.00,96.48
2510.00,96.48
2509.00,96.47
2508.00,96.47
2507.00,96.47
2506.00,96.46
2505.00,96.44
2504.00,96.43
2503.00,96.43
2502.00,96.44
2501.00,96.46
2500.00,96.48
2499.00,96.49
2498.00,96.50
2497.00,96.51
2496.00,96.53
2495.00,96.56
2494.00,96.58
2493.00,96.59
2492.00,96.58
2491.00,96.55
2490.00,96.54
2489.00,96.54
2488.00,96.55
2487.00,96.56
2486.00,96.55
2485.00,96.53
2484.00,96.51
2483.00,96.50
2482.00,96.51
2481.00,96.54
2480.00,96.59
2479.00,96.63
2478.00,96.64
2477.00,96.61
2476.00,96.58
2475.00,96.56
2474.00,96.55
2473.00,96.55
2472.00,96.56
2471.00,96.56
2470.00,96.57
2469.00,96.58
2468.00,96.59
2467.00,96.59
