Created as New Dataset,14.4 Red Wool Sheep felt handmade
cm-1,%T
2963.00,92.29
2962.00,92.26
2961.00,92.23
2960.00,92.21
2959.00,92.20
2958.00,92.20
2957.00,92.20
2956.00,92.20
2955.00,92.22
2954.00,92.26
2953.00,92.31
2952.00,92.36
2951.00,92.41
2950.00,92.43
2949.00,92.43
2948.00,92.43
2947.00,92.42
2946.00,92.40
2945.00,92.37
2944.00,92.34
2943.00,92.30
2942.00,92.25
2941.00,92.20
2940.00,92.15
2939.00,92.11
2938.00,92.06
2937.00,92.02
2936.00,91.97
2935.00,91.93
2934.00,91.89
2933.00,91.84
2932.00,91.79
2931.00,91.74
2930.00,91.68
2929.00,91.61
2928.00,91.54
2927.00,91.45
2926.00,91.36
2925.00,91.28
2924.00,91.21
2923.00,91.16
2922.00,91.13
2921.00,91.12
2920.00,91.12
2919.00,91.14
2918.00,91.19
2917.00,91.28
2916.00,91.41
2915.00,91.57
2914.00,91.75
2913.00,91.92
2912.00,92.08
2911.00,92.23
2910.00,92.37
2909.00,92.50
2908.00,92.60
2907.00,92.68
2906.00,92.75
2905.00,92.81
2904.00,92.87
2903.00,92.93
2902.00,92.98
2901.00,93.02
2900.00,93.06
2899.00,93.11
2898.00,93.15
2897.00,93.19
2896.00,93.23
2895.00,93.25
2894.00,93.28
2893.00,93.30
2892.00,93.33
2891.00,93.35
2890.00,93.37
2889.00,93.39
2888.00,93.42
2887.00,93.46
2886.00,93.49
2885.00,93.50
2884.00,93.50
2883.00,93.50
2882.00,93.49
2881.00,93.47
2880.00,93.45
2879.00,93.42
2878.00,93.40
2877.00,93.39
2876.00,93.39
2875.00,93.40
2874.00,93.41
2873.00,93.42
2872.00,93.43
2871.00,93.44
2870.00,93.47
2869.00,93.52
2868.00,93.56
2867.00,93.60
2866.00,93.63
2865.00,93.64
2864.00,93.64
2863.00,93.64
2862.00,93.65
2861.00,93.65
2860.00,93.63
2859.00,93.61
2858.00,93.57
2857.00,93.52
2856.00,93.45
2855.00,93.36
2854.00,93.27
2853.00,93.19
2852.00,93.13
2851.00,93.12
2850.00,93.16
2849.00,93.25
2848.00,93.39
2847.00,93.55
2846.00,93.71
2845.00,93.86
2844.00,93.99
2843.00,94.10
2842.00,94.20
2841.00,94.29
2840.00,94.37
2839.00,94.43
2838.00,94.48
2837.00,94.53
2836.00,94.57
2835.00,94.60
2834.00,94.64
2833.00,94.66
2832.00,94.69
2831.00,94.71
2830.00,94.72
2829.00,94.73
2828.00,94.75
2827.00,94.78
2826.00,94.81
2825.00,94.84
2824.00,94.86
2823.00,94.87
2822.00,94.88
2821.00,94.89
2820.00,94.91
2819.00,94.92
2818.00,94.94
2817.00,94.95
2816.00,94.96
2815.00,94.96
2814.00,94.98
2813.00,95.00
2812.00,95.03
2811.00,95.05
2810.00,95.06
2809.00,95.07
2808.00,95.07
2807.00,95.07
2806.00,95.07
2805.00,95.08
2804.00,95.09
2803.00,95.10
2802.00,95.11
2801.00,95.12
2800.00,95.13
2799.00,95.14
2798.00,95.14
2797.00,95.14
2796.00,95.15
2795.00,95.16
2794.00,95.18
2793.00,95.20
2792.00,95.21
2791.00,95.21
2790.00,95.22
2789.00,95.24
2788.00,95.25
2787.00,95.27
2786.00,95.27
2785.00,95.28
2784.00,95.28
2783.00,95.29
2782.00,95.31
2781.00,95.33
2780.00,95.33
2779.00,95.33
2778.00,95.32
2777.00,95.33
2776.00,95.35
2775.00,95.37
2774.00,95.39
2773.00,95.40
2772.00,95.41
2771.00,95.42
2770.00,95.43
2769.00,95.43
2768.00,95.43
2767.00,95.44
2766.00,95.45
2765.00,95.46
2764.00,95.47
2763.00,95.48
2762.00,95.49
2761.00,95.50
2760.00,95.51
2759.00,95.51
2758.00,95.51
2757.00,95.51
2756.00,95.51
2755.00,95.52
2754.00,95.52
2753.00,95.53
2752.00,95.54
2751.00,95.56
2750.00,95.58
2749.00,95.60
2748.00,95.60
2747.00,95.61
2746.00,95.61
2745.00,95.61
2744.00,95.62
2743.00,95.64
2742.00,95.66
2741.00,95.67
2740.00,95.67
2739.00,95.67
2738.00,95.66
2737.00,95.65
2736.00,95.66
2735.00,95.67
2734.00,95.68
2733.00,95.69
2732.00,95.69
2731.00,95.69
2730.00,95.69
2729.00,95.70
2728.00,95.70
2727.00,95.72
2726.00,95.73
2725.00,95.74
2724.00,95.75
2723.00,95.77
2722.00,95.78
2721.00,95.80
2720.00,95.81
2719.00,95.82
2718.00,95.82
2717.00,95.83
2716.00,95.83
2715.00,95.85
2714.00,95.87
2713.00,95.89
2712.00,95.90
2711.00,95.89
2710.00,95.87
2709.00,95.87
2708.00,95.87
2707.00,95.88
2706.00,95.88
2705.00,95.88
2704.00,95.89
2703.00,95.90
2702.00,95.91
2701.00,95.92
2700.00,95.93
2699.00,95.93
2698.00,95.93
2697.00,95.93
2696.00,95.93
2695.00,95.94
2694.00,95.95
2693.00,95.95
2692.00,95.95
2691.00,95.96
2690.00,95.97
2689.00,95.98
2688.00,95.99
2687.00,95.99
2686.00,95.99
2685.00,95.99
2684.00,95.99
2683.00,95.99
2682.00,96.00
2681.00,96.01
2680.00,96.01
2679.00,96.01
2678.00,96.01
2677.00,96.00
2676.00,96.01
2675.00,96.02
2674.00,96.03
2673.00,96.03
2672.00,96.04
2671.00,96.04
2670.00,96.05
2669.00,96.07
2668.00,96.08
2667.00,96.09
2666.00,96.09
2665.00,96.08
2664.00,96.07
2663.00,96.06
2662.00,96.05
2661.00,96.05
2660.00,96.04
2659.00,96.03
2658.00,96.03
2657.00,96.03
2656.00,96.04
2655.00,96.05
2654.00,96.06
2653.00,96.06
2652.00,96.05
2651.00,96.03
2650.00,96.02
2649.00,96.02
2648.00,96.02
2647.00,96.02
2646.00,96.02
2645.00,96.01
2644.00,96.01
2643.00,96.01
2642.00,96.01
2641.00,96.01
2640.00,96.00
2639.00,96.00
2638.00,96.00
2637.00,96.01
2636.00,96.02
2635.00,96.02
2634.00,96.02
2633.00,96.02
2632.00,96.01
2631.00,96.00
2630.00,95.99
2629.00,95.97
2628.00,95.96
2627.00,95.95
2626.00,95.95
2625.00,95.95
2624.00,95.96
2623.00,95.98
2622.00,96.00
2621.00,96.03
2620.00,96.04
2619.00,96.04
2618.00,96.03
2617.00,96.03
2616.00,96.02
2615.00,96.02
2614.00,96.01
2613.00,96.01
2612.00,96.00
2611.00,96.00
2610.00,95.99
2609.00,95.98
2608.00,95.96
2607.00,95.96
2606.00,95.98
