Created as New Dataset,127 Shaw Industries
cm-1,%T
2572.00,99.82
2571.00,99.84
2570.00,99.85
2569.00,99.87
2568.00,99.89
2567.00,99.91
2566.00,99.91
2565.00,99.90
2564.00,99.88
2563.00,99.88
2562.00,99.90
2561.00,99.94
2560.00,99.97
2559.00,99.99
2558.00,99.98
2557.00,99.95
2556.00,99.93
2555.00,99.93
2554.00,99.94
2553.00,99.95
2552.00,99.96
2551.00,99.95
2550.00,99.94
2549.00,99.94
2548.00,99.94
2547.00,99.95
2546.00,99.96
2545.00,99.97
2544.00,99.96
2543.00,99.94
2542.00,99.91
2541.00,99.90
2540.00,99.91
2539.00,99.94
2538.00,99.96
2537.00,99.97
2536.00,99.96
2535.00,99.95
2534.00,99.94
2533.00,99.93
2532.00,99.92
2531.00,99.92
2530.00,99.93
2529.00,99.95
2528.00,99.96
2527.00,99.97
2526.00,99.98
2525.00,99.99
2524.00,99.99
2523.00,99.98
2522.00,99.97
2521.00,99.96
2520.00,99.96
2519.00,99.96
2518.00,99.96
2517.00,99.97
2516.00,99.99
2515.00,100.01
2514.00,100.03
2513.00,100.04
2512.00,100.03
2511.00,100.01
2510.00,99.99
2509.00,99.98
2508.00,99.99
2507.00,100.01
2506.00,100.03
2505.00,100.03
2504.00,100.02
2503.00,100.02
2502.00,100.02
2501.00,100.02
2500.00,100.00
2499.00,99.98
2498.00,99.97
2497.00,99.98
2496.00,100.01
2495.00,100.04
2494.00,100.06
2493.00,100.07
2492.00,100.07
2491.00,100.05
2490.00,100.02
2489.00,100.01
2488.00,99.99
2487.00,99.98
2486.00,99.97
2485.00,99.99
2484.00,100.02
2483.00,100.06
2482.00,100.07
2481.00,100.06
2480.00,100.04
2479.00,100.03
2478.00,100.02
2477.00,100.02
2476.00,100.02
2475.00,100.03
2474.00,100.04
2473.00,100.05
2472.00,100.06
2471.00,100.06
2470.00,100.06
2469.00,100.06
2468.00,100.06
2467.00,100.05
2466.00,100.04
2465.00,100.03
2464.00,100.02
2463.00,100.01
2462.00,100.00
2461.00,99.98
