Created as New Dataset,16.2 Bombyx mori
cm-1,%T
2668.00,95.49
2667.00,95.48
2666.00,95.46
2665.00,95.45
2664.00,95.44
2663.00,95.44
2662.00,95.45
2661.00,95.46
2660.00,95.47
2659.00,95.47
2658.00,95.46
2657.00,95.45
2656.00,95.44
2655.00,95.43
2654.00,95.41
2653.00,95.40
2652.00,95.40
2651.00,95.40
2650.00,95.40
2649.00,95.40
2648.00,95.39
2647.00,95.38
2646.00,95.37
2645.00,95.36
2644.00,95.36
2643.00,95.36
2642.00,95.36
2641.00,95.36
2640.00,95.35
2639.00,95.34
2638.00,95.34
2637.00,95.34
2636.00,95.33
2635.00,95.31
2634.00,95.28
2633.00,95.25
2632.00,95.24
2631.00,95.23
2630.00,95.23
2629.00,95.23
2628.00,95.23
2627.00,95.23
2626.00,95.22
2625.00,95.20
2624.00,95.19
2623.00,95.18
2622.00,95.18
2621.00,95.19
2620.00,95.21
2619.00,95.22
2618.00,95.22
2617.00,95.21
2616.00,95.19
2615.00,95.17
2614.00,95.16
2613.00,95.16
2612.00,95.17
2611.00,95.18
2610.00,95.19
2609.00,95.20
2608.00,95.20
2607.00,95.19
2606.00,95.17
2605.00,95.15
2604.00,95.14
2603.00,95.13
2602.00,95.14
2601.00,95.17
2600.00,95.19
2599.00,95.20
2598.00,95.20
2597.00,95.19
2596.00,95.19
2595.00,95.20
2594.00,95.20
2593.00,95.18
2592.00,95.16
2591.00,95.14
2590.00,95.13
2589.00,95.13
2588.00,95.12
2587.00,95.12
2586.00,95.11
2585.00,95.10
2584.00,95.11
2583.00,95.13
2582.00,95.14
2581.00,95.16
2580.00,95.16
2579.00,95.16
2578.00,95.14
2577.00,95.14
2576.00,95.16
2575.00,95.20
2574.00,95.23
2573.00,95.24
2572.00,95.21
2571.00,95.17
2570.00,95.14
2569.00,95.12
2568.00,95.12
2567.00,95.12
2566.00,95.13
2565.00,95.12
2564.00,95.12
2563.00,95.13
2562.00,95.14
2561.00,95.16
2560.00,95.17
2559.00,95.18
2558.00,95.18
2557.00,95.17
2556.00,95.16
2555.00,95.16
2554.00,95.17
2553.00,95.17
2552.00,95.15
2551.00,95.13
2550.00,95.13
2549.00,95.14
2548.00,95.14
2547.00,95.15
2546.00,95.16
2545.00,95.17
2544.00,95.18
2543.00,95.19
2542.00,95.20
2541.00,95.20
2540.00,95.21
2539.00,95.21
2538.00,95.20
2537.00,95.18
2536.00,95.17
2535.00,95.19
2534.00,95.20
2533.00,95.20
2532.00,95.19
2531.00,95.18
2530.00,95.17
2529.00,95.18
2528.00,95.19
2527.00,95.21
2526.00,95.22
2525.00,95.20
2524.00,95.19
2523.00,95.19
2522.00,95.20
2521.00,95.20
2520.00,95.19
2519.00,95.17
2518.00,95.17
2517.00,95.19
2516.00,95.21
2515.00,95.24
2514.00,95.26
2513.00,95.27
2512.00,95.26
2511.00,95.24
2510.00,95.21
2509.00,95.19
2508.00,95.17
2507.00,95.17
2506.00,95.18
2505.00,95.19
2504.00,95.19
2503.00,95.20
2502.00,95.21
2501.00,95.21
2500.00,95.22
2499.00,95.23
2498.00,95.24
2497.00,95.25
2496.00,95.25
2495.00,95.25
2494.00,95.24
2493.00,95.23
2492.00,95.23
2491.00,95.24
2490.00,95.25
2489.00,95.25
2488.00,95.24
2487.00,95.23
2486.00,95.22
2485.00,95.22
2484.00,95.23
2483.00,95.23
2482.00,95.24
2481.00,95.24
2480.00,95.26
2479.00,95.28
2478.00,95.29
2477.00,95.29
2476.00,95.28
2475.00,95.27
2474.00,95.25
2473.00,95.24
2472.00,95.23
2471.00,95.24
2470.00,95.25
2469.00,95.26
2468.00,95.26
2467.00,95.28
2466.00,95.31
2465.00,95.33
2464.00,95.33
2463.00,95.31
2462.00,95.30
