Created as New Dataset,103. Du Pont (Red thread)
cm-1,%T
2792.00,96.69
2791.00,96.73
2790.00,96.77
2789.00,96.81
2788.00,96.84
2787.00,96.86
2786.00,96.88
2785.00,96.89
2784.00,96.90
2783.00,96.91
2782.00,96.93
2781.00,96.96
2780.00,97.00
2779.00,97.03
2778.00,97.05
2777.00,97.06
2776.00,97.08
2775.00,97.11
2774.00,97.13
2773.00,97.15
2772.00,97.16
2771.00,97.16
2770.00,97.17
2769.00,97.19
2768.00,97.21
2767.00,97.23
2766.00,97.24
2765.00,97.24
2764.00,97.24
2763.00,97.25
2762.00,97.27
2761.00,97.29
2760.00,97.30
2759.00,97.32
2758.00,97.33
2757.00,97.34
2756.00,97.35
2755.00,97.36
2754.00,97.36
2753.00,97.36
2752.00,97.35
2751.00,97.35
2750.00,97.35
2749.00,97.36
2748.00,97.37
2747.00,97.39
2746.00,97.41
2745.00,97.43
2744.00,97.44
2743.00,97.44
2742.00,97.43
2741.00,97.43
2740.00,97.44
2739.00,97.45
2738.00,97.46
2737.00,97.46
2736.00,97.46
2735.00,97.46
2734.00,97.46
2733.00,97.47
2732.00,97.47
2731.00,97.46
2730.00,97.45
2729.00,97.44
2728.00,97.43
2727.00,97.44
2726.00,97.45
2725.00,97.47
2724.00,97.49
2723.00,97.51
2722.00,97.53
2721.00,97.54
2720.00,97.54
2719.00,97.53
2718.00,97.52
2717.00,97.52
2716.00,97.52
2715.00,97.53
2714.00,97.54
2713.00,97.56
2712.00,97.58
2711.00,97.58
2710.00,97.58
2709.00,97.57
2708.00,97.55
2707.00,97.54
2706.00,97.54
2705.00,97.54
2704.00,97.55
2703.00,97.57
2702.00,97.57
2701.00,97.57
2700.00,97.57
2699.00,97.57
2698.00,97.58
2697.00,97.59
2696.00,97.59
2695.00,97.59
2694.00,97.58
2693.00,97.59
2692.00,97.59
2691.00,97.59
2690.00,97.59
2689.00,97.59
2688.00,97.59
2687.00,97.60
2686.00,97.59
2685.00,97.59
2684.00,97.59
2683.00,97.60
2682.00,97.60
2681.00,97.60
2680.00,97.59
2679.00,97.59
2678.00,97.59
2677.00,97.59
2676.00,97.59
2675.00,97.59
2674.00,97.59
2673.00,97.58
2672.00,97.57
2671.00,97.58
2670.00,97.60
2669.00,97.62
2668.00,97.64
2667.00,97.65
2666.00,97.65
2665.00,97.66
2664.00,97.66
2663.00,97.66
2662.00,97.65
2661.00,97.64
2660.00,97.62
2659.00,97.60
2658.00,97.59
2657.00,97.60
2656.00,97.61
2655.00,97.62
2654.00,97.62
2653.00,97.62
2652.00,97.61
2651.00,97.60
2650.00,97.59
2649.00,97.58
2648.00,97.57
2647.00,97.57
2646.00,97.57
2645.00,97.58
2644.00,97.59
2643.00,97.59
2642.00,97.59
2641.00,97.58
2640.00,97.56
2639.00,97.54
2638.00,97.53
2637.00,97.53
2636.00,97.53
2635.00,97.54
2634.00,97.54
2633.00,97.55
2632.00,97.53
2631.00,97.51
2630.00,97.49
2629.00,97.47
2628.00,97.46
2627.00,97.47
2626.00,97.49
2625.00,97.51
2624.00,97.53
2623.00,97.55
2622.00,97.56
2621.00,97.56
2620.00,97.55
2619.00,97.54
2618.00,97.53
2617.00,97.54
2616.00,97.54
2615.00,97.55
2614.00,97.55
2613.00,97.56
2612.00,97.58
2611.00,97.58
2610.00,97.56
2609.00,97.53
2608.00,97.51
2607.00,97.51
2606.00,97.52
2605.00,97.54
2604.00,97.55
2603.00,97.54
2602.00,97.53
2601.00,97.52
2600.00,97.52
2599.00,97.53
2598.00,97.53
2597.00,97.53
2596.00,97.52
2595.00,97.51
2594.00,97.50
2593.00,97.50
2592.00,97.50
2591.00,97.51
2590.00,97.53
2589.00,97.54
2588.00,97.55
2587.00,97.54
2586.00,97.52
2585.00,97.50
2584.00,97.50
2583.00,97.50
2582.00,97.51
2581.00,97.52
2580.00,97.53
2579.00,97.53
2578.00,97.54
2577.00,97.54
2576.00,97.54
2575.00,97.53
2574.00,97.52
2573.00,97.51
2572.00,97.49
2571.00,97.49
2570.00,97.50
2569.00,97.52
2568.00,97.53
2567.00,97.51
2566.00,97.48
2565.00,97.45
2564.00,97.44
2563.00,97.45
2562.00,97.47
2561.00,97.50
2560.00,97.51
2559.00,97.51
2558.00,97.51
2557.00,97.51
2556.00,97.52
2555.00,97.53
2554.00,97.53
2553.00,97.51
2552.00,97.50
2551.00,97.49
2550.00,97.50
2549.00,97.52
2548.00,97.53
2547.00,97.53
2546.00,97.52
2545.00,97.51
2544.00,97.52
2543.00,97.53
2542.00,97.53
2541.00,97.53
2540.00,97.52
2539.00,97.52
2538.00,97.53
2537.00,97.54
2536.00,97.56
2535.00,97.57
2534.00,97.58
2533.00,97.59
2532.00,97.58
2531.00,97.56
2530.00,97.55
2529.00,97.54
2528.00,97.54
2527.00,97.56
2526.00,97.58
2525.00,97.60
2524.00,97.61
2523.00,97.61
2522.00,97.61
2521.00,97.61
2520.00,97.59
2519.00,97.57
2518.00,97.55
2517.00,97.54
2516.00,97.54
2515.00,97.56
2514.00,97.58
2513.00,97.61
2512.00,97.64
2511.00,97.65
2510.00,97.65
2509.00,97.63
2508.00,97.61
2507.00,97.58
2506.00,97.57
2505.00,97.56
2504.00,97.57
2503.00,97.57
2502.00,97.57
2501.00,97.57
2500.00,97.58
2499.00,97.58
2498.00,97.59
2497.00,97.59
2496.00,97.59
2495.00,97.59
2494.00,97.59
2493.00,97.60
2492.00,97.61
2491.00,97.62
2490.00,97.61
2489.00,97.60
2488.00,97.59
2487.00,97.60
2486.00,97.61
2485.00,97.62
2484.00,97.61
2483.00,97.60
2482.00,97.59
2481.00,97.59
2480.00,97.60
2479.00,97.61
2478.00,97.63
2477.00,97.65
2476.00,97.67
2475.00,97.67
2474.00,97.66
2473.00,97.65
2472.00,97.65
2471.00,97.68
2470.00,97.70
2469.00,97.72
2468.00,97.71
2467.00,97.69
2466.00,97.66
2465.00,97.64
2464.00,97.64
2463.00,97.65
