Created as New Dataset,68 Waxman (Black)
cm-1,%T
2984.00,94.90
2983.00,94.89
2982.00,94.88
2981.00,94.86
2980.00,94.83
2979.00,94.80
2978.00,94.76
2977.00,94.72
2976.00,94.69
2975.00,94.67
2974.00,94.67
2973.00,94.67
2972.00,94.65
2971.00,94.62
2970.00,94.59
2969.00,94.55
2968.00,94.52
2967.00,94.49
2966.00,94.47
2965.00,94.45
2964.00,94.44
2963.00,94.42
2962.00,94.41
2961.00,94.39
2960.00,94.36
2959.00,94.34
2958.00,94.33
2957.00,94.34
2956.00,94.35
2955.00,94.36
2954.00,94.35
2953.00,94.32
2952.00,94.27
2951.00,94.22
2950.00,94.17
2949.00,94.13
2948.00,94.11
2947.00,94.09
2946.00,94.07
2945.00,94.05
2944.00,94.03
2943.00,94.01
2942.00,93.99
2941.00,93.98
2940.00,93.96
2939.00,93.94
2938.00,93.92
2937.00,93.89
2936.00,93.86
2935.00,93.82
2934.00,93.77
2933.00,93.74
2932.00,93.72
2931.00,93.71
2930.00,93.70
2929.00,93.68
2928.00,93.66
2927.00,93.64
2926.00,93.63
2925.00,93.62
2924.00,93.62
2923.00,93.62
2922.00,93.61
2921.00,93.60
2920.00,93.60
2919.00,93.61
2918.00,93.63
2917.00,93.65
2916.00,93.68
2915.00,93.72
2914.00,93.76
2913.00,93.80
2912.00,93.84
2911.00,93.89
2910.00,93.94
2909.00,93.99
2908.00,94.04
2907.00,94.09
2906.00,94.14
2905.00,94.20
2904.00,94.25
2903.00,94.31
2902.00,94.37
2901.00,94.41
2900.00,94.44
2899.00,94.46
2898.00,94.48
2897.00,94.51
2896.00,94.53
2895.00,94.56
2894.00,94.57
2893.00,94.58
2892.00,94.59
2891.00,94.61
2890.00,94.63
2889.00,94.65
2888.00,94.66
2887.00,94.66
2886.00,94.65
2885.00,94.65
2884.00,94.65
2883.00,94.66
2882.00,94.66
2881.00,94.65
2880.00,94.65
2879.00,94.64
2878.00,94.65
2877.00,94.67
2876.00,94.68
2875.00,94.70
2874.00,94.70
2873.00,94.70
2872.00,94.70
2871.00,94.69
2870.00,94.68
2869.00,94.67
2868.00,94.67
2867.00,94.68
2866.00,94.69
2865.00,94.71
2864.00,94.72
2863.00,94.73
2862.00,94.72
2861.00,94.70
2860.00,94.69
2859.00,94.68
2858.00,94.67
2857.00,94.67
2856.00,94.67
2855.00,94.66
2854.00,94.66
2853.00,94.65
2852.00,94.65
2851.00,94.66
2850.00,94.68
2849.00,94.70
2848.00,94.71
2847.00,94.71
2846.00,94.71
2845.00,94.72
2844.00,94.73
2843.00,94.75
2842.00,94.77
2841.00,94.80
2840.00,94.83
2839.00,94.86
2838.00,94.89
2837.00,94.91
2836.00,94.90
2835.00,94.89
2834.00,94.88
2833.00,94.88
2832.00,94.90
2831.00,94.92
2830.00,94.94
2829.00,94.95
2828.00,94.95
2827.00,94.95
2826.00,94.96
2825.00,94.96
2824.00,94.98
2823.00,94.99
2822.00,95.00
2821.00,95.01
2820.00,95.01
2819.00,95.01
2818.00,95.01
2817.00,95.01
2816.00,95.02
2815.00,95.04
2814.00,95.05
2813.00,95.06
2812.00,95.05
2811.00,95.04
2810.00,95.03
2809.00,95.02
2808.00,95.02
2807.00,95.02
2806.00,95.02
2805.00,95.03
2804.00,95.03
2803.00,95.03
2802.00,95.03
2801.00,95.03
2800.00,95.04
2799.00,95.05
2798.00,95.05
2797.00,95.03
2796.00,95.02
2795.00,95.01
2794.00,95.01
2793.00,95.02
2792.00,95.03
2791.00,95.03
2790.00,95.04
2789.00,95.05
2788.00,95.07
2787.00,95.08
2786.00,95.08
2785.00,95.08
2784.00,95.07
2783.00,95.07
2782.00,95.08
2781.00,95.08
2780.00,95.09
2779.00,95.08
2778.00,95.07
2777.00,95.07
2776.00,95.07
2775.00,95.08
2774.00,95.09
2773.00,95.09
2772.00,95.09
2771.00,95.08
2770.00,95.08
2769.00,95.07
2768.00,95.08
2767.00,95.09
2766.00,95.10
2765.00,95.12
2764.00,95.13
2763.00,95.13
2762.00,95.13
2761.00,95.12
2760.00,95.11
2759.00,95.10
2758.00,95.09
2757.00,95.09
2756.00,95.11
2755.00,95.12
2754.00,95.13
2753.00,95.14
2752.00,95.13
2751.00,95.13
2750.00,95.14
2749.00,95.15
2748.00,95.15
2747.00,95.13
2746.00,95.12
2745.00,95.11
2744.00,95.10
2743.00,95.10
2742.00,95.09
2741.00,95.09
2740.00,95.09
2739.00,95.09
2738.00,95.09
2737.00,95.09
2736.00,95.09
2735.00,95.09
2734.00,95.10
2733.00,95.10
2732.00,95.09
2731.00,95.08
2730.00,95.07
2729.00,95.06
2728.00,95.06
2727.00,95.07
2726.00,95.08
2725.00,95.08
2724.00,95.07
2723.00,95.06
2722.00,95.05
2721.00,95.05
2720.00,95.05
2719.00,95.06
2718.00,95.06
2717.00,95.07
2716.00,95.07
2715.00,95.08
2714.00,95.08
2713.00,95.09
2712.00,95.10
2711.00,95.11
2710.00,95.11
2709.00,95.11
2708.00,95.11
2707.00,95.12
2706.00,95.13
2705.00,95.13
2704.00,95.11
2703.00,95.10
2702.00,95.08
2701.00,95.08
2700.00,95.08
2699.00,95.08
2698.00,95.07
2697.00,95.06
2696.00,95.06
2695.00,95.06
2694.00,95.07
2693.00,95.07
2692.00,95.06
2691.00,95.06
2690.00,95.06
