Created as New Dataset,58 Modacrylic Eastman Fibers Verel Type CA USA White. Peanut X.S. Bright. 16dpf. Use: Floor Coverings
cm-1,%T
2652.00,101.82
2651.00,101.82
2650.00,101.80
2649.00,101.79
2648.00,101.78
2647.00,101.77
2646.00,101.77
2645.00,101.78
2644.00,101.79
2643.00,101.79
2642.00,101.78
2641.00,101.76
2640.00,101.75
2639.00,101.75
2638.00,101.73
2637.00,101.72
2636.00,101.70
2635.00,101.70
2634.00,101.70
2633.00,101.71
2632.00,101.71
2631.00,101.71
2630.00,101.71
2629.00,101.70
2628.00,101.69
2627.00,101.69
2626.00,101.70
2625.00,101.70
2624.00,101.68
2623.00,101.66
2622.00,101.64
2621.00,101.64
2620.00,101.66
2619.00,101.68
2618.00,101.68
2617.00,101.67
2616.00,101.66
2615.00,101.66
2614.00,101.66
2613.00,101.66
2612.00,101.67
2611.00,101.68
2610.00,101.68
2609.00,101.67
2608.00,101.65
2607.00,101.64
2606.00,101.64
2605.00,101.65
2604.00,101.67
2603.00,101.67
2602.00,101.67
2601.00,101.67
2600.00,101.67
2599.00,101.67
2598.00,101.65
2597.00,101.62
2596.00,101.59
2595.00,101.57
2594.00,101.57
2593.00,101.59
2592.00,101.62
2591.00,101.64
2590.00,101.64
2589.00,101.63
2588.00,101.61
2587.00,101.61
2586.00,101.61
2585.00,101.62
2584.00,101.63
2583.00,101.63
2582.00,101.64
2581.00,101.64
2580.00,101.65
2579.00,101.64
2578.00,101.63
2577.00,101.62
2576.00,101.61
2575.00,101.60
2574.00,101.59
2573.00,101.59
2572.00,101.60
2571.00,101.62
2570.00,101.63
2569.00,101.63
2568.00,101.63
2567.00,101.61
2566.00,101.58
2565.00,101.57
2564.00,101.56
2563.00,101.57
2562.00,101.59
2561.00,101.62
2560.00,101.63
2559.00,101.63
2558.00,101.62
2557.00,101.61
2556.00,101.61
2555.00,101.62
2554.00,101.62
2553.00,101.63
2552.00,101.64
2551.00,101.64
2550.00,101.63
2549.00,101.60
2548.00,101.58
2547.00,101.56
2546.00,101.55
2545.00,101.55
2544.00,101.55
2543.00,101.55
2542.00,101.55
2541.00,101.55
2540.00,101.57
2539.00,101.58
2538.00,101.58
2537.00,101.56
2536.00,101.55
2535.00,101.54
2534.00,101.55
2533.00,101.56
2532.00,101.56
2531.00,101.55
2530.00,101.53
2529.00,101.50
2528.00,101.49
2527.00,101.51
2526.00,101.54
2525.00,101.57
2524.00,101.58
2523.00,101.57
2522.00,101.57
2521.00,101.57
2520.00,101.58
2519.00,101.57
2518.00,101.54
2517.00,101.52
2516.00,101.50
2515.00,101.50
2514.00,101.50
2513.00,101.51
2512.00,101.52
2511.00,101.54
2510.00,101.57
2509.00,101.59
2508.00,101.60
2507.00,101.60
2506.00,101.60
2505.00,101.60
2504.00,101.62
2503.00,101.63
2502.00,101.62
2501.00,101.61
2500.00,101.60
2499.00,101.58
2498.00,101.57
2497.00,101.57
2496.00,101.57
2495.00,101.57
2494.00,101.57
2493.00,101.56
2492.00,101.54
2491.00,101.52
2490.00,101.51
2489.00,101.51
2488.00,101.53
2487.00,101.55
