Created as New Dataset,17.3 Tussah wild blended with camel hair
cm-1,%T
2599.00,96.33
2598.00,96.34
2597.00,96.34
2596.00,96.35
2595.00,96.37
2594.00,96.38
2593.00,96.37
2592.00,96.35
2591.00,96.33
2590.00,96.31
2589.00,96.30
2588.00,96.29
2587.00,96.28
2586.00,96.28
2585.00,96.29
2584.00,96.32
2583.00,96.35
2582.00,96.37
2581.00,96.38
2580.00,96.37
2579.00,96.37
2578.00,96.37
2577.00,96.36
2576.00,96.36
2575.00,96.35
2574.00,96.36
2573.00,96.38
2572.00,96.40
2571.00,96.42
2570.00,96.43
2569.00,96.43
2568.00,96.42
2567.00,96.42
2566.00,96.40
2565.00,96.38
2564.00,96.36
2563.00,96.36
2562.00,96.37
2561.00,96.40
2560.00,96.43
2559.00,96.44
2558.00,96.42
2557.00,96.40
2556.00,96.38
2555.00,96.38
2554.00,96.39
2553.00,96.39
2552.00,96.39
2551.00,96.39
2550.00,96.39
2549.00,96.40
2548.00,96.40
2547.00,96.41
2546.00,96.41
2545.00,96.42
2544.00,96.43
2543.00,96.44
2542.00,96.44
2541.00,96.45
2540.00,96.44
2539.00,96.44
2538.00,96.44
2537.00,96.44
2536.00,96.44
2535.00,96.45
2534.00,96.46
2533.00,96.46
2532.00,96.46
2531.00,96.46
2530.00,96.45
2529.00,96.42
2528.00,96.40
2527.00,96.37
2526.00,96.36
2525.00,96.35
2524.00,96.36
2523.00,96.39
2522.00,96.41
2521.00,96.42
2520.00,96.41
2519.00,96.40
2518.00,96.40
2517.00,96.42
2516.00,96.46
2515.00,96.50
2514.00,96.52
2513.00,96.53
2512.00,96.54
2511.00,96.55
2510.00,96.54
2509.00,96.53
2508.00,96.50
2507.00,96.48
2506.00,96.47
2505.00,96.47
2504.00,96.48
2503.00,96.49
2502.00,96.51
2501.00,96.52
2500.00,96.52
2499.00,96.52
2498.00,96.52
2497.00,96.52
2496.00,96.52
2495.00,96.52
2494.00,96.52
2493.00,96.52
2492.00,96.52
2491.00,96.52
2490.00,96.53
2489.00,96.53
2488.00,96.53
2487.00,96.53
2486.00,96.52
2485.00,96.50
2484.00,96.48
2483.00,96.47
2482.00,96.48
2481.00,96.50
2480.00,96.53
2479.00,96.56
2478.00,96.58
2477.00,96.58
2476.00,96.57
2475.00,96.55
2474.00,96.54
2473.00,96.53
2472.00,96.52
2471.00,96.52
2470.00,96.53
2469.00,96.54
2468.00,96.57
2467.00,96.59
2466.00,96.62
2465.00,96.63
