Created as New Dataset,55 Courtaulds
cm-1,%T
2516.00,95.81
2515.00,95.81
2514.00,95.81
2513.00,95.81
2512.00,95.82
2511.00,95.84
2510.00,95.85
2509.00,95.86
2508.00,95.86
2507.00,95.87
2506.00,95.87
2505.00,95.89
2504.00,95.91
2503.00,95.92
2502.00,95.92
2501.00,95.91
2500.00,95.91
2499.00,95.91
2498.00,95.90
2497.00,95.89
2496.00,95.88
2495.00,95.88
2494.00,95.88
2493.00,95.89
2492.00,95.91
2491.00,95.93
2490.00,95.94
2489.00,95.95
2488.00,95.94
2487.00,95.93
2486.00,95.92
2485.00,95.92
2484.00,95.93
2483.00,95.93
2482.00,95.94
2481.00,95.94
2480.00,95.95
2479.00,95.96
2478.00,95.98
2477.00,96.00
2476.00,96.03
2475.00,96.04
2474.00,96.04
2473.00,96.03
2472.00,96.02
2471.00,96.03
2470.00,96.05
2469.00,96.06
2468.00,96.06
2467.00,96.05
2466.00,96.04
2465.00,96.01
2464.00,95.99
2463.00,95.98
2462.00,95.98
2461.00,95.98
2460.00,95.98
