Created as New Dataset,186 Acordis Fibres
cm-1,%T
2881.00,88.28
2880.00,88.28
2879.00,88.29
2878.00,88.31
2877.00,88.34
2876.00,88.36
2875.00,88.38
2874.00,88.40
2873.00,88.43
2872.00,88.47
2871.00,88.52
2870.00,88.56
2869.00,88.60
2868.00,88.62
2867.00,88.65
2866.00,88.69
2865.00,88.74
2864.00,88.79
2863.00,88.84
2862.00,88.89
2861.00,88.95
2860.00,89.01
2859.00,89.07
2858.00,89.12
2857.00,89.17
2856.00,89.22
2855.00,89.28
2854.00,89.33
2853.00,89.37
2852.00,89.40
2851.00,89.45
2850.00,89.50
2849.00,89.56
2848.00,89.62
2847.00,89.67
2846.00,89.73
2845.00,89.78
2844.00,89.84
2843.00,89.89
2842.00,89.94
2841.00,89.98
2840.00,90.02
2839.00,90.05
2838.00,90.09
2837.00,90.13
2836.00,90.16
2835.00,90.20
2834.00,90.24
2833.00,90.28
2832.00,90.31
2831.00,90.34
2830.00,90.37
2829.00,90.40
2828.00,90.42
2827.00,90.45
2826.00,90.48
2825.00,90.50
2824.00,90.53
2823.00,90.55
2822.00,90.57
2821.00,90.58
2820.00,90.60
2819.00,90.63
2818.00,90.66
2817.00,90.68
2816.00,90.70
2815.00,90.71
2814.00,90.72
2813.00,90.73
2812.00,90.74
2811.00,90.75
2810.00,90.76
2809.00,90.78
2808.00,90.80
2807.00,90.83
2806.00,90.86
2805.00,90.89
2804.00,90.91
2803.00,90.92
2802.00,90.94
2801.00,90.96
2800.00,90.99
2799.00,91.01
2798.00,91.02
2797.00,91.02
2796.00,91.01
2795.00,91.02
2794.00,91.03
2793.00,91.06
2792.00,91.08
2791.00,91.11
2790.00,91.12
2789.00,91.13
2788.00,91.13
2787.00,91.14
2786.00,91.14
2785.00,91.15
2784.00,91.17
2783.00,91.19
2782.00,91.22
2781.00,91.23
2780.00,91.25
2779.00,91.26
2778.00,91.27
2777.00,91.29
2776.00,91.32
2775.00,91.34
2774.00,91.35
2773.00,91.35
