Created as New Dataset,195 FMC American Viscose (Blue)
cm-1,%T
2783.00,96.26
2782.00,96.25
2781.00,96.25
2780.00,96.25
2779.00,96.26
2778.00,96.27
2777.00,96.29
2776.00,96.32
2775.00,96.34
2774.00,96.36
2773.00,96.37
2772.00,96.38
2771.00,96.38
2770.00,96.38
2769.00,96.38
2768.00,96.38
2767.00,96.39
2766.00,96.39
2765.00,96.39
2764.00,96.40
2763.00,96.41
2762.00,96.42
2761.00,96.43
2760.00,96.43
2759.00,96.44
2758.00,96.45
2757.00,96.46
2756.00,96.46
2755.00,96.46
2754.00,96.44
2753.00,96.43
2752.00,96.43
2751.00,96.44
2750.00,96.45
2749.00,96.46
2748.00,96.45
2747.00,96.45
2746.00,96.46
2745.00,96.46
2744.00,96.45
2743.00,96.45
2742.00,96.46
2741.00,96.48
2740.00,96.49
2739.00,96.50
2738.00,96.50
2737.00,96.50
2736.00,96.50
2735.00,96.51
2734.00,96.51
2733.00,96.52
2732.00,96.52
2731.00,96.52
2730.00,96.53
2729.00,96.53
2728.00,96.54
2727.00,96.54
2726.00,96.54
2725.00,96.54
2724.00,96.54
2723.00,96.54
2722.00,96.54
2721.00,96.55
2720.00,96.55
2719.00,96.55
2718.00,96.56
2717.00,96.57
2716.00,96.58
2715.00,96.58
2714.00,96.59
2713.00,96.59
2712.00,96.59
2711.00,96.60
2710.00,96.61
2709.00,96.62
2708.00,96.63
2707.00,96.64
2706.00,96.65
2705.00,96.66
2704.00,96.67
2703.00,96.68
2702.00,96.68
2701.00,96.68
2700.00,96.69
2699.00,96.71
2698.00,96.72
2697.00,96.73
2696.00,96.74
2695.00,96.75
2694.00,96.75
2693.00,96.75
2692.00,96.75
2691.00,96.75
2690.00,96.75
2689.00,96.75
2688.00,96.76
2687.00,96.76
2686.00,96.76
2685.00,96.77
2684.00,96.77
2683.00,96.77
2682.00,96.77
2681.00,96.76
2680.00,96.76
2679.00,96.75
2678.00,96.76
2677.00,96.78
2676.00,96.79
2675.00,96.80
2674.00,96.80
2673.00,96.80
2672.00,96.81
2671.00,96.82
2670.00,96.83
2669.00,96.84
2668.00,96.85
2667.00,96.87
2666.00,96.88
2665.00,96.88
2664.00,96.88
2663.00,96.88
2662.00,96.88
2661.00,96.87
2660.00,96.87
2659.00,96.87
2658.00,96.87
2657.00,96.86
2656.00,96.84
2655.00,96.82
2654.00,96.81
2653.00,96.80
2652.00,96.80
2651.00,96.80
2650.00,96.82
2649.00,96.83
2648.00,96.84
2647.00,96.84
2646.00,96.83
2645.00,96.82
2644.00,96.81
2643.00,96.82
2642.00,96.82
2641.00,96.82
2640.00,96.82
2639.00,96.83
2638.00,96.83
2637.00,96.83
2636.00,96.83
2635.00,96.84
2634.00,96.85
2633.00,96.86
2632.00,96.86
2631.00,96.86
2630.00,96.85
2629.00,96.86
2628.00,96.87
2627.00,96.87
2626.00,96.86
2625.00,96.84
2624.00,96.84
2623.00,96.85
2622.00,96.86
2621.00,96.87
2620.00,96.86
2619.00,96.85
2618.00,96.83
2617.00,96.82
2616.00,96.82
2615.00,96.83
2614.00,96.85
2613.00,96.87
2612.00,96.87
2611.00,96.86
2610.00,96.84
2609.00,96.83
2608.00,96.84
2607.00,96.86
2606.00,96.87
2605.00,96.88
2604.00,96.87
2603.00,96.86
2602.00,96.84
2601.00,96.82
2600.00,96.82
2599.00,96.82
2598.00,96.82
2597.00,96.83
2596.00,96.84
2595.00,96.84
2594.00,96.82
2593.00,96.79
2592.00,96.77
2591.00,96.77
2590.00,96.79
2589.00,96.81
2588.00,96.83
2587.00,96.84
2586.00,96.85
2585.00,96.85
2584.00,96.86
2583.00,96.88
2582.00,96.89
2581.00,96.89
2580.00,96.87
2579.00,96.85
2578.00,96.84
2577.00,96.84
2576.00,96.85
2575.00,96.85
2574.00,96.84
2573.00,96.83
2572.00,96.83
2571.00,96.82
2570.00,96.81
2569.00,96.80
2568.00,96.79
2567.00,96.80
2566.00,96.82
2565.00,96.85
2564.00,96.87
2563.00,96.87
2562.00,96.87
2561.00,96.85
2560.00,96.84
2559.00,96.82
2558.00,96.82
2557.00,96.83
2556.00,96.83
2555.00,96.82
2554.00,96.81
2553.00,96.82
2552.00,96.83
2551.00,96.85
2550.00,96.86
2549.00,96.86
2548.00,96.85
2547.00,96.84
2546.00,96.84
2545.00,96.85
2544.00,96.86
2543.00,96.86
2542.00,96.86
2541.00,96.85
2540.00,96.85
2539.00,96.85
2538.00,96.86
2537.00,96.86
2536.00,96.85
2535.00,96.85
2534.00,96.86
2533.00,96.86
2532.00,96.87
2531.00,96.87
2530.00,96.86
2529.00,96.86
2528.00,96.86
2527.00,96.86
2526.00,96.86
2525.00,96.86
2524.00,96.85
2523.00,96.82
2522.00,96.80
2521.00,96.79
2520.00,96.78
2519.00,96.78
2518.00,96.78
2517.00,96.78
2516.00,96.78
2515.00,96.80
2514.00,96.83
2513.00,96.86
2512.00,96.88
2511.00,96.90
2510.00,96.90
2509.00,96.90
2508.00,96.90
2507.00,96.91
2506.00,96.92
2505.00,96.94
2504.00,96.95
2503.00,96.96
2502.00,96.95
2501.00,96.94
2500.00,96.92
2499.00,96.90
2498.00,96.90
2497.00,96.91
2496.00,96.93
2495.00,96.94
2494.00,96.95
2493.00,96.94
2492.00,96.93
2491.00,96.92
2490.00,96.91
2489.00,96.90
2488.00,96.90
2487.00,96.91
2486.00,96.94
2485.00,96.97
2484.00,96.98
2483.00,96.98
2482.00,96.98
2481.00,96.98
2480.00,96.98
2479.00,96.98
2478.00,96.98
2477.00,96.97
2476.00,96.97
2475.00,96.96
2474.00,96.95
2473.00,96.96
2472.00,96.98
2471.00,97.01
2470.00,97.03
2469.00,97.03
2468.00,97.01
