Created as New Dataset,192 FMC American Viscose (Black)
cm-1,%T
2720.00,97.81
2719.00,97.82
2718.00,97.82
2717.00,97.81
2716.00,97.81
2715.00,97.81
2714.00,97.82
2713.00,97.84
2712.00,97.86
2711.00,97.87
2710.00,97.87
2709.00,97.86
2708.00,97.85
2707.00,97.84
2706.00,97.83
2705.00,97.83
2704.00,97.85
2703.00,97.87
2702.00,97.89
2701.00,97.90
2700.00,97.91
2699.00,97.91
2698.00,97.90
2697.00,97.88
2696.00,97.86
2695.00,97.85
2694.00,97.85
2693.00,97.85
2692.00,97.86
2691.00,97.86
2690.00,97.86
2689.00,97.86
2688.00,97.87
2687.00,97.88
2686.00,97.88
2685.00,97.89
2684.00,97.89
2683.00,97.90
2682.00,97.89
2681.00,97.89
2680.00,97.90
2679.00,97.90
2678.00,97.91
2677.00,97.91
2676.00,97.90
2675.00,97.89
2674.00,97.89
2673.00,97.89
2672.00,97.91
2671.00,97.93
2670.00,97.94
2669.00,97.95
2668.00,97.96
2667.00,97.97
2666.00,97.97
2665.00,97.97
2664.00,97.95
2663.00,97.94
2662.00,97.93
2661.00,97.92
2660.00,97.92
2659.00,97.93
2658.00,97.94
2657.00,97.95
2656.00,97.95
2655.00,97.94
2654.00,97.94
2653.00,97.93
2652.00,97.93
2651.00,97.92
2650.00,97.91
2649.00,97.91
2648.00,97.91
2647.00,97.92
2646.00,97.92
2645.00,97.90
2644.00,97.88
2643.00,97.86
2642.00,97.86
2641.00,97.86
2640.00,97.88
2639.00,97.89
2638.00,97.89
2637.00,97.87
2636.00,97.85
2635.00,97.84
2634.00,97.84
2633.00,97.85
2632.00,97.86
2631.00,97.86
2630.00,97.87
2629.00,97.88
2628.00,97.89
2627.00,97.90
2626.00,97.90
2625.00,97.89
2624.00,97.88
2623.00,97.88
2622.00,97.89
2621.00,97.90
2620.00,97.91
2619.00,97.91
2618.00,97.91
2617.00,97.89
2616.00,97.88
2615.00,97.85
2614.00,97.84
2613.00,97.83
2612.00,97.84
2611.00,97.87
2610.00,97.90
2609.00,97.91
2608.00,97.91
2607.00,97.90
2606.00,97.90
2605.00,97.91
2604.00,97.92
2603.00,97.91
2602.00,97.89
2601.00,97.89
2600.00,97.89
2599.00,97.90
2598.00,97.90
2597.00,97.89
2596.00,97.87
2595.00,97.86
2594.00,97.86
2593.00,97.87
2592.00,97.89
2591.00,97.90
2590.00,97.90
2589.00,97.90
2588.00,97.89
2587.00,97.88
2586.00,97.87
2585.00,97.86
2584.00,97.85
2583.00,97.84
2582.00,97.84
2581.00,97.84
2580.00,97.83
2579.00,97.83
2578.00,97.84
2577.00,97.85
2576.00,97.86
2575.00,97.87
2574.00,97.86
2573.00,97.85
2572.00,97.83
2571.00,97.84
2570.00,97.85
2569.00,97.86
2568.00,97.85
2567.00,97.84
2566.00,97.85
2565.00,97.87
2564.00,97.90
2563.00,97.92
2562.00,97.93
2561.00,97.94
2560.00,97.95
2559.00,97.95
2558.00,97.95
2557.00,97.95
2556.00,97.95
2555.00,97.93
2554.00,97.91
2553.00,97.88
2552.00,97.86
2551.00,97.85
2550.00,97.87
2549.00,97.89
2548.00,97.91
2547.00,97.91
2546.00,97.89
2545.00,97.86
2544.00,97.83
2543.00,97.82
2542.00,97.83
2541.00,97.85
2540.00,97.88
2539.00,97.90
2538.00,97.89
2537.00,97.87
2536.00,97.85
2535.00,97.85
2534.00,97.85
2533.00,97.85
2532.00,97.84
2531.00,97.83
2530.00,97.82
2529.00,97.82
2528.00,97.83
2527.00,97.85
2526.00,97.85
2525.00,97.84
2524.00,97.84
2523.00,97.84
2522.00,97.84
2521.00,97.86
2520.00,97.88
2519.00,97.89
2518.00,97.89
2517.00,97.88
2516.00,97.86
2515.00,97.85
2514.00,97.84
2513.00,97.85
2512.00,97.86
2511.00,97.86
2510.00,97.86
2509.00,97.86
2508.00,97.87
2507.00,97.88
2506.00,97.89
2505.00,97.89
2504.00,97.88
2503.00,97.88
2502.00,97.87
2501.00,97.86
2500.00,97.85
2499.00,97.85
