Created as New Dataset,61 Modacrylic Monsanto Elura USA Brown. PAN +VBr + aromatic sulphonate dye site. Wig fiber. Obsolete.
cm-1,%T
2569.00,96.97
2568.00,96.96
2567.00,96.95
2566.00,96.95
2565.00,96.96
2564.00,96.96
2563.00,96.96
2562.00,96.97
2561.00,96.97
2560.00,96.97
2559.00,96.97
2558.00,96.97
2557.00,96.98
2556.00,96.98
2555.00,96.98
2554.00,96.98
2553.00,96.97
2552.00,96.96
2551.00,96.94
2550.00,96.94
2549.00,96.94
2548.00,96.97
2547.00,97.01
2546.00,97.04
2545.00,97.05
2544.00,97.05
2543.00,97.02
2542.00,97.00
2541.00,96.97
2540.00,96.95
2539.00,96.93
2538.00,96.92
2537.00,96.92
2536.00,96.91
2535.00,96.91
2534.00,96.92
2533.00,96.92
2532.00,96.93
2531.00,96.94
2530.00,96.97
2529.00,96.99
2528.00,97.01
2527.00,97.01
2526.00,97.01
2525.00,96.99
2524.00,96.97
2523.00,96.95
2522.00,96.94
2521.00,96.94
2520.00,96.93
2519.00,96.93
2518.00,96.93
2517.00,96.94
2516.00,96.96
2515.00,96.98
2514.00,97.00
2513.00,97.01
2512.00,97.01
2511.00,97.01
2510.00,97.01
2509.00,97.01
2508.00,97.01
2507.00,97.00
2506.00,97.00
2505.00,96.98
2504.00,96.95
2503.00,96.94
2502.00,96.94
2501.00,96.96
2500.00,96.98
2499.00,96.98
2498.00,96.97
2497.00,96.96
2496.00,96.97
2495.00,96.98
2494.00,96.99
2493.00,96.99
2492.00,96.99
2491.00,96.99
2490.00,96.98
2489.00,96.96
2488.00,96.93
2487.00,96.93
