Created as New Dataset,13.3 Red Wool Romney sheep
cm-1,%T
2664.00,98.32
2663.00,98.32
2662.00,98.30
2661.00,98.28
2660.00,98.28
2659.00,98.28
2658.00,98.28
2657.00,98.28
2656.00,98.28
2655.00,98.28
2654.00,98.27
2653.00,98.27
2652.00,98.27
2651.00,98.28
2650.00,98.28
2649.00,98.28
2648.00,98.29
2647.00,98.30
2646.00,98.30
2645.00,98.31
2644.00,98.31
2643.00,98.32
2642.00,98.35
2641.00,98.36
2640.00,98.37
2639.00,98.38
2638.00,98.38
2637.00,98.39
2636.00,98.40
2635.00,98.42
2634.00,98.42
2633.00,98.42
2632.00,98.42
2631.00,98.42
2630.00,98.42
2629.00,98.40
2628.00,98.38
2627.00,98.36
2626.00,98.34
2625.00,98.32
2624.00,98.31
2623.00,98.31
2622.00,98.32
2621.00,98.33
2620.00,98.35
2619.00,98.37
2618.00,98.38
2617.00,98.39
2616.00,98.39
2615.00,98.40
2614.00,98.42
2613.00,98.44
2612.00,98.46
2611.00,98.47
2610.00,98.48
2609.00,98.48
2608.00,98.49
2607.00,98.51
2606.00,98.53
2605.00,98.55
2604.00,98.56
2603.00,98.57
2602.00,98.59
2601.00,98.60
2600.00,98.61
2599.00,98.60
2598.00,98.61
2597.00,98.63
2596.00,98.65
2595.00,98.67
2594.00,98.66
2593.00,98.65
2592.00,98.63
2591.00,98.62
2590.00,98.62
2589.00,98.61
2588.00,98.60
2587.00,98.59
2586.00,98.57
2585.00,98.56
2584.00,98.55
2583.00,98.54
2582.00,98.54
2581.00,98.55
2580.00,98.57
2579.00,98.59
2578.00,98.60
2577.00,98.59
2576.00,98.58
2575.00,98.56
2574.00,98.56
2573.00,98.57
2572.00,98.61
2571.00,98.65
2570.00,98.69
2569.00,98.72
2568.00,98.72
2567.00,98.72
2566.00,98.72
2565.00,98.72
2564.00,98.71
2563.00,98.72
2562.00,98.73
2561.00,98.74
2560.00,98.76
2559.00,98.76
2558.00,98.76
2557.00,98.76
2556.00,98.74
2555.00,98.72
2554.00,98.70
2553.00,98.69
2552.00,98.69
2551.00,98.69
2550.00,98.68
2549.00,98.67
2548.00,98.66
2547.00,98.67
2546.00,98.68
2545.00,98.69
2544.00,98.71
2543.00,98.73
2542.00,98.75
2541.00,98.78
2540.00,98.80
2539.00,98.82
2538.00,98.83
2537.00,98.82
2536.00,98.81
2535.00,98.78
2534.00,98.77
2533.00,98.77
2532.00,98.78
2531.00,98.80
2530.00,98.81
2529.00,98.83
2528.00,98.84
2527.00,98.85
2526.00,98.87
2525.00,98.87
2524.00,98.86
2523.00,98.83
2522.00,98.81
2521.00,98.80
2520.00,98.79
2519.00,98.78
2518.00,98.77
2517.00,98.76
2516.00,98.76
2515.00,98.78
2514.00,98.79
2513.00,98.79
2512.00,98.77
2511.00,98.75
2510.00,98.72
2509.00,98.71
2508.00,98.72
2507.00,98.73
2506.00,98.74
2505.00,98.74
2504.00,98.75
2503.00,98.76
2502.00,98.79
2501.00,98.82
2500.00,98.85
2499.00,98.88
2498.00,98.89
2497.00,98.91
2496.00,98.91
2495.00,98.91
2494.00,98.91
2493.00,98.90
2492.00,98.91
2491.00,98.92
2490.00,98.92
2489.00,98.92
2488.00,98.91
2487.00,98.89
2486.00,98.86
2485.00,98.85
2484.00,98.84
2483.00,98.85
2482.00,98.86
2481.00,98.87
2480.00,98.89
2479.00,98.89
2478.00,98.89
2477.00,98.89
2476.00,98.90
2475.00,98.92
2474.00,98.95
2473.00,98.97
2472.00,98.99
2471.00,99.01
2470.00,99.02
2469.00,99.02
2468.00,99.00
2467.00,98.98
2466.00,98.97
2465.00,98.97
2464.00,98.97
