Created as New Dataset,14.3 Red Wool sheep crepe
cm-1,%T
3144.00,89.02
3143.00,89.07
3142.00,89.11
3141.00,89.13
3140.00,89.15
3139.00,89.19
3138.00,89.23
3137.00,89.28
3136.00,89.32
3135.00,89.35
3134.00,89.37
3133.00,89.40
3132.00,89.42
3131.00,89.45
3130.00,89.48
3129.00,89.50
3128.00,89.52
3127.00,89.54
3126.00,89.56
3125.00,89.58
3124.00,89.61
3123.00,89.65
3122.00,89.68
3121.00,89.71
3120.00,89.74
3119.00,89.76
3118.00,89.78
3117.00,89.80
3116.00,89.80
3115.00,89.79
3114.00,89.79
3113.00,89.78
3112.00,89.79
3111.00,89.81
3110.00,89.83
3109.00,89.85
3108.00,89.86
3107.00,89.85
3106.00,89.85
3105.00,89.84
3104.00,89.82
3103.00,89.81
3102.00,89.81
3101.00,89.80
3100.00,89.81
3099.00,89.81
3098.00,89.80
3097.00,89.79
3096.00,89.76
3095.00,89.74
3094.00,89.72
3093.00,89.72
3092.00,89.72
3091.00,89.72
3090.00,89.72
3089.00,89.70
3088.00,89.69
3087.00,89.67
3086.00,89.66
3085.00,89.64
3084.00,89.62
3083.00,89.59
3082.00,89.57
3081.00,89.55
3080.00,89.54
3079.00,89.53
3078.00,89.54
3077.00,89.55
3076.00,89.56
3075.00,89.55
3074.00,89.54
3073.00,89.53
3072.00,89.54
3071.00,89.55
3070.00,89.55
3069.00,89.56
3068.00,89.56
3067.00,89.57
3066.00,89.57
3065.00,89.57
3064.00,89.57
3063.00,89.57
3062.00,89.58
3061.00,89.60
3060.00,89.62
3059.00,89.64
3058.00,89.66
3057.00,89.67
3056.00,89.69
3055.00,89.71
3054.00,89.74
3053.00,89.76
3052.00,89.79
3051.00,89.83
3050.00,89.88
3049.00,89.92
3048.00,89.95
3047.00,89.98
3046.00,90.00
3045.00,90.02
3044.00,90.04
3043.00,90.07
3042.00,90.10
3041.00,90.14
3040.00,90.18
3039.00,90.21
3038.00,90.24
3037.00,90.27
3036.00,90.30
3035.00,90.33
3034.00,90.36
3033.00,90.38
3032.00,90.41
3031.00,90.45
3030.00,90.50
3029.00,90.55
3028.00,90.59
3027.00,90.62
3026.00,90.65
3025.00,90.67
3024.00,90.69
3023.00,90.72
3022.00,90.76
3021.00,90.81
3020.00,90.86
3019.00,90.91
3018.00,90.94
3017.00,90.97
3016.00,91.00
3015.00,91.04
3014.00,91.08
3013.00,91.11
3012.00,91.12
3011.00,91.12
3010.00,91.12
3009.00,91.13
3008.00,91.15
3007.00,91.18
3006.00,91.19
3005.00,91.19
3004.00,91.19
3003.00,91.19
3002.00,91.19
3001.00,91.20
3000.00,91.22
2999.00,91.23
2998.00,91.23
2997.00,91.23
2996.00,91.21
2995.00,91.19
2994.00,91.15
2993.00,91.11
2992.00,91.06
2991.00,91.02
2990.00,90.98
2989.00,90.94
2988.00,90.90
2987.00,90.87
2986.00,90.83
2985.00,90.79
2984.00,90.74
2983.00,90.69
2982.00,90.62
2981.00,90.55
2980.00,90.48
2979.00,90.41
2978.00,90.35
2977.00,90.29
2976.00,90.22
2975.00,90.15
2974.00,90.09
2973.00,90.02
2972.00,89.96
2971.00,89.90
2970.00,89.86
2969.00,89.82
2968.00,89.78
2967.00,89.75
2966.00,89.70
2965.00,89.65
2964.00,89.60
2963.00,89.56
