Created as New Dataset,11. Acrylic Bayer
cm-1,%T
2919.00,99.03
2918.00,99.04
2917.00,99.05
2916.00,99.08
2915.00,99.11
2914.00,99.15
2913.00,99.20
2912.00,99.24
2911.00,99.28
2910.00,99.31
2909.00,99.34
2908.00,99.36
2907.00,99.37
2906.00,99.37
2905.00,99.38
2904.00,99.39
2903.00,99.41
2902.00,99.43
2901.00,99.44
2900.00,99.44
2899.00,99.44
2898.00,99.44
2897.00,99.46
2896.00,99.47
2895.00,99.49
2894.00,99.51
2893.00,99.53
2892.00,99.55
2891.00,99.55
2890.00,99.56
2889.00,99.56
2888.00,99.56
2887.00,99.56
2886.00,99.56
2885.00,99.56
2884.00,99.56
2883.00,99.56
2882.00,99.57
2881.00,99.56
2880.00,99.55
2879.00,99.54
2878.00,99.53
2877.00,99.52
2876.00,99.53
2875.00,99.52
2874.00,99.52
2873.00,99.51
2872.00,99.51
2871.00,99.52
2870.00,99.52
2869.00,99.52
2868.00,99.52
2867.00,99.52
2866.00,99.52
2865.00,99.53
2864.00,99.54
2863.00,99.56
2862.00,99.57
2861.00,99.56
2860.00,99.54
2859.00,99.53
2858.00,99.53
2857.00,99.54
2856.00,99.55
2855.00,99.56
2854.00,99.56
2853.00,99.56
2852.00,99.56
2851.00,99.56
2850.00,99.57
2849.00,99.58
2848.00,99.58
2847.00,99.58
2846.00,99.59
2845.00,99.61
2844.00,99.63
2843.00,99.66
2842.00,99.69
2841.00,99.70
2840.00,99.70
2839.00,99.71
2838.00,99.71
2837.00,99.71
2836.00,99.70
2835.00,99.69
2834.00,99.70
2833.00,99.71
2832.00,99.73
2831.00,99.74
2830.00,99.74
2829.00,99.75
2828.00,99.75
2827.00,99.74
2826.00,99.74
2825.00,99.72
2824.00,99.71
2823.00,99.71
2822.00,99.71
2821.00,99.72
2820.00,99.72
2819.00,99.72
2818.00,99.72
2817.00,99.74
2816.00,99.76
2815.00,99.77
2814.00,99.77
2813.00,99.75
2812.00,99.74
2811.00,99.73
2810.00,99.73
2809.00,99.73
2808.00,99.71
2807.00,99.70
2806.00,99.69
2805.00,99.70
2804.00,99.71
2803.00,99.73
2802.00,99.73
2801.00,99.74
2800.00,99.75
2799.00,99.75
2798.00,99.75
2797.00,99.74
2796.00,99.73
2795.00,99.72
2794.00,99.72
2793.00,99.72
2792.00,99.72
2791.00,99.72
2790.00,99.73
2789.00,99.74
2788.00,99.75
2787.00,99.76
2786.00,99.76
2785.00,99.75
2784.00,99.75
2783.00,99.75
2782.00,99.75
2781.00,99.76
2780.00,99.77
2779.00,99.79
2778.00,99.79
2777.00,99.79
2776.00,99.78
2775.00,99.77
2774.00,99.77
2773.00,99.77
2772.00,99.78
2771.00,99.78
2770.00,99.78
2769.00,99.78
2768.00,99.78
2767.00,99.76
2766.00,99.75
2765.00,99.75
2764.00,99.76
2763.00,99.76
2762.00,99.77
2761.00,99.78
2760.00,99.78
2759.00,99.78
2758.00,99.77
2757.00,99.76
2756.00,99.76
2755.00,99.77
2754.00,99.78
2753.00,99.78
2752.00,99.78
2751.00,99.78
2750.00,99.78
2749.00,99.77
2748.00,99.75
2747.00,99.74
2746.00,99.74
2745.00,99.75
2744.00,99.76
2743.00,99.76
2742.00,99.76
2741.00,99.76
2740.00,99.76
2739.00,99.75
2738.00,99.74
2737.00,99.72
2736.00,99.71
2735.00,99.72
2734.00,99.73
2733.00,99.73
2732.00,99.73
2731.00,99.73
2730.00,99.75
2729.00,99.76
2728.00,99.77
2727.00,99.76
2726.00,99.76
2725.00,99.75
2724.00,99.75
2723.00,99.75
2722.00,99.75
2721.00,99.75
2720.00,99.75
2719.00,99.75
2718.00,99.75
2717.00,99.75
2716.00,99.74
2715.00,99.74
2714.00,99.75
2713.00,99.76
2712.00,99.76
2711.00,99.77
2710.00,99.77
2709.00,99.76
2708.00,99.75
2707.00,99.74
2706.00,99.74
2705.00,99.74
2704.00,99.74
2703.00,99.75
2702.00,99.75
2701.00,99.75
2700.00,99.75
2699.00,99.75
2698.00,99.74
2697.00,99.74
2696.00,99.75
2695.00,99.76
2694.00,99.76
2693.00,99.76
2692.00,99.76
2691.00,99.75
2690.00,99.73
2689.00,99.72
2688.00,99.70
2687.00,99.70
2686.00,99.71
2685.00,99.73
2684.00,99.74
2683.00,99.76
2682.00,99.76
2681.00,99.76
2680.00,99.76
2679.00,99.76
2678.00,99.76
2677.00,99.75
2676.00,99.74
2675.00,99.72
2674.00,99.72
2673.00,99.73
2672.00,99.74
2671.00,99.75
2670.00,99.76
2669.00,99.76
2668.00,99.76
2667.00,99.76
2666.00,99.76
2665.00,99.75
2664.00,99.75
2663.00,99.74
2662.00,99.73
2661.00,99.72
2660.00,99.70
2659.00,99.69
2658.00,99.68
2657.00,99.68
2656.00,99.67
2655.00,99.67
2654.00,99.67
2653.00,99.67
2652.00,99.66
2651.00,99.66
2650.00,99.65
2649.00,99.64
2648.00,99.63
2647.00,99.62
2646.00,99.62
2645.00,99.61
2644.00,99.60
2643.00,99.59
2642.00,99.59
2641.00,99.58
2640.00,99.57
2639.00,99.57
2638.00,99.58
2637.00,99.59
2636.00,99.59
2635.00,99.60
2634.00,99.60
2633.00,99.59
2632.00,99.59
2631.00,99.59
2630.00,99.58
2629.00,99.56
2628.00,99.54
2627.00,99.52
2626.00,99.53
2625.00,99.55
2624.00,99.58
2623.00,99.58
2622.00,99.57
2621.00,99.56
2620.00,99.56
2619.00,99.58
2618.00,99.59
2617.00,99.59
2616.00,99.58
2615.00,99.55
2614.00,99.54
2613.00,99.53
2612.00,99.52
2611.00,99.52
2610.00,99.53
2609.00,99.54
2608.00,99.54
2607.00,99.53
2606.00,99.52
2605.00,99.51
2604.00,99.50
2603.00,99.49
2602.00,99.48
2601.00,99.48
2600.00,99.49
2599.00,99.50
2598.00,99.51
2597.00,99.52
2596.00,99.52
2595.00,99.52
2594.00,99.52
2593.00,99.50
2592.00,99.49
2591.00,99.49
2590.00,99.49
2589.00,99.49
2588.00,99.48
2587.00,99.47
2586.00,99.48
2585.00,99.49
2584.00,99.51
2583.00,99.51
2582.00,99.50
2581.00,99.48
2580.00,99.47
2579.00,99.46
2578.00,99.45
2577.00,99.44
2576.00,99.43
2575.00,99.43
2574.00,99.43
2573.00,99.44
2572.00,99.44
2571.00,99.45
2570.00,99.46
2569.00,99.47
2568.00,99.47
2567.00,99.48
2566.00,99.48
2565.00,99.49
2564.00,99.48
2563.00,99.47
2562.00,99.45
2561.00,99.44
2560.00,99.44
2559.00,99.44
2558.00,99.44
2557.00,99.45
2556.00,99.47
2555.00,99.49
2554.00,99.50
2553.00,99.49
2552.00,99.46
2551.00,99.43
2550.00,99.41
2549.00,99.41
2548.00,99.41
2547.00,99.42
2546.00,99.43
2545.00,99.43
2544.00,99.44
2543.00,99.44
2542.00,99.44
2541.00,99.43
2540.00,99.42
2539.00,99.41
2538.00,99.41
2537.00,99.42
2536.00,99.43
2535.00,99.43
2534.00,99.44
2533.00,99.44
2532.00,99.44
2531.00,99.44
2530.00,99.44
2529.00,99.43
2528.00,99.42
2527.00,99.40
2526.00,99.40
2525.00,99.41
2524.00,99.43
2523.00,99.44
2522.00,99.43
2521.00,99.42
2520.00,99.41
2519.00,99.40
2518.00,99.40
2517.00,99.41
2516.00,99.41
2515.00,99.42
2514.00,99.43
2513.00,99.43
2512.00,99.43
2511.00,99.43
2510.00,99.43
2509.00,99.43
2508.00,99.44
2507.00,99.46
2506.00,99.47
2505.00,99.46
2504.00,99.43
2503.00,99.42
2502.00,99.41
2501.00,99.43
2500.00,99.44
2499.00,99.45
2498.00,99.45
2497.00,99.44
2496.00,99.45
2495.00,99.46
2494.00,99.47
2493.00,99.47
2492.00,99.46
2491.00,99.45
2490.00,99.44
2489.00,99.44
2488.00,99.44
2487.00,99.45
2486.00,99.46
2485.00,99.46
2484.00,99.47
2483.00,99.47
2482.00,99.47
2481.00,99.46
2480.00,99.44
2479.00,99.42
2478.00,99.40
2477.00,99.40
2476.00,99.42
2475.00,99.44
2474.00,99.45
2473.00,99.46
2472.00,99.45
2471.00,99.42
2470.00,99.40
2469.00,99.39
2468.00,99.40
2467.00,99.41
2466.00,99.41
2465.00,99.42
2464.00,99.43
2463.00,99.45
2462.00,99.45
