Created as New Dataset,12.2 Red Icelandic sheep
cm-1,%T
2804.00,98.22
2803.00,98.23
2802.00,98.23
2801.00,98.23
2800.00,98.23
2799.00,98.25
2798.00,98.27
2797.00,98.29
2796.00,98.31
2795.00,98.33
2794.00,98.36
2793.00,98.40
2792.00,98.44
2791.00,98.47
2790.00,98.48
2789.00,98.48
2788.00,98.48
2787.00,98.49
2786.00,98.51
2785.00,98.53
2784.00,98.56
2783.00,98.58
2782.00,98.59
2781.00,98.60
2780.00,98.61
2779.00,98.62
2778.00,98.64
2777.00,98.66
2776.00,98.67
2775.00,98.69
2774.00,98.72
2773.00,98.74
2772.00,98.76
2771.00,98.77
2770.00,98.79
2769.00,98.80
2768.00,98.83
2767.00,98.85
2766.00,98.87
2765.00,98.88
2764.00,98.89
2763.00,98.90
2762.00,98.91
2761.00,98.92
2760.00,98.93
2759.00,98.93
2758.00,98.94
2757.00,98.94
2756.00,98.95
2755.00,98.96
2754.00,98.97
2753.00,98.99
2752.00,99.01
2751.00,99.03
2750.00,99.05
2749.00,99.07
2748.00,99.09
2747.00,99.10
2746.00,99.10
2745.00,99.11
2744.00,99.11
2743.00,99.12
2742.00,99.12
2741.00,99.12
2740.00,99.13
2739.00,99.14
2738.00,99.14
2737.00,99.15
2736.00,99.15
2735.00,99.16
2734.00,99.16
2733.00,99.16
2732.00,99.17
2731.00,99.18
2730.00,99.20
2729.00,99.23
2728.00,99.24
2727.00,99.26
2726.00,99.26
2725.00,99.27
2724.00,99.27
2723.00,99.28
2722.00,99.28
2721.00,99.28
2720.00,99.29
2719.00,99.30
2718.00,99.32
2717.00,99.33
2716.00,99.34
2715.00,99.34
2714.00,99.35
2713.00,99.36
2712.00,99.37
2711.00,99.38
2710.00,99.38
2709.00,99.39
2708.00,99.39
2707.00,99.40
2706.00,99.40
2705.00,99.40
2704.00,99.40
2703.00,99.42
2702.00,99.44
2701.00,99.47
2700.00,99.49
2699.00,99.51
2698.00,99.52
2697.00,99.54
2696.00,99.55
2695.00,99.55
2694.00,99.56
2693.00,99.58
2692.00,99.59
2691.00,99.59
2690.00,99.58
2689.00,99.56
2688.00,99.55
2687.00,99.56
2686.00,99.57
2685.00,99.58
2684.00,99.60
2683.00,99.62
2682.00,99.63
2681.00,99.64
2680.00,99.64
2679.00,99.63
