Created as New Dataset,Bio-Couture 16/2 Mercerized Cotton
cm-1,%T
2699.00,95.72
2698.00,95.74
2697.00,95.76
2696.00,95.78
2695.00,95.79
2694.00,95.78
2693.00,95.77
2692.00,95.76
2691.00,95.75
2690.00,95.75
2689.00,95.76
2688.00,95.78
2687.00,95.80
2686.00,95.82
2685.00,95.83
2684.00,95.85
2683.00,95.87
2682.00,95.88
2681.00,95.89
2680.00,95.90
2679.00,95.91
2678.00,95.92
2677.00,95.93
2676.00,95.94
2675.00,95.94
2674.00,95.93
2673.00,95.93
2672.00,95.94
2671.00,95.95
2670.00,95.96
2669.00,95.96
2668.00,95.96
2667.00,95.97
2666.00,95.99
2665.00,96.00
2664.00,96.02
2663.00,96.03
2662.00,96.04
2661.00,96.04
2660.00,96.04
2659.00,96.03
2658.00,96.03
2657.00,96.02
2656.00,96.02
2655.00,96.02
2654.00,96.02
2653.00,96.02
2652.00,96.01
2651.00,96.00
2650.00,96.00
2649.00,96.00
2648.00,96.00
2647.00,95.99
2646.00,95.99
2645.00,95.98
2644.00,95.99
2643.00,96.00
2642.00,96.01
2641.00,96.02
2640.00,96.01
2639.00,95.99
2638.00,95.98
2637.00,95.98
2636.00,96.00
2635.00,96.02
2634.00,96.03
2633.00,96.04
2632.00,96.05
2631.00,96.04
2630.00,96.02
2629.00,96.01
2628.00,96.00
2627.00,96.00
2626.00,96.01
2625.00,96.01
2624.00,96.02
2623.00,96.03
2622.00,96.03
2621.00,96.04
2620.00,96.04
2619.00,96.04
2618.00,96.05
2617.00,96.06
2616.00,96.07
2615.00,96.08
2614.00,96.08
2613.00,96.08
2612.00,96.07
2611.00,96.07
2610.00,96.08
2609.00,96.09
2608.00,96.09
2607.00,96.10
2606.00,96.10
2605.00,96.10
2604.00,96.11
2603.00,96.11
2602.00,96.13
2601.00,96.15
2600.00,96.16
2599.00,96.16
2598.00,96.15
2597.00,96.13
2596.00,96.12
2595.00,96.11
2594.00,96.10
2593.00,96.09
2592.00,96.09
2591.00,96.10
2590.00,96.11
2589.00,96.13
2588.00,96.14
2587.00,96.15
2586.00,96.16
2585.00,96.15
2584.00,96.14
2583.00,96.14
2582.00,96.14
2581.00,96.15
2580.00,96.16
2579.00,96.16
2578.00,96.14
2577.00,96.14
2576.00,96.14
2575.00,96.15
2574.00,96.16
2573.00,96.18
2572.00,96.19
2571.00,96.20
2570.00,96.18
2569.00,96.16
2568.00,96.14
2567.00,96.14
2566.00,96.13
2565.00,96.13
2564.00,96.13
2563.00,96.14
2562.00,96.15
2561.00,96.17
2560.00,96.18
2559.00,96.18
2558.00,96.18
2557.00,96.16
2556.00,96.14
2555.00,96.12
2554.00,96.12
2553.00,96.13
2552.00,96.16
2551.00,96.18
2550.00,96.18
2549.00,96.17
2548.00,96.16
2547.00,96.16
2546.00,96.16
2545.00,96.17
2544.00,96.17
2543.00,96.17
2542.00,96.16
2541.00,96.15
2540.00,96.15
2539.00,96.17
2538.00,96.18
2537.00,96.18
2536.00,96.17
2535.00,96.16
2534.00,96.15
2533.00,96.16
2532.00,96.17
2531.00,96.16
2530.00,96.14
2529.00,96.13
2528.00,96.13
2527.00,96.14
2526.00,96.15
2525.00,96.17
2524.00,96.19
2523.00,96.21
2522.00,96.23
2521.00,96.24
2520.00,96.25
2519.00,96.25
2518.00,96.24
2517.00,96.23
2516.00,96.22
2515.00,96.21
2514.00,96.21
2513.00,96.21
2512.00,96.21
2511.00,96.23
2510.00,96.24
2509.00,96.25
2508.00,96.25
2507.00,96.24
2506.00,96.24
2505.00,96.24
2504.00,96.25
2503.00,96.26
2502.00,96.27
2501.00,96.26
2500.00,96.26
2499.00,96.26
2498.00,96.28
2497.00,96.29
2496.00,96.29
2495.00,96.28
2494.00,96.28
2493.00,96.28
2492.00,96.28
2491.00,96.28
2490.00,96.28
2489.00,96.26
2488.00,96.24
2487.00,96.24
2486.00,96.24
2485.00,96.26
2484.00,96.27
2483.00,96.29
2482.00,96.30
2481.00,96.30
2480.00,96.30
2479.00,96.30
2478.00,96.32
2477.00,96.34
2476.00,96.35
2475.00,96.35
2474.00,96.35
2473.00,96.35
2472.00,96.34
2471.00,96.33
2470.00,96.32
2469.00,96.31
2468.00,96.31
