Created as New Dataset,176. Shaw industries (Beige)
cm-1,%T
2644.00,97.68
2643.00,97.68
2642.00,97.66
2641.00,97.64
2640.00,97.62
2639.00,97.59
2638.00,97.58
2637.00,97.57
2636.00,97.56
2635.00,97.56
2634.00,97.55
2633.00,97.54
2632.00,97.52
2631.00,97.50
2630.00,97.49
2629.00,97.49
2628.00,97.49
2627.00,97.48
2626.00,97.48
2625.00,97.48
2624.00,97.49
2623.00,97.48
2622.00,97.48
2621.00,97.47
2620.00,97.47
2619.00,97.48
2618.00,97.47
2617.00,97.46
2616.00,97.43
2615.00,97.40
2614.00,97.39
2613.00,97.39
2612.00,97.40
2611.00,97.41
2610.00,97.42
2609.00,97.42
2608.00,97.42
2607.00,97.41
2606.00,97.39
2605.00,97.37
2604.00,97.35
2603.00,97.35
2602.00,97.36
2601.00,97.36
2600.00,97.36
2599.00,97.35
2598.00,97.32
2597.00,97.30
2596.00,97.28
2595.00,97.27
2594.00,97.27
2593.00,97.26
2592.00,97.24
2591.00,97.21
2590.00,97.19
2589.00,97.18
2588.00,97.19
2587.00,97.21
2586.00,97.24
2585.00,97.25
2584.00,97.24
2583.00,97.23
2582.00,97.21
2581.00,97.20
2580.00,97.19
2579.00,97.17
2578.00,97.15
2577.00,97.15
2576.00,97.14
2575.00,97.14
2574.00,97.14
2573.00,97.13
2572.00,97.13
2571.00,97.14
2570.00,97.15
2569.00,97.16
2568.00,97.16
2567.00,97.15
2566.00,97.13
2565.00,97.12
2564.00,97.13
2563.00,97.15
2562.00,97.17
2561.00,97.17
2560.00,97.16
2559.00,97.14
2558.00,97.13
2557.00,97.12
2556.00,97.12
2555.00,97.11
2554.00,97.10
2553.00,97.08
2552.00,97.06
2551.00,97.05
2550.00,97.05
2549.00,97.07
2548.00,97.09
2547.00,97.10
2546.00,97.10
2545.00,97.10
2544.00,97.10
2543.00,97.09
2542.00,97.08
2541.00,97.08
2540.00,97.06
2539.00,97.05
2538.00,97.04
2537.00,97.04
2536.00,97.05
2535.00,97.07
2534.00,97.08
2533.00,97.08
2532.00,97.08
2531.00,97.08
2530.00,97.09
2529.00,97.11
2528.00,97.11
2527.00,97.10
2526.00,97.10
2525.00,97.10
2524.00,97.11
2523.00,97.12
2522.00,97.11
2521.00,97.10
2520.00,97.08
2519.00,97.07
2518.00,97.07
2517.00,97.07
2516.00,97.09
2515.00,97.12
2514.00,97.15
2513.00,97.18
2512.00,97.19
2511.00,97.17
2510.00,97.14
2509.00,97.12
2508.00,97.12
2507.00,97.14
2506.00,97.16
2505.00,97.17
2504.00,97.18
2503.00,97.17
2502.00,97.15
2501.00,97.13
2500.00,97.13
2499.00,97.15
2498.00,97.18
2497.00,97.20
2496.00,97.19
2495.00,97.17
2494.00,97.16
2493.00,97.16
2492.00,97.16
2491.00,97.15
2490.00,97.13
2489.00,97.12
2488.00,97.14
2487.00,97.16
2486.00,97.19
2485.00,97.21
2484.00,97.22
2483.00,97.21
2482.00,97.20
2481.00,97.18
2480.00,97.16
2479.00,97.16
2478.00,97.18
2477.00,97.20
2476.00,97.22
2475.00,97.24
2474.00,97.25
2473.00,97.26
2472.00,97.26
2471.00,97.25
2470.00,97.24
2469.00,97.24
2468.00,97.25
2467.00,97.26
2466.00,97.26
2465.00,97.26
2464.00,97.26
2463.00,97.26
