Created as New Dataset,12.3 Red Wool Lincoln sheep
cm-1,%T
2640.00,100.29
2639.00,100.31
2638.00,100.32
2637.00,100.31
2636.00,100.29
2635.00,100.27
2634.00,100.26
2633.00,100.26
2632.00,100.26
2631.00,100.27
2630.00,100.28
2629.00,100.28
2628.00,100.28
2627.00,100.28
2626.00,100.28
2625.00,100.29
2624.00,100.30
2623.00,100.31
2622.00,100.31
2621.00,100.31
2620.00,100.32
2619.00,100.33
2618.00,100.33
2617.00,100.32
2616.00,100.30
2615.00,100.29
2614.00,100.28
2613.00,100.28
2612.00,100.28
2611.00,100.28
2610.00,100.28
2609.00,100.28
2608.00,100.30
2607.00,100.32
2606.00,100.34
2605.00,100.35
2604.00,100.35
2603.00,100.35
2602.00,100.35
2601.00,100.35
2600.00,100.35
2599.00,100.36
2598.00,100.38
2597.00,100.38
2596.00,100.38
2595.00,100.38
2594.00,100.37
2593.00,100.36
2592.00,100.36
2591.00,100.38
2590.00,100.42
2589.00,100.46
2588.00,100.49
2587.00,100.51
2586.00,100.51
2585.00,100.50
2584.00,100.47
2583.00,100.45
2582.00,100.43
2581.00,100.43
2580.00,100.44
2579.00,100.46
2578.00,100.47
2577.00,100.48
2576.00,100.48
2575.00,100.47
2574.00,100.46
2573.00,100.47
2572.00,100.47
2571.00,100.48
2570.00,100.47
2569.00,100.45
2568.00,100.45
2567.00,100.45
2566.00,100.45
2565.00,100.44
2564.00,100.44
2563.00,100.43
2562.00,100.43
2561.00,100.42
2560.00,100.41
2559.00,100.41
2558.00,100.42
2557.00,100.41
2556.00,100.40
2555.00,100.40
2554.00,100.40
2553.00,100.41
2552.00,100.43
2551.00,100.46
2550.00,100.49
2549.00,100.49
2548.00,100.48
2547.00,100.47
2546.00,100.46
2545.00,100.45
2544.00,100.44
2543.00,100.45
2542.00,100.47
2541.00,100.48
2540.00,100.49
2539.00,100.49
2538.00,100.48
2537.00,100.47
2536.00,100.48
2535.00,100.52
2534.00,100.57
2533.00,100.59
2532.00,100.57
2531.00,100.53
2530.00,100.49
2529.00,100.49
2528.00,100.51
2527.00,100.56
2526.00,100.59
2525.00,100.61
2524.00,100.60
2523.00,100.59
2522.00,100.58
2521.00,100.58
2520.00,100.59
2519.00,100.60
2518.00,100.60
2517.00,100.59
2516.00,100.57
2515.00,100.55
2514.00,100.54
2513.00,100.54
2512.00,100.54
2511.00,100.54
2510.00,100.53
2509.00,100.52
2508.00,100.53
2507.00,100.53
2506.00,100.53
2505.00,100.52
2504.00,100.52
2503.00,100.54
2502.00,100.57
2501.00,100.59
2500.00,100.59
2499.00,100.58
2498.00,100.57
2497.00,100.55
2496.00,100.54
2495.00,100.53
2494.00,100.53
2493.00,100.53
2492.00,100.53
2491.00,100.53
2490.00,100.54
2489.00,100.56
2488.00,100.59
2487.00,100.61
2486.00,100.62
2485.00,100.62
2484.00,100.62
2483.00,100.63
2482.00,100.65
2481.00,100.66
2480.00,100.66
2479.00,100.65
2478.00,100.64
2477.00,100.63
2476.00,100.63
2475.00,100.64
2474.00,100.66
2473.00,100.67
2472.00,100.66
2471.00,100.65
2470.00,100.65
2469.00,100.65
2468.00,100.65
2467.00,100.65
2466.00,100.65
2465.00,100.66
