Created as New Dataset,17. Cyanenka SA
cm-1,%T
2658.00,99.88
2657.00,99.89
2656.00,99.88
2655.00,99.87
2654.00,99.86
2653.00,99.87
2652.00,99.88
2651.00,99.90
2650.00,99.92
2649.00,99.92
2648.00,99.93
2647.00,99.93
2646.00,99.93
2645.00,99.93
2644.00,99.92
2643.00,99.91
2642.00,99.90
2641.00,99.89
2640.00,99.89
2639.00,99.89
2638.00,99.90
2637.00,99.91
2636.00,99.92
2635.00,99.92
2634.00,99.91
2633.00,99.90
2632.00,99.89
2631.00,99.89
2630.00,99.89
2629.00,99.89
2628.00,99.88
2627.00,99.87
2626.00,99.87
2625.00,99.88
2624.00,99.89
2623.00,99.92
2622.00,99.94
2621.00,99.94
2620.00,99.94
2619.00,99.93
2618.00,99.92
2617.00,99.93
2616.00,99.93
2615.00,99.93
2614.00,99.91
2613.00,99.89
2612.00,99.88
2611.00,99.88
2610.00,99.90
2609.00,99.93
2608.00,99.94
2607.00,99.94
2606.00,99.94
2605.00,99.92
2604.00,99.90
2603.00,99.90
2602.00,99.91
2601.00,99.92
2600.00,99.93
2599.00,99.93
2598.00,99.93
2597.00,99.93
2596.00,99.92
2595.00,99.91
2594.00,99.90
2593.00,99.90
2592.00,99.91
2591.00,99.91
2590.00,99.90
2589.00,99.88
2588.00,99.86
2587.00,99.84
2586.00,99.86
2585.00,99.89
2584.00,99.93
2583.00,99.93
2582.00,99.92
2581.00,99.89
2580.00,99.86
2579.00,99.86
2578.00,99.87
2577.00,99.89
2576.00,99.89
2575.00,99.88
2574.00,99.87
2573.00,99.87
2572.00,99.87
2571.00,99.88
2570.00,99.89
2569.00,99.89
2568.00,99.90
2567.00,99.90
2566.00,99.90
2565.00,99.90
2564.00,99.90
2563.00,99.91
2562.00,99.91
2561.00,99.91
2560.00,99.90
2559.00,99.89
2558.00,99.89
2557.00,99.91
2556.00,99.93
2555.00,99.94
2554.00,99.93
2553.00,99.92
2552.00,99.91
2551.00,99.92
2550.00,99.93
2549.00,99.93
2548.00,99.93
2547.00,99.93
2546.00,99.93
2545.00,99.93
2544.00,99.93
2543.00,99.92
2542.00,99.92
2541.00,99.92
2540.00,99.91
2539.00,99.90
2538.00,99.89
2537.00,99.89
2536.00,99.90
2535.00,99.91
2534.00,99.91
2533.00,99.90
2532.00,99.90
2531.00,99.91
2530.00,99.92
2529.00,99.94
2528.00,99.94
2527.00,99.93
2526.00,99.92
2525.00,99.90
2524.00,99.89
2523.00,99.88
2522.00,99.88
2521.00,99.89
2520.00,99.89
2519.00,99.90
2518.00,99.90
2517.00,99.91
2516.00,99.92
2515.00,99.92
2514.00,99.92
2513.00,99.91
2512.00,99.91
2511.00,99.91
2510.00,99.92
2509.00,99.92
2508.00,99.92
2507.00,99.90
2506.00,99.90
2505.00,99.90
2504.00,99.91
2503.00,99.93
2502.00,99.94
2501.00,99.93
2500.00,99.92
2499.00,99.90
2498.00,99.88
2497.00,99.87
2496.00,99.87
2495.00,99.88
2494.00,99.89
2493.00,99.89
2492.00,99.88
2491.00,99.85
2490.00,99.84
2489.00,99.84
2488.00,99.86
2487.00,99.89
2486.00,99.91
2485.00,99.92
2484.00,99.93
2483.00,99.93
2482.00,99.91
2481.00,99.89
2480.00,99.89
2479.00,99.90
2478.00,99.91
2477.00,99.91
2476.00,99.91
2475.00,99.89
2474.00,99.88
2473.00,99.87
2472.00,99.86
2471.00,99.88
2470.00,99.89
2469.00,99.91
2468.00,99.91
2467.00,99.91
2466.00,99.89
2465.00,99.88
2464.00,99.87
2463.00,99.87
2462.00,99.88
