Created as New Dataset,59 Modacrylic Hoechst Dolan 88 
cm-1,%T
2883.00,97.69
2882.00,97.71
2881.00,97.71
2880.00,97.71
2879.00,97.71
2878.00,97.71
2877.00,97.72
2876.00,97.73
2875.00,97.74
2874.00,97.73
2873.00,97.73
2872.00,97.73
2871.00,97.75
2870.00,97.76
2869.00,97.76
2868.00,97.76
2867.00,97.75
2866.00,97.76
2865.00,97.76
2864.00,97.77
2863.00,97.76
2862.00,97.76
2861.00,97.77
2860.00,97.79
2859.00,97.81
2858.00,97.81
2857.00,97.81
2856.00,97.81
2855.00,97.81
2854.00,97.82
2853.00,97.82
2852.00,97.83
2851.00,97.83
2850.00,97.84
2849.00,97.85
2848.00,97.86
2847.00,97.88
2846.00,97.90
2845.00,97.93
2844.00,97.96
2843.00,97.98
2842.00,97.99
2841.00,97.99
2840.00,97.99
2839.00,97.99
2838.00,98.01
2837.00,98.02
2836.00,98.03
2835.00,98.03
2834.00,98.02
2833.00,98.02
2832.00,98.03
2831.00,98.04
2830.00,98.06
2829.00,98.06
2828.00,98.06
2827.00,98.06
2826.00,98.05
2825.00,98.05
2824.00,98.04
2823.00,98.04
2822.00,98.04
2821.00,98.05
2820.00,98.06
2819.00,98.05
2818.00,98.03
2817.00,98.02
2816.00,98.03
2815.00,98.04
2814.00,98.05
2813.00,98.05
2812.00,98.05
2811.00,98.04
2810.00,98.04
2809.00,98.04
2808.00,98.05
2807.00,98.05
2806.00,98.05
2805.00,98.04
2804.00,98.03
2803.00,98.02
2802.00,98.01
2801.00,98.02
2800.00,98.04
2799.00,98.06
2798.00,98.08
2797.00,98.08
2796.00,98.07
2795.00,98.06
2794.00,98.06
2793.00,98.06
2792.00,98.07
2791.00,98.07
2790.00,98.08
2789.00,98.09
2788.00,98.09
2787.00,98.08
2786.00,98.06
2785.00,98.05
2784.00,98.05
2783.00,98.05
2782.00,98.06
2781.00,98.08
2780.00,98.08
2779.00,98.09
2778.00,98.10
2777.00,98.12
2776.00,98.13
2775.00,98.14
2774.00,98.13
2773.00,98.12
2772.00,98.11
2771.00,98.10
2770.00,98.09
2769.00,98.09
2768.00,98.09
2767.00,98.10
2766.00,98.11
2765.00,98.13
2764.00,98.14
2763.00,98.14
2762.00,98.13
2761.00,98.12
2760.00,98.11
2759.00,98.11
2758.00,98.11
2757.00,98.11
2756.00,98.11
2755.00,98.10
2754.00,98.09
2753.00,98.09
2752.00,98.10
2751.00,98.11
2750.00,98.11
2749.00,98.10
2748.00,98.09
2747.00,98.09
2746.00,98.09
2745.00,98.09
2744.00,98.09
2743.00,98.09
2742.00,98.08
2741.00,98.08
2740.00,98.09
2739.00,98.10
2738.00,98.10
2737.00,98.11
2736.00,98.11
2735.00,98.11
2734.00,98.11
2733.00,98.11
2732.00,98.11
2731.00,98.10
2730.00,98.10
2729.00,98.09
2728.00,98.10
2727.00,98.10
2726.00,98.10
2725.00,98.10
2724.00,98.10
2723.00,98.10
2722.00,98.11
2721.00,98.11
2720.00,98.12
2719.00,98.12
2718.00,98.11
2717.00,98.10
2716.00,98.10
2715.00,98.09
2714.00,98.09
2713.00,98.09
2712.00,98.08
2711.00,98.08
2710.00,98.07
2709.00,98.07
2708.00,98.08
2707.00,98.08
2706.00,98.08
2705.00,98.07
2704.00,98.06
2703.00,98.06
2702.00,98.06
2701.00,98.06
2700.00,98.06
2699.00,98.06
2698.00,98.06
2697.00,98.07
2696.00,98.08
2695.00,98.08
2694.00,98.07
2693.00,98.07
2692.00,98.07
2691.00,98.08
2690.00,98.10
2689.00,98.11
2688.00,98.12
2687.00,98.12
2686.00,98.13
2685.00,98.14
2684.00,98.14
2683.00,98.13
2682.00,98.12
2681.00,98.11
2680.00,98.10
2679.00,98.11
2678.00,98.12
2677.00,98.12
2676.00,98.12
2675.00,98.12
2674.00,98.12
2673.00,98.13
2672.00,98.13
2671.00,98.14
2670.00,98.15
2669.00,98.15
2668.00,98.15
2667.00,98.13
2666.00,98.12
2665.00,98.11
2664.00,98.11
2663.00,98.11
2662.00,98.10
2661.00,98.08
2660.00,98.07
2659.00,98.06
2658.00,98.05
2657.00,98.04
2656.00,98.02
2655.00,98.01
2654.00,98.01
2653.00,98.01
2652.00,98.00
2651.00,98.00
2650.00,97.98
2649.00,97.96
2648.00,97.95
2647.00,97.93
2646.00,97.93
2645.00,97.93
2644.00,97.92
2643.00,97.92
2642.00,97.91
2641.00,97.91
2640.00,97.92
2639.00,97.92
2638.00,97.91
2637.00,97.90
2636.00,97.89
2635.00,97.89
2634.00,97.88
2633.00,97.86
2632.00,97.85
2631.00,97.86
2630.00,97.88
2629.00,97.90
2628.00,97.91
2627.00,97.91
2626.00,97.89
2625.00,97.87
2624.00,97.84
2623.00,97.82
2622.00,97.82
2621.00,97.82
2620.00,97.82
2619.00,97.82
2618.00,97.82
