Created as New Dataset,12.1 Red Wool Corriedale sheep
cm-1,%T
2654.00,99.10
2653.00,99.12
2652.00,99.13
2651.00,99.14
2650.00,99.15
2649.00,99.16
2648.00,99.16
2647.00,99.16
2646.00,99.15
2645.00,99.14
2644.00,99.14
2643.00,99.14
2642.00,99.16
2641.00,99.17
2640.00,99.17
2639.00,99.15
2638.00,99.13
2637.00,99.11
2636.00,99.11
2635.00,99.12
2634.00,99.12
2633.00,99.11
2632.00,99.10
2631.00,99.11
2630.00,99.12
2629.00,99.13
2628.00,99.14
2627.00,99.13
2626.00,99.12
2625.00,99.12
2624.00,99.11
2623.00,99.10
2622.00,99.10
2621.00,99.10
2620.00,99.10
2619.00,99.11
2618.00,99.13
2617.00,99.15
2616.00,99.16
2615.00,99.16
2614.00,99.17
2613.00,99.17
2612.00,99.18
2611.00,99.20
2610.00,99.22
2609.00,99.24
2608.00,99.24
2607.00,99.23
2606.00,99.21
2605.00,99.20
2604.00,99.19
2603.00,99.20
2602.00,99.20
2601.00,99.19
2600.00,99.18
2599.00,99.18
2598.00,99.17
2597.00,99.18
2596.00,99.19
2595.00,99.21
2594.00,99.24
2593.00,99.25
2592.00,99.27
2591.00,99.29
2590.00,99.31
2589.00,99.33
2588.00,99.32
2587.00,99.29
2586.00,99.25
2585.00,99.21
2584.00,99.21
2583.00,99.22
2582.00,99.24
2581.00,99.25
2580.00,99.25
2579.00,99.24
2578.00,99.23
2577.00,99.22
2576.00,99.22
2575.00,99.24
2574.00,99.27
2573.00,99.29
2572.00,99.31
2571.00,99.33
2570.00,99.34
2569.00,99.34
2568.00,99.33
2567.00,99.30
2566.00,99.27
2565.00,99.26
2564.00,99.25
2563.00,99.27
2562.00,99.29
2561.00,99.31
2560.00,99.31
2559.00,99.30
2558.00,99.29
2557.00,99.29
2556.00,99.29
2555.00,99.29
2554.00,99.29
2553.00,99.30
2552.00,99.30
2551.00,99.30
2550.00,99.28
2549.00,99.26
2548.00,99.25
2547.00,99.24
2546.00,99.25
2545.00,99.27
2544.00,99.28
2543.00,99.28
2542.00,99.28
2541.00,99.29
2540.00,99.29
2539.00,99.28
2538.00,99.27
2537.00,99.24
2536.00,99.23
2535.00,99.24
2534.00,99.27
2533.00,99.29
2532.00,99.30
2531.00,99.30
2530.00,99.30
2529.00,99.31
2528.00,99.30
2527.00,99.30
2526.00,99.30
2525.00,99.30
2524.00,99.30
2523.00,99.32
2522.00,99.34
2521.00,99.34
2520.00,99.34
2519.00,99.33
2518.00,99.33
2517.00,99.32
2516.00,99.31
2515.00,99.31
2514.00,99.33
2513.00,99.35
2512.00,99.37
2511.00,99.37
2510.00,99.36
2509.00,99.35
2508.00,99.35
2507.00,99.37
2506.00,99.38
2505.00,99.38
2504.00,99.37
2503.00,99.35
2502.00,99.33
2501.00,99.33
2500.00,99.33
2499.00,99.34
2498.00,99.36
2497.00,99.38
2496.00,99.39
2495.00,99.38
2494.00,99.36
2493.00,99.34
2492.00,99.33
2491.00,99.34
2490.00,99.35
2489.00,99.36
2488.00,99.35
2487.00,99.35
2486.00,99.36
2485.00,99.37
2484.00,99.39
2483.00,99.42
2482.00,99.43
2481.00,99.43
2480.00,99.42
2479.00,99.42
2478.00,99.42
2477.00,99.42
2476.00,99.43
2475.00,99.42
2474.00,99.41
2473.00,99.40
2472.00,99.39
2471.00,99.38
2470.00,99.38
2469.00,99.37
2468.00,99.37
2467.00,99.38
2466.00,99.39
2465.00,99.41
