Created as New Dataset,13.1 Red Wool Navajo-Churro sheep 
cm-1,%T
2549.00,93.46
2548.00,93.45
2547.00,93.44
2546.00,93.44
2545.00,93.44
2544.00,93.47
2543.00,93.49
2542.00,93.52
2541.00,93.53
2540.00,93.53
2539.00,93.51
2538.00,93.49
2537.00,93.46
2536.00,93.45
2535.00,93.45
2534.00,93.46
2533.00,93.48
2532.00,93.50
2531.00,93.52
2530.00,93.53
2529.00,93.54
2528.00,93.54
2527.00,93.53
2526.00,93.51
2525.00,93.50
2524.00,93.50
2523.00,93.50
2522.00,93.52
2521.00,93.53
2520.00,93.53
2519.00,93.52
2518.00,93.50
2517.00,93.48
2516.00,93.48
2515.00,93.50
2514.00,93.54
2513.00,93.56
2512.00,93.56
2511.00,93.55
2510.00,93.54
2509.00,93.54
2508.00,93.54
2507.00,93.53
2506.00,93.52
2505.00,93.53
2504.00,93.55
2503.00,93.57
2502.00,93.59
2501.00,93.59
2500.00,93.58
2499.00,93.57
2498.00,93.56
2497.00,93.57
2496.00,93.57
2495.00,93.59
2494.00,93.60
2493.00,93.61
2492.00,93.62
2491.00,93.62
2490.00,93.63
2489.00,93.62
2488.00,93.61
2487.00,93.59
2486.00,93.59
2485.00,93.60
2484.00,93.61
2483.00,93.61
2482.00,93.59
2481.00,93.57
2480.00,93.56
2479.00,93.58
2478.00,93.60
2477.00,93.62
2476.00,93.63
2475.00,93.64
2474.00,93.65
2473.00,93.65
2472.00,93.64
2471.00,93.63
2470.00,93.62
2469.00,93.62
2468.00,93.62
