Created as New Dataset,8. Acrylic Bayed Dyed
cm-1,%T
2651.00,96.69
2650.00,96.69
2649.00,96.68
2648.00,96.67
2647.00,96.66
2646.00,96.65
2645.00,96.64
2644.00,96.62
2643.00,96.61
2642.00,96.60
2641.00,96.61
2640.00,96.61
2639.00,96.61
2638.00,96.61
2637.00,96.61
2636.00,96.60
2635.00,96.59
2634.00,96.57
2633.00,96.54
2632.00,96.51
2631.00,96.50
2630.00,96.49
2629.00,96.50
2628.00,96.51
2627.00,96.53
2626.00,96.53
2625.00,96.53
2624.00,96.52
2623.00,96.50
2622.00,96.49
2621.00,96.48
2620.00,96.47
2619.00,96.45
2618.00,96.44
2617.00,96.43
2616.00,96.41
2615.00,96.40
2614.00,96.39
2613.00,96.39
2612.00,96.39
2611.00,96.39
2610.00,96.40
2609.00,96.41
2608.00,96.41
2607.00,96.41
2606.00,96.39
2605.00,96.38
2604.00,96.37
2603.00,96.37
2602.00,96.37
2601.00,96.38
2600.00,96.38
2599.00,96.37
2598.00,96.37
2597.00,96.36
2596.00,96.35
2595.00,96.32
2594.00,96.29
2593.00,96.27
2592.00,96.28
2591.00,96.30
2590.00,96.32
2589.00,96.33
2588.00,96.32
2587.00,96.30
2586.00,96.29
2585.00,96.28
2584.00,96.28
2583.00,96.29
2582.00,96.29
2581.00,96.28
2580.00,96.27
2579.00,96.26
2578.00,96.25
2577.00,96.24
2576.00,96.24
2575.00,96.25
2574.00,96.24
2573.00,96.23
2572.00,96.23
2571.00,96.24
2570.00,96.25
2569.00,96.24
2568.00,96.24
2567.00,96.23
2566.00,96.22
2565.00,96.21
2564.00,96.20
2563.00,96.19
2562.00,96.18
2561.00,96.18
2560.00,96.17
2559.00,96.17
2558.00,96.17
2557.00,96.18
2556.00,96.19
2555.00,96.19
2554.00,96.19
2553.00,96.18
2552.00,96.17
2551.00,96.17
2550.00,96.17
2549.00,96.17
2548.00,96.16
2547.00,96.13
2546.00,96.11
2545.00,96.09
2544.00,96.08
2543.00,96.10
2542.00,96.12
2541.00,96.13
2540.00,96.13
2539.00,96.12
2538.00,96.12
2537.00,96.13
2536.00,96.15
2535.00,96.16
2534.00,96.15
2533.00,96.13
2532.00,96.11
2531.00,96.10
2530.00,96.10
2529.00,96.11
2528.00,96.11
2527.00,96.11
2526.00,96.12
2525.00,96.14
2524.00,96.14
2523.00,96.14
2522.00,96.13
2521.00,96.12
2520.00,96.11
2519.00,96.11
2518.00,96.11
