Created as New Dataset,83. Allied Signal Fibers
cm-1,%T
3077.00,93.23
3076.00,93.25
3075.00,93.27
3074.00,93.29
3073.00,93.31
3072.00,93.34
3071.00,93.39
3070.00,93.43
3069.00,93.49
3068.00,93.54
3067.00,93.59
3066.00,93.63
3065.00,93.65
3064.00,93.69
3063.00,93.72
3062.00,93.77
3061.00,93.81
3060.00,93.85
3059.00,93.90
3058.00,93.97
3057.00,94.04
3056.00,94.12
3055.00,94.20
3054.00,94.28
3053.00,94.35
3052.00,94.42
3051.00,94.48
3050.00,94.53
3049.00,94.58
3048.00,94.63
3047.00,94.69
3046.00,94.77
3045.00,94.85
3044.00,94.92
3043.00,95.00
3042.00,95.06
3041.00,95.11
3040.00,95.16
3039.00,95.20
3038.00,95.24
3037.00,95.29
3036.00,95.32
3035.00,95.35
3034.00,95.38
3033.00,95.42
3032.00,95.47
3031.00,95.51
3030.00,95.55
3029.00,95.58
3028.00,95.61
3027.00,95.63
3026.00,95.64
3025.00,95.66
3024.00,95.68
3023.00,95.71
3022.00,95.75
3021.00,95.77
3020.00,95.79
3019.00,95.80
3018.00,95.81
3017.00,95.82
3016.00,95.82
3015.00,95.83
3014.00,95.84
3013.00,95.85
3012.00,95.87
3011.00,95.89
3010.00,95.91
3009.00,95.93
3008.00,95.94
3007.00,95.95
3006.00,95.95
3005.00,95.96
3004.00,95.96
3003.00,95.96
3002.00,95.95
3001.00,95.95
3000.00,95.94
2999.00,95.95
2998.00,95.96
2997.00,95.96
2996.00,95.96
2995.00,95.95
2994.00,95.94
2993.00,95.92
2992.00,95.91
2991.00,95.88
2990.00,95.84
2989.00,95.79
2988.00,95.75
2987.00,95.71
2986.00,95.66
2985.00,95.60
2984.00,95.54
2983.00,95.48
2982.00,95.42
2981.00,95.35
2980.00,95.27
2979.00,95.19
2978.00,95.10
2977.00,94.99
2976.00,94.87
2975.00,94.74
2974.00,94.59
2973.00,94.43
2972.00,94.26
2971.00,94.08
2970.00,93.89
2969.00,93.69
2968.00,93.48
2967.00,93.27
2966.00,93.05
2965.00,92.84
2964.00,92.63
2963.00,92.43
2962.00,92.24
2961.00,92.03
2960.00,91.82
2959.00,91.59
2958.00,91.34
2957.00,91.08
2956.00,90.79
2955.00,90.47
2954.00,90.11
2953.00,89.72
2952.00,89.30
2951.00,88.86
2950.00,88.42
2949.00,87.97
2948.00,87.54
2947.00,87.14
2946.00,86.77
2945.00,86.43
2944.00,86.11
2943.00,85.81
2942.00,85.53
2941.00,85.27
2940.00,85.03
2939.00,84.80
2938.00,84.58
2937.00,84.38
2936.00,84.19
2935.00,84.03
2934.00,83.91
2933.00,83.84
2932.00,83.80
2931.00,83.80
2930.00,83.83
2929.00,83.89
2928.00,83.97
2927.00,84.07
2926.00,84.19
2925.00,84.32
2924.00,84.47
2923.00,84.64
2922.00,84.84
2921.00,85.06
2920.00,85.32
2919.00,85.60
2918.00,85.88
2917.00,86.17
2916.00,86.47
2915.00,86.76
2914.00,87.06
2913.00,87.36
2912.00,87.65
2911.00,87.92
2910.00,88.17
2909.00,88.41
2908.00,88.63
2907.00,88.82
2906.00,88.98
2905.00,89.11
2904.00,89.23
2903.00,89.35
2902.00,89.46
2901.00,89.57
2900.00,89.68
2899.00,89.80
2898.00,89.94
2897.00,90.09
2896.00,90.25
2895.00,90.41
2894.00,90.56
2893.00,90.71
2892.00,90.84
2891.00,90.95
2890.00,91.05
2889.00,91.14
2888.00,91.21
2887.00,91.26
2886.00,91.28
2885.00,91.27
2884.00,91.23
2883.00,91.16
2882.00,91.06
2881.00,90.92
2880.00,90.74
2879.00,90.54
2878.00,90.33
2877.00,90.10
2876.00,89.86
2875.00,89.61
2874.00,89.36
2873.00,89.11
2872.00,88.86
2871.00,88.63
2870.00,88.42
2869.00,88.24
2868.00,88.08
2867.00,87.94
2866.00,87.80
2865.00,87.67
2864.00,87.54
2863.00,87.43
2862.00,87.32
2861.00,87.24
2860.00,87.20
2859.00,87.19
2858.00,87.22
2857.00,87.28
2856.00,87.37
2855.00,87.50
2854.00,87.69
2853.00,87.92
2852.00,88.22
2851.00,88.57
2850.00,88.97
2849.00,89.41
2848.00,89.88
2847.00,90.36
2846.00,90.83
2845.00,91.28
2844.00,91.70
2843.00,92.09
2842.00,92.44
2841.00,92.74
2840.00,93.01
2839.00,93.25
2838.00,93.45
2837.00,93.61
2836.00,93.74
2835.00,93.85
2834.00,93.95
2833.00,94.04
2832.00,94.13
2831.00,94.21
2830.00,94.28
2829.00,94.36
2828.00,94.43
2827.00,94.49
2826.00,94.54
2825.00,94.59
2824.00,94.63
2823.00,94.69
2822.00,94.74
2821.00,94.77
2820.00,94.80
2819.00,94.82
2818.00,94.86
2817.00,94.91
2816.00,94.96
2815.00,95.00
2814.00,95.03
2813.00,95.06
2812.00,95.09
2811.00,95.13
2810.00,95.17
2809.00,95.21
2808.00,95.26
2807.00,95.30
2806.00,95.33
2805.00,95.35
2804.00,95.36
