Created as New Dataset,2 Celanese
cm-1,%T
2941.00,95.49
2940.00,95.51
2939.00,95.53
2938.00,95.55
2937.00,95.56
2936.00,95.56
2935.00,95.56
2934.00,95.57
2933.00,95.58
2932.00,95.60
2931.00,95.61
2930.00,95.62
2929.00,95.63
2928.00,95.65
2927.00,95.68
2926.00,95.71
2925.00,95.71
2924.00,95.71
2923.00,95.73
2922.00,95.75
2921.00,95.78
2920.00,95.80
2919.00,95.81
2918.00,95.82
2917.00,95.84
2916.00,95.85
2915.00,95.87
2914.00,95.88
2913.00,95.88
2912.00,95.87
2911.00,95.87
2910.00,95.87
2909.00,95.87
2908.00,95.87
2907.00,95.87
2906.00,95.88
2905.00,95.88
2904.00,95.89
2903.00,95.90
2902.00,95.91
2901.00,95.92
2900.00,95.93
2899.00,95.94
2898.00,95.94
2897.00,95.94
2896.00,95.94
2895.00,95.93
2894.00,95.93
2893.00,95.94
2892.00,95.96
2891.00,95.97
2890.00,95.97
2889.00,95.97
2888.00,95.97
2887.00,95.97
2886.00,95.98
2885.00,95.98
2884.00,95.98
2883.00,95.97
2882.00,95.97
2881.00,95.96
2880.00,95.96
2879.00,95.95
2878.00,95.93
2877.00,95.92
2876.00,95.93
2875.00,95.95
2874.00,95.97
2873.00,95.99
2872.00,96.00
2871.00,95.99
2870.00,95.98
2869.00,95.98
2868.00,96.00
2867.00,96.01
2866.00,96.03
2865.00,96.06
2864.00,96.07
2863.00,96.08
2862.00,96.09
2861.00,96.11
2860.00,96.13
2859.00,96.14
2858.00,96.15
2857.00,96.15
2856.00,96.15
2855.00,96.14
2854.00,96.15
2853.00,96.16
2852.00,96.19
2851.00,96.21
2850.00,96.24
2849.00,96.27
2848.00,96.30
2847.00,96.33
2846.00,96.36
2845.00,96.38
2844.00,96.41
2843.00,96.43
2842.00,96.46
2841.00,96.49
2840.00,96.52
2839.00,96.54
2838.00,96.56
2837.00,96.57
2836.00,96.58
2835.00,96.58
2834.00,96.59
2833.00,96.60
2832.00,96.61
2831.00,96.62
2830.00,96.63
2829.00,96.63
2828.00,96.63
2827.00,96.64
2826.00,96.65
2825.00,96.65
2824.00,96.66
2823.00,96.66
2822.00,96.65
2821.00,96.64
2820.00,96.63
2819.00,96.64
2818.00,96.66
2817.00,96.67
2816.00,96.69
2815.00,96.69
2814.00,96.68
2813.00,96.68
2812.00,96.67
2811.00,96.67
2810.00,96.67
2809.00,96.68
2808.00,96.69
2807.00,96.70
2806.00,96.70
2805.00,96.69
2804.00,96.68
2803.00,96.68
2802.00,96.68
2801.00,96.69
2800.00,96.70
2799.00,96.72
2798.00,96.73
2797.00,96.74
2796.00,96.74
2795.00,96.75
2794.00,96.75
2793.00,96.74
2792.00,96.73
2791.00,96.71
2790.00,96.71
2789.00,96.72
2788.00,96.75
2787.00,96.76
2786.00,96.77
2785.00,96.77
2784.00,96.76
2783.00,96.75
2782.00,96.75
2781.00,96.74
2780.00,96.74
