Created as New Dataset,12.4 Red Wool Merino sheep and rayon
cm-1,%T
2706.00,96.24
2705.00,96.25
2704.00,96.27
2703.00,96.29
2702.00,96.30
2701.00,96.30
2700.00,96.31
2699.00,96.31
2698.00,96.32
2697.00,96.32
2696.00,96.33
2695.00,96.33
2694.00,96.33
2693.00,96.32
2692.00,96.32
2691.00,96.31
2690.00,96.31
2689.00,96.32
2688.00,96.33
2687.00,96.34
2686.00,96.35
2685.00,96.36
2684.00,96.37
2683.00,96.37
2682.00,96.36
2681.00,96.36
2680.00,96.37
2679.00,96.39
2678.00,96.42
2677.00,96.44
2676.00,96.44
2675.00,96.44
2674.00,96.45
2673.00,96.46
2672.00,96.47
2671.00,96.47
2670.00,96.46
2669.00,96.46
2668.00,96.46
2667.00,96.46
2666.00,96.47
2665.00,96.48
2664.00,96.49
2663.00,96.48
2662.00,96.47
2661.00,96.45
2660.00,96.44
2659.00,96.43
2658.00,96.43
2657.00,96.44
2656.00,96.45
2655.00,96.46
2654.00,96.47
2653.00,96.46
2652.00,96.45
2651.00,96.43
2650.00,96.42
2649.00,96.43
2648.00,96.44
2647.00,96.44
2646.00,96.43
2645.00,96.43
2644.00,96.43
2643.00,96.44
2642.00,96.44
2641.00,96.44
2640.00,96.44
2639.00,96.44
2638.00,96.44
2637.00,96.44
2636.00,96.44
2635.00,96.43
2634.00,96.43
2633.00,96.43
2632.00,96.44
2631.00,96.45
2630.00,96.45
2629.00,96.44
2628.00,96.43
2627.00,96.41
2626.00,96.39
2625.00,96.38
2624.00,96.38
2623.00,96.37
2622.00,96.37
2621.00,96.36
2620.00,96.36
2619.00,96.37
2618.00,96.39
2617.00,96.39
2616.00,96.39
2615.00,96.39
2614.00,96.39
2613.00,96.40
2612.00,96.42
2611.00,96.43
2610.00,96.43
2609.00,96.42
2608.00,96.41
2607.00,96.40
2606.00,96.40
2605.00,96.39
2604.00,96.39
2603.00,96.40
2602.00,96.42
2601.00,96.44
2600.00,96.44
2599.00,96.44
2598.00,96.43
2597.00,96.41
2596.00,96.40
2595.00,96.40
2594.00,96.41
2593.00,96.43
2592.00,96.44
2591.00,96.44
2590.00,96.44
2589.00,96.43
2588.00,96.43
2587.00,96.42
2586.00,96.42
2585.00,96.41
2584.00,96.40
2583.00,96.38
2582.00,96.35
2581.00,96.33
2580.00,96.32
2579.00,96.34
