Created as New Dataset,135 Bayer
cm-1,%T
3113.00,100.90
3112.00,100.91
3111.00,100.91
3110.00,100.91
3109.00,100.92
3108.00,100.92
3107.00,100.93
3106.00,100.92
3105.00,100.91
3104.00,100.90
3103.00,100.89
3102.00,100.89
3101.00,100.90
3100.00,100.90
3099.00,100.90
3098.00,100.90
3097.00,100.90
3096.00,100.91
3095.00,100.92
3094.00,100.92
3093.00,100.91
3092.00,100.90
3091.00,100.88
3090.00,100.87
3089.00,100.85
3088.00,100.83
3087.00,100.81
3086.00,100.80
3085.00,100.80
3084.00,100.80
3083.00,100.81
3082.00,100.81
3081.00,100.82
3080.00,100.82
3079.00,100.81
3078.00,100.80
3077.00,100.79
3076.00,100.78
3075.00,100.78
3074.00,100.79
3073.00,100.80
3072.00,100.80
3071.00,100.80
3070.00,100.80
3069.00,100.80
3068.00,100.79
3067.00,100.76
3066.00,100.75
3065.00,100.74
3064.00,100.75
3063.00,100.76
3062.00,100.77
3061.00,100.77
3060.00,100.78
3059.00,100.79
3058.00,100.79
3057.00,100.80
3056.00,100.81
3055.00,100.80
3054.00,100.79
3053.00,100.78
3052.00,100.78
3051.00,100.80
3050.00,100.82
3049.00,100.85
3048.00,100.87
3047.00,100.87
3046.00,100.86
3045.00,100.86
3044.00,100.86
3043.00,100.89
3042.00,100.92
3041.00,100.96
3040.00,100.98
3039.00,100.99
3038.00,100.98
3037.00,100.96
3036.00,100.94
3035.00,100.93
3034.00,100.93
3033.00,100.94
3032.00,100.95
3031.00,100.96
3030.00,100.97
3029.00,100.97
3028.00,100.97
3027.00,100.96
3026.00,100.95
3025.00,100.94
3024.00,100.94
3023.00,100.94
3022.00,100.94
3021.00,100.92
3020.00,100.90
3019.00,100.88
3018.00,100.86
3017.00,100.85
3016.00,100.84
3015.00,100.84
3014.00,100.84
3013.00,100.84
3012.00,100.84
3011.00,100.84
3010.00,100.83
3009.00,100.82
3008.00,100.81
3007.00,100.80
3006.00,100.79
3005.00,100.77
3004.00,100.75
3003.00,100.73
3002.00,100.72
3001.00,100.72
3000.00,100.72
2999.00,100.72
2998.00,100.70
2997.00,100.67
2996.00,100.64
2995.00,100.60
2994.00,100.58
2993.00,100.57
2992.00,100.56
2991.00,100.54
2990.00,100.52
2989.00,100.48
2988.00,100.44
2987.00,100.40
2986.00,100.37
2985.00,100.34
2984.00,100.32
2983.00,100.28
2982.00,100.23
2981.00,100.17
2980.00,100.11
2979.00,100.05
2978.00,99.99
2977.00,99.92
2976.00,99.85
2975.00,99.78
2974.00,99.70
2973.00,99.62
2972.00,99.54
2971.00,99.46
2970.00,99.37
2969.00,99.27
2968.00,99.15
2967.00,99.02
2966.00,98.89
2965.00,98.78
2964.00,98.68
2963.00,98.58
2962.00,98.47
2961.00,98.35
2960.00,98.23
2959.00,98.10
2958.00,97.97
2957.00,97.84
2956.00,97.69
2955.00,97.53
2954.00,97.35
2953.00,97.14
2952.00,96.90
2951.00,96.65
2950.00,96.37
2949.00,96.09
2948.00,95.80
2947.00,95.50
2946.00,95.23
2945.00,94.99
2944.00,94.81
2943.00,94.67
2942.00,94.57
2941.00,94.50
2940.00,94.44
2939.00,94.40
2938.00,94.37
2937.00,94.33
2936.00,94.28
2935.00,94.21
2934.00,94.14
2933.00,94.08
2932.00,94.01
2931.00,93.93
2930.00,93.85
2929.00,93.77
2928.00,93.70
2927.00,93.65
2926.00,93.60
2925.00,93.59
2924.00,93.59
2923.00,93.62
2922.00,93.65
2921.00,93.67
2920.00,93.69
2919.00,93.75
2918.00,93.84
2917.00,93.99
2916.00,94.17
2915.00,94.37
2914.00,94.57
2913.00,94.75
2912.00,94.92
2911.00,95.07
2910.00,95.21
2909.00,95.35
2908.00,95.49
2907.00,95.61
2906.00,95.72
2905.00,95.81
2904.00,95.90
2903.00,95.99
2902.00,96.06
2901.00,96.11
2900.00,96.15
2899.00,96.19
2898.00,96.21
2897.00,96.24
2896.00,96.25
2895.00,96.26
2894.00,96.28
2893.00,96.31
2892.00,96.35
2891.00,96.39
2890.00,96.44
2889.00,96.49
2888.00,96.56
2887.00,96.66
2886.00,96.79
2885.00,96.93
2884.00,97.08
2883.00,97.23
2882.00,97.37
2881.00,97.50
2880.00,97.61
2879.00,97.71
2878.00,97.78
2877.00,97.83
2876.00,97.85
2875.00,97.86
2874.00,97.84
2873.00,97.80
2872.00,97.74
2871.00,97.65
2870.00,97.56
