Created as New Dataset,157. Hoechst (Red cloth)
cm-1,%T
2648.00,98.35
2647.00,98.35
2646.00,98.34
2645.00,98.32
2644.00,98.31
2643.00,98.29
2642.00,98.27
2641.00,98.25
2640.00,98.23
2639.00,98.22
2638.00,98.20
2637.00,98.19
2636.00,98.17
2635.00,98.16
2634.00,98.16
2633.00,98.17
2632.00,98.17
2631.00,98.15
2630.00,98.13
2629.00,98.10
2628.00,98.07
2627.00,98.06
2626.00,98.06
2625.00,98.06
2624.00,98.06
2623.00,98.06
2622.00,98.05
2621.00,98.04
2620.00,98.02
2619.00,98.00
2618.00,97.99
2617.00,97.99
2616.00,98.00
2615.00,98.01
2614.00,98.01
2613.00,98.01
2612.00,98.00
2611.00,97.99
2610.00,97.98
2609.00,97.97
2608.00,97.95
2607.00,97.92
2606.00,97.90
2605.00,97.89
2604.00,97.89
2603.00,97.91
2602.00,97.93
2601.00,97.94
2600.00,97.94
2599.00,97.94
2598.00,97.92
2597.00,97.90
2596.00,97.88
2595.00,97.87
2594.00,97.86
2593.00,97.85
2592.00,97.85
2591.00,97.85
2590.00,97.84
2589.00,97.83
2588.00,97.81
2587.00,97.80
2586.00,97.78
2585.00,97.76
2584.00,97.73
2583.00,97.71
2582.00,97.69
2581.00,97.68
2580.00,97.68
2579.00,97.68
2578.00,97.70
2577.00,97.72
2576.00,97.74
2575.00,97.75
2574.00,97.74
2573.00,97.72
2572.00,97.70
2571.00,97.69
2570.00,97.68
2569.00,97.67
2568.00,97.66
2567.00,97.66
2566.00,97.66
2565.00,97.66
2564.00,97.66
2563.00,97.67
2562.00,97.68
2561.00,97.68
2560.00,97.67
2559.00,97.66
2558.00,97.64
2557.00,97.64
2556.00,97.63
2555.00,97.63
2554.00,97.63
2553.00,97.62
2552.00,97.61
2551.00,97.60
2550.00,97.62
2549.00,97.63
2548.00,97.64
2547.00,97.63
2546.00,97.62
2545.00,97.61
2544.00,97.61
2543.00,97.60
2542.00,97.59
2541.00,97.57
2540.00,97.57
2539.00,97.58
2538.00,97.60
2537.00,97.62
2536.00,97.63
2535.00,97.62
2534.00,97.61
2533.00,97.60
2532.00,97.60
2531.00,97.60
