Created as New Dataset,126 Shaw Industries (Green)
cm-1,%T
2656.00,99.92
2655.00,99.92
2654.00,99.93
2653.00,99.94
2652.00,99.95
2651.00,99.94
2650.00,99.93
2649.00,99.93
2648.00,99.92
2647.00,99.91
2646.00,99.90
2645.00,99.89
2644.00,99.88
2643.00,99.89
2642.00,99.89
2641.00,99.89
2640.00,99.88
2639.00,99.88
2638.00,99.88
2637.00,99.88
2636.00,99.88
2635.00,99.86
2634.00,99.85
2633.00,99.83
2632.00,99.82
2631.00,99.81
2630.00,99.80
2629.00,99.79
2628.00,99.78
2627.00,99.77
2626.00,99.75
2625.00,99.73
2624.00,99.72
2623.00,99.71
2622.00,99.70
2621.00,99.69
2620.00,99.68
2619.00,99.67
2618.00,99.66
2617.00,99.64
2616.00,99.63
2615.00,99.62
2614.00,99.62
2613.00,99.64
2612.00,99.66
2611.00,99.68
2610.00,99.69
2609.00,99.69
2608.00,99.68
2607.00,99.67
2606.00,99.67
2605.00,99.68
2604.00,99.68
2603.00,99.68
2602.00,99.68
2601.00,99.67
2600.00,99.67
2599.00,99.67
2598.00,99.66
2597.00,99.64
2596.00,99.62
2595.00,99.60
2594.00,99.59
2593.00,99.58
2592.00,99.58
2591.00,99.56
2590.00,99.53
2589.00,99.50
2588.00,99.47
2587.00,99.46
2586.00,99.45
2585.00,99.43
2584.00,99.41
2583.00,99.39
2582.00,99.37
2581.00,99.36
2580.00,99.37
2579.00,99.37
2578.00,99.39
2577.00,99.41
2576.00,99.45
2575.00,99.49
2574.00,99.52
2573.00,99.54
2572.00,99.54
2571.00,99.53
2570.00,99.52
2569.00,99.50
2568.00,99.49
2567.00,99.51
2566.00,99.54
2565.00,99.56
2564.00,99.57
2563.00,99.57
2562.00,99.56
2561.00,99.54
2560.00,99.53
2559.00,99.52
2558.00,99.52
2557.00,99.54
2556.00,99.56
2555.00,99.58
2554.00,99.58
2553.00,99.57
2552.00,99.55
2551.00,99.55
2550.00,99.55
2549.00,99.57
2548.00,99.59
2547.00,99.60
2546.00,99.60
2545.00,99.59
2544.00,99.57
2543.00,99.57
2542.00,99.58
2541.00,99.59
2540.00,99.59
2539.00,99.57
2538.00,99.55
2537.00,99.53
2536.00,99.52
2535.00,99.54
2534.00,99.55
2533.00,99.56
2532.00,99.56
2531.00,99.55
2530.00,99.55
2529.00,99.55
2528.00,99.55
2527.00,99.56
2526.00,99.58
2525.00,99.58
2524.00,99.58
2523.00,99.57
2522.00,99.56
2521.00,99.55
2520.00,99.54
2519.00,99.54
2518.00,99.55
2517.00,99.57
2516.00,99.60
2515.00,99.63
2514.00,99.65
2513.00,99.65
2512.00,99.64
2511.00,99.62
2510.00,99.61
2509.00,99.61
2508.00,99.61
2507.00,99.63
2506.00,99.65
2505.00,99.67
2504.00,99.67
2503.00,99.66
2502.00,99.66
2501.00,99.67
2500.00,99.68
2499.00,99.69
2498.00,99.69
2497.00,99.69
2496.00,99.69
2495.00,99.69
2494.00,99.69
2493.00,99.69
2492.00,99.69
2491.00,99.69
2490.00,99.68
2489.00,99.67
2488.00,99.66
2487.00,99.67
2486.00,99.69
2485.00,99.70
2484.00,99.69
2483.00,99.68
2482.00,99.68
2481.00,99.69
2480.00,99.70
2479.00,99.71
2478.00,99.69
2477.00,99.68
2476.00,99.66
2475.00,99.65
2474.00,99.65
2473.00,99.66
2472.00,99.66
2471.00,99.67
2470.00,99.67
2469.00,99.66
2468.00,99.64
2467.00,99.62
2466.00,99.61
2465.00,99.62
2464.00,99.64
2463.00,99.65
