Created as New Dataset,Natural Brown Fiber
cm-1,%T
2847.00,93.01
2846.00,93.19
2845.00,93.35
2844.00,93.50
2843.00,93.63
2842.00,93.73
2841.00,93.81
2840.00,93.89
2839.00,93.95
2838.00,94.01
2837.00,94.07
2836.00,94.13
2835.00,94.19
2834.00,94.24
2833.00,94.28
2832.00,94.31
2831.00,94.34
2830.00,94.37
2829.00,94.40
2828.00,94.42
2827.00,94.46
2826.00,94.49
2825.00,94.53
2824.00,94.56
2823.00,94.59
2822.00,94.62
2821.00,94.65
2820.00,94.68
2819.00,94.70
2818.00,94.72
2817.00,94.74
2816.00,94.77
2815.00,94.81
2814.00,94.84
2813.00,94.86
2812.00,94.88
2811.00,94.91
2810.00,94.94
2809.00,94.96
2808.00,94.98
2807.00,94.98
2806.00,94.97
2805.00,94.98
2804.00,94.99
2803.00,95.02
2802.00,95.04
2801.00,95.07
2800.00,95.09
2799.00,95.10
2798.00,95.12
2797.00,95.14
2796.00,95.17
2795.00,95.19
2794.00,95.20
2793.00,95.20
2792.00,95.21
2791.00,95.22
2790.00,95.24
2789.00,95.26
2788.00,95.27
2787.00,95.27
2786.00,95.28
2785.00,95.28
2784.00,95.29
2783.00,95.30
2782.00,95.31
2781.00,95.32
2780.00,95.32
2779.00,95.34
2778.00,95.36
2777.00,95.38
2776.00,95.40
2775.00,95.40
2774.00,95.40
2773.00,95.40
2772.00,95.40
2771.00,95.41
2770.00,95.42
2769.00,95.42
2768.00,95.43
2767.00,95.43
2766.00,95.45
2765.00,95.47
2764.00,95.49
2763.00,95.50
2762.00,95.51
2761.00,95.51
2760.00,95.51
2759.00,95.51
2758.00,95.52
2757.00,95.53
2756.00,95.53
2755.00,95.52
2754.00,95.51
2753.00,95.51
2752.00,95.51
2751.00,95.51
2750.00,95.53
2749.00,95.54
2748.00,95.54
2747.00,95.53
2746.00,95.52
2745.00,95.52
2744.00,95.52
2743.00,95.53
2742.00,95.53
2741.00,95.54
2740.00,95.54
2739.00,95.55
2738.00,95.55
2737.00,95.55
2736.00,95.55
2735.00,95.55
2734.00,95.55
2733.00,95.55
2732.00,95.55
2731.00,95.56
2730.00,95.58
2729.00,95.59
2728.00,95.60
2727.00,95.61
2726.00,95.62
2725.00,95.62
2724.00,95.62
2723.00,95.61
2722.00,95.61
2721.00,95.61
2720.00,95.62
2719.00,95.63
2718.00,95.64
2717.00,95.65
2716.00,95.66
2715.00,95.68
2714.00,95.70
2713.00,95.71
2712.00,95.71
2711.00,95.71
2710.00,95.69
2709.00,95.69
2708.00,95.69
2707.00,95.71
2706.00,95.74
2705.00,95.76
2704.00,95.77
2703.00,95.77
2702.00,95.77
2701.00,95.78
2700.00,95.79
2699.00,95.80
2698.00,95.81
2697.00,95.81
2696.00,95.81
2695.00,95.82
2694.00,95.83
2693.00,95.84
2692.00,95.84
2691.00,95.84
2690.00,95.83
2689.00,95.83
2688.00,95.83
2687.00,95.84
2686.00,95.85
2685.00,95.86
2684.00,95.87
2683.00,95.88
2682.00,95.89
2681.00,95.91
2680.00,95.92
2679.00,95.94
2678.00,95.94
2677.00,95.95
2676.00,95.96
2675.00,95.96
2674.00,95.97
2673.00,95.97
2672.00,95.96
2671.00,95.96
2670.00,95.96
2669.00,95.97
2668.00,95.98
2667.00,96.00
2666.00,96.01
2665.00,96.01
2664.00,96.01
2663.00,96.00
2662.00,96.00
2661.00,96.01
2660.00,96.00
2659.00,96.00
2658.00,95.98
2657.00,95.96
2656.00,95.95
2655.00,95.94
2654.00,95.94
2653.00,95.96
2652.00,95.97
2651.00,95.98
2650.00,95.98
2649.00,95.97
2648.00,95.97
2647.00,95.96
2646.00,95.96
2645.00,95.95
2644.00,95.93
2643.00,95.91
2642.00,95.89
2641.00,95.87
2640.00,95.87
2639.00,95.88
2638.00,95.89
2637.00,95.89
2636.00,95.87
2635.00,95.85
2634.00,95.84
2633.00,95.83
2632.00,95.83
2631.00,95.82
2630.00,95.81
2629.00,95.80
2628.00,95.80
2627.00,95.81
2626.00,95.84
2625.00,95.85
2624.00,95.86
2623.00,95.86
2622.00,95.85
