Created as New Dataset,4.3 Shoemaker's thread
cm-1,%T
2747.00,98.53
2746.00,98.54
2745.00,98.55
2744.00,98.56
2743.00,98.55
2742.00,98.54
2741.00,98.52
2740.00,98.51
2739.00,98.51
2738.00,98.51
2737.00,98.51
2736.00,98.52
2735.00,98.52
2734.00,98.51
2733.00,98.50
2732.00,98.50
2731.00,98.49
2730.00,98.50
2729.00,98.50
2728.00,98.52
2727.00,98.53
2726.00,98.56
2725.00,98.58
2724.00,98.60
2723.00,98.62
2722.00,98.64
2721.00,98.66
2720.00,98.67
2719.00,98.68
2718.00,98.68
2717.00,98.69
2716.00,98.70
2715.00,98.71
2714.00,98.72
2713.00,98.73
2712.00,98.74
2711.00,98.75
2710.00,98.77
2709.00,98.79
2708.00,98.81
2707.00,98.81
2706.00,98.81
2705.00,98.81
2704.00,98.81
2703.00,98.83
2702.00,98.86
2701.00,98.89
2700.00,98.91
2699.00,98.92
2698.00,98.93
2697.00,98.93
2696.00,98.94
2695.00,98.95
2694.00,98.96
2693.00,98.97
2692.00,98.98
2691.00,98.98
2690.00,98.98
2689.00,98.97
2688.00,98.96
2687.00,98.96
2686.00,98.96
2685.00,98.98
2684.00,98.99
2683.00,99.00
2682.00,98.99
2681.00,98.99
2680.00,98.98
2679.00,98.98
2678.00,98.98
2677.00,98.97
2676.00,98.96
2675.00,98.95
2674.00,98.95
2673.00,98.95
2672.00,98.95
2671.00,98.95
2670.00,98.93
2669.00,98.92
2668.00,98.90
2667.00,98.90
2666.00,98.90
2665.00,98.91
2664.00,98.92
2663.00,98.92
2662.00,98.92
2661.00,98.91
2660.00,98.90
2659.00,98.91
2658.00,98.92
2657.00,98.92
2656.00,98.91
2655.00,98.91
2654.00,98.89
2653.00,98.87
2652.00,98.85
2651.00,98.84
2650.00,98.82
2649.00,98.82
2648.00,98.83
2647.00,98.84
2646.00,98.84
2645.00,98.83
2644.00,98.81
2643.00,98.81
2642.00,98.81
2641.00,98.81
2640.00,98.81
2639.00,98.79
2638.00,98.78
2637.00,98.77
2636.00,98.77
2635.00,98.78
2634.00,98.80
2633.00,98.81
2632.00,98.83
2631.00,98.84
2630.00,98.84
2629.00,98.84
2628.00,98.85
2627.00,98.86
2626.00,98.87
2625.00,98.89
2624.00,98.92
2623.00,98.93
2622.00,98.94
2621.00,98.93
2620.00,98.92
2619.00,98.91
2618.00,98.90
2617.00,98.90
2616.00,98.91
2615.00,98.93
2614.00,98.95
2613.00,98.96
2612.00,98.96
2611.00,98.96
2610.00,98.96
2609.00,98.96
2608.00,98.96
2607.00,98.96
2606.00,98.97
2605.00,98.98
2604.00,99.01
2603.00,99.03
2602.00,99.04
2601.00,99.06
2600.00,99.07
2599.00,99.08
2598.00,99.09
2597.00,99.10
2596.00,99.10
2595.00,99.10
2594.00,99.10
2593.00,99.11
2592.00,99.11
2591.00,99.12
2590.00,99.12
2589.00,99.11
2588.00,99.09
2587.00,99.07
2586.00,99.06
2585.00,99.06
2584.00,99.07
2583.00,99.09
2582.00,99.09
2581.00,99.09
2580.00,99.09
2579.00,99.09
2578.00,99.08
2577.00,99.09
2576.00,99.10
2575.00,99.12
2574.00,99.14
2573.00,99.16
2572.00,99.17
2571.00,99.16
2570.00,99.15
2569.00,99.14
2568.00,99.14
2567.00,99.14
2566.00,99.13
2565.00,99.12
2564.00,99.13
2563.00,99.15
2562.00,99.17
2561.00,99.20
2560.00,99.23
2559.00,99.24
2558.00,99.25
2557.00,99.25
2556.00,99.22
2555.00,99.19
2554.00,99.17
2553.00,99.16
2552.00,99.18
2551.00,99.20
2550.00,99.22
2549.00,99.24
2548.00,99.24
2547.00,99.24
2546.00,99.24
2545.00,99.23
2544.00,99.23
2543.00,99.22
2542.00,99.22
2541.00,99.22
2540.00,99.22
2539.00,99.22
2538.00,99.22
2537.00,99.23
2536.00,99.22
2535.00,99.21
2534.00,99.20
2533.00,99.18
2532.00,99.18
2531.00,99.19
2530.00,99.21
2529.00,99.23
2528.00,99.23
2527.00,99.22
2526.00,99.20
2525.00,99.19
2524.00,99.19
2523.00,99.21
2522.00,99.22
2521.00,99.22
2520.00,99.19
2519.00,99.16
2518.00,99.16
2517.00,99.18
2516.00,99.22
2515.00,99.24
2514.00,99.26
2513.00,99.26
2512.00,99.26
2511.00,99.27
2510.00,99.28
2509.00,99.28
2508.00,99.29
2507.00,99.30
2506.00,99.31
2505.00,99.33
2504.00,99.35
2503.00,99.36
2502.00,99.37
2501.00,99.39
2500.00,99.40
2499.00,99.41
2498.00,99.40
2497.00,99.37
2496.00,99.34
2495.00,99.32
2494.00,99.32
2493.00,99.34
2492.00,99.35
2491.00,99.37
2490.00,99.39
2489.00,99.39
2488.00,99.39
2487.00,99.39
2486.00,99.39
2485.00,99.40
2484.00,99.40
2483.00,99.39
2482.00,99.39
2481.00,99.40
2480.00,99.41
2479.00,99.41
2478.00,99.40
2477.00,99.38
2476.00,99.37
2475.00,99.37
2474.00,99.39
2473.00,99.39
2472.00,99.40
2471.00,99.42
2470.00,99.44
2469.00,99.46
2468.00,99.47
2467.00,99.48
2466.00,99.47
2465.00,99.46
2464.00,99.47
2463.00,99.49
